packet,implementation_status,support_status,control_status,scientific_status,descriptive_screen,execution_status,source_run,n_candidates,primary_representation,primary_threshold,primary_rows,pending_controls,notes,code_hash
G0,PASS,SUFFICIENT_FOR_SCREEN,MISSING,NOT_EVALUABLE,DIAGNOSTIC_ONLY,G0_READOUTS_COMPLETE,G0_readouts_001,,R_SIM,,0,prespecified_synthetic_direction_and_controls,,c55a5c6bb34c52931e03b25a9988475bdd752e5d5e45a55785555cb68eb969cc
A2,PASS,SUFFICIENT_FOR_SCREEN,MISSING,NOT_EVALUABLE,MIXED,A2_CORE_RECORDED,A2_core_001,49.0,R_SIM,0.05,1,prespecified_synthetic_direction_and_controls|fixed_quality_summary_in_background,,ba5679e19c3d058ac1a8adfbe17b112cd58509f90ba46f55c4f59f993614f0ef
C2_R,PASS,SUFFICIENT_FOR_SCREEN,MISSING,NOT_EVALUABLE,NEGATIVE_SCREEN,COMPLETE_REPAIRED_CORE,C2R_core_001,60.0,R_SIM,0.01,1,parallel_repair_and_inherited_raw_isolation,,b6f774a77024ab430f4c4bbf0d2d0073ce2974929fd011b9c6077457e41c4e2e
C2_S,PASS,SUFFICIENT_FOR_SCREEN,COMPLETE,MIXED,MIXED,C2S_LINEAR_MATRIX_COMPLETE,C2S_core_001,60.0,L0,0.0,2,,,a1ef8cf32b38a3547e7f1bf3560ec6ebbebed985afdcae84659bca9e2d626baa
N1,PASS,SUFFICIENT_FOR_SCREEN,FAILED,NOT_EVALUABLE,NEGATIVE_SCREEN,CORE_MATRIX_RECORDED,N1_core_001,59.0,R_SIM,0.005,1,prespecified_synthetic_execution_coverage|prespecified_synthetic_direction_and_controls,,771fd4ec025f2d2d846cbe5eae0f8e33dc543bccb9b591b9dfba6d1931ded21e
N2,NUMERICAL_FAILURE,SUFFICIENT_FOR_SCREEN,MISSING,NOT_EVALUABLE,NEGATIVE_SCREEN,CORE_MATRIX_RECORDED,N2_core_001,57.0,R_SIM,0.01,1,prespecified_synthetic_direction_and_controls,,6ef59158bbe2cbc2324356fc4e7de146eaf46ba614781c7339068d4ff818f8c6
N3,PASS,SUFFICIENT_FOR_SCREEN,FAILED,NOT_EVALUABLE,NEGATIVE_SCREEN,CORE_MATRIX_RECORDED,N3_core_001,60.0,R_SIM,0.005,1,prespecified_synthetic_execution_coverage|prespecified_synthetic_direction_and_controls,,0dee0f0f7308645afdce98d058add79ab68e6a740cb30d69c62d9162834eb4f6
E0_R,NUMERICAL_FAILURE,DESCRIPTIVE_ONLY,MISSING,NOT_EVALUABLE,DIAGNOSTIC_ONLY,INCOMPLETE_PRIMARY_MATRIX,E0R_core_001,,native128,,0,complete_prespecified_primary_aggregates|same_requested_native128_records_complete_family,,cd0d9ff24d31794e28b45b6ef824a6582a841de7fb786987a45ec144f7dff727
