metric,value,unit,status,source_run,notes
jobs,118,count,ACCOUNTING_PARTIAL,resources_002,actual缺失保持未知；reservation upper为保守资源上界，不是已测实际使用。
accounted_jobs,12,count,ACCOUNTING_PARTIAL,resources_002,actual缺失保持未知；reservation upper为保守资源上界，不是已测实际使用。
missing_jobs,106,count,ACCOUNTING_PARTIAL,resources_002,actual缺失保持未知；reservation upper为保守资源上界，不是已测实际使用。
ongoing_jobs,1,count,ACCOUNTING_PARTIAL,resources_002,actual缺失保持未知；reservation upper为保守资源上界，不是已测实际使用。
actual_cpu_core_hours,,CPU core hours,ACCOUNTING_PARTIAL,resources_002,actual缺失保持未知；reservation upper为保守资源上界，不是已测实际使用。
actual_gpu_hours,,GPU hours,ACCOUNTING_PARTIAL,resources_002,actual缺失保持未知；reservation upper为保守资源上界，不是已测实际使用。
actual_cpu_core_hours_lower_bound,,CPU core hours,ACCOUNTING_PARTIAL,resources_002,actual缺失保持未知；reservation upper为保守资源上界，不是已测实际使用。
actual_gpu_hours_lower_bound,,GPU hours,ACCOUNTING_PARTIAL,resources_002,actual缺失保持未知；reservation upper为保守资源上界，不是已测实际使用。
reservation_upper_cpu_core_hours,138.77277777777778,CPU core hours,ACCOUNTING_PARTIAL,resources_002,actual缺失保持未知；reservation upper为保守资源上界，不是已测实际使用。
reservation_upper_gpu_hours,13.713333333333333,GPU hours,ACCOUNTING_PARTIAL,resources_002,actual缺失保持未知；reservation upper为保守资源上界，不是已测实际使用。
max_cpu_core_hours,256.0,CPU core hours,ACCOUNTING_PARTIAL,resources_002,actual缺失保持未知；reservation upper为保守资源上界，不是已测实际使用。
max_gpu_hours,32.0,GPU hours,ACCOUNTING_PARTIAL,resources_002,actual缺失保持未知；reservation upper为保守资源上界，不是已测实际使用。
cpu_actual_complete,False,,ACCOUNTING_PARTIAL,resources_002,actual缺失保持未知；reservation upper为保守资源上界，不是已测实际使用。
gpu_actual_complete,False,,ACCOUNTING_PARTIAL,resources_002,actual缺失保持未知；reservation upper为保守资源上界，不是已测实际使用。
cpu_lower_bound_complete,False,,ACCOUNTING_PARTIAL,resources_002,actual缺失保持未知；reservation upper为保守资源上界，不是已测实际使用。
gpu_lower_bound_complete,False,,ACCOUNTING_PARTIAL,resources_002,actual缺失保持未知；reservation upper为保守资源上界，不是已测实际使用。
upper_bound_complete,True,,ACCOUNTING_PARTIAL,resources_002,actual缺失保持未知；reservation upper为保守资源上界，不是已测实际使用。
budget_status,WITHIN_CONSERVATIVE_BOUND,,ACCOUNTING_PARTIAL,resources_002,actual缺失保持未知；reservation upper为保守资源上界，不是已测实际使用。
