mode,population,previous_run_bin,class0_trials,class1_trials,n_candidates,n_candidates_both_classes,n_trials
L0,P_bal,run_2,7054,1666,60,60,8720
L0,P_bal,run_3_5,10547,5260,60,60,15807
L0,P_nat,run_2,7054,1666,60,60,8720
L0,P_nat,run_3_5,10547,5260,60,60,15807
R_SIM,P_bal,run_2,7054,1666,60,60,8720
R_SIM,P_bal,run_3_5,10547,5260,60,60,15807
R_SIM,P_nat,run_2,7054,1666,60,60,8720
R_SIM,P_nat,run_3_5,10547,5260,60,60,15807
