field,attempted_units,present_count,missing_count,coverage_fraction,source_run
fit_id,7553,4016,3537,0.5317092546008209,fit_accounting_001
packet,7553,0,7553,0.0,fit_accounting_001
mode,7553,1218,6335,0.1612604263206672,fit_accounting_001
view,7553,1974,5579,0.2613531047265987,fit_accounting_001
objective_id,7553,3701,3852,0.4900039719316827,fit_accounting_001
optimizer_id,7553,0,7553,0.0,fit_accounting_001
outer_fold,7553,390,7163,0.0516351118760757,fit_accounting_001
inner_fold,7553,360,7193,0.0476631801933006,fit_accounting_001
seed,7553,3701,3852,0.4900039719316827,fit_accounting_001
training_scope_hash,7553,4151,3402,0.5495829471733086,fit_accounting_001
input_hash,7553,4859,2694,0.6433205348868,fit_accounting_001
feature_scope_hash,7553,0,7553,0.0,fit_accounting_001
label_map_hash,7553,0,7553,0.0,fit_accounting_001
weight_distribution,7553,0,7553,0.0,fit_accounting_001
hyperparameter_source,7553,0,7553,0.0,fit_accounting_001
calibration_scope_hash,7553,0,7553,0.0,fit_accounting_001
n_train_candidates,7553,0,7553,0.0,fit_accounting_001
n_train_trials_or_bags,7553,0,7553,0.0,fit_accounting_001
n_eval_candidates,7553,0,7553,0.0,fit_accounting_001
n_eval_trials_or_bags,7553,0,7553,0.0,fit_accounting_001
step_count,7553,3509,4044,0.4645836091619224,fit_accounting_001
final_train_loss,7553,0,7553,0.0,fit_accounting_001
gradient_diagnostic,7553,0,7553,0.0,fit_accounting_001
finite_parameters,7553,0,7553,0.0,fit_accounting_001
optimizer_status,7553,3701,3852,0.4900039719316827,fit_accounting_001
resource_usage,7553,0,7553,0.0,fit_accounting_001
code_hash,7553,7553,0,1.0,fit_accounting_001
config_hash,7553,7553,0,1.0,fit_accounting_001
model_hash,7553,0,7553,0.0,fit_accounting_001
prediction_hash,7553,0,7553,0.0,fit_accounting_001
exception_class,7553,0,7553,0.0,fit_accounting_001
failure_stage,7553,0,7553,0.0,fit_accounting_001
