role,source_run,packet,execution_status,implementation_status,completed_receipt,code_hash,issues
support,S1_support_004,SUPPORT,PASS,PASS,True,838baeab32de96d86ac24ad206529d13dd523d39072c5b158f20b5e0c80b81e1,
tests,tests_010,GATES,PASS,PASS,True,298c016c2d315c555bb999919279f87267f77cbb8f9e24fba3e67894501d7d2d,
tests_retained,tests_009,GATES,FAILED,BUG,False,8f399c209a938169c9bbf7986b12bed95bee0d8d650c665e9c3d66ab8e8402dd,RETAINED_FAILURE
plan,plan_004,PLAN,PASS,PASS,True,298c016c2d315c555bb999919279f87267f77cbb8f9e24fba3e67894501d7d2d,
g0_legacy,G0_001,G0,PASS,PASS,True,b659998af42043e56e0b553ed5996d5ba6ebd6d457c712411d87b5bbc4cad4d1,
g0_metadata,G0_metadata_002,G0,PASS,PASS,True,00014f072d48c4be665512be6e949fbeed7e4f35d28314212051da097f7171b5,
g0_readouts,G0_readouts_001,G0,G0_READOUTS_COMPLETE,PASS,True,c55a5c6bb34c52931e03b25a9988475bdd752e5d5e45a55785555cb68eb969cc,
a2_core,A2_core_001,A2,A2_CORE_RECORDED,PASS,True,ba5679e19c3d058ac1a8adfbe17b112cd58509f90ba46f55c4f59f993614f0ef,
a2_residual_failed,A2_residual_001,A2,FAILED,BUG,False,c55a5c6bb34c52931e03b25a9988475bdd752e5d5e45a55785555cb68eb969cc,RETAINED_FAILURE
a2_residual,A2_residual_recovered_001,A2,OUTPUT_FINALIZATION_REPAIRED,PASS,True,298c016c2d315c555bb999919279f87267f77cbb8f9e24fba3e67894501d7d2d,
n1,N1_core_001,N1,CORE_MATRIX_RECORDED,PASS,True,771fd4ec025f2d2d846cbe5eae0f8e33dc543bccb9b591b9dfba6d1931ded21e,
n2,N2_core_001,N2,CORE_MATRIX_RECORDED,NUMERICAL_FAILURE,True,6ef59158bbe2cbc2324356fc4e7de146eaf46ba614781c7339068d4ff818f8c6,
n3,N3_core_001,N3,CORE_MATRIX_RECORDED,PASS,True,0dee0f0f7308645afdce98d058add79ab68e6a740cb30d69c62d9162834eb4f6,
c2s,C2S_core_001,C2_S,C2S_LINEAR_MATRIX_COMPLETE,PASS,True,a1ef8cf32b38a3547e7f1bf3560ec6ebbebed985afdcae84659bca9e2d626baa,
c2r,C2R_core_001,C2_R,COMPLETE_REPAIRED_CORE,PASS,True,b6f774a77024ab430f4c4bbf0d2d0073ce2974929fd011b9c6077457e41c4e2e,
e0r,E0R_core_001,E0_R,INCOMPLETE_PRIMARY_MATRIX,NUMERICAL_FAILURE,True,cd0d9ff24d31794e28b45b6ef824a6582a841de7fb786987a45ec144f7dff727,
synthetic,synthetic_001,SYNTHETIC,NUMERICAL_INCOMPLETE,NUMERICAL_FAILURE,True,b6f774a77024ab430f4c4bbf0d2d0073ce2974929fd011b9c6077457e41c4e2e,
metrics,metrics_001,METRICS,FIXED_PREDICTION_METRICS_COMPLETE,PASS,True,69e40ff43ba2a812affe47a474769c94e70e965d99300f29abad9402e26b3e46,
postflight,postflight_002,AUDIT,PASS,PASS,True,5305fc9a06aeedc8e20896e7c1d6f16d0f2a5d9d0df0baaafe3b2412e3b0323e,
resources,resources_002,RESOURCES,ACCOUNTING_PARTIAL,PASS,True,5305fc9a06aeedc8e20896e7c1d6f16d0f2a5d9d0df0baaafe3b2412e3b0323e,
postflight_retained,postflight_001,AUDIT,PERMISSION_ANOMALIES,BUG,True,69e40ff43ba2a812affe47a474769c94e70e965d99300f29abad9402e26b3e46,
fit_accounting,fit_accounting_001,FIT_AUDIT,FIT_ACCOUNTING_PARTIAL,PASS,True,69e40ff43ba2a812affe47a474769c94e70e965d99300f29abad9402e26b3e46,
tests_supplement,tests_011,GATES,PASS,PASS,True,7262e49c403b39577756c604593c47e5a9df3993f4ebfd2e8b85af3f1707455b,
