model,seed,fold,partition,train_block,child,n_records,n,n_class1,auc,auc_pitch_direction,bacc,ce_bal_bits,j_bits
adapt_zero_shot,11,0,odd_even_blocks,0,2,7,1078,152,0.5290905075657143,0.566656466748266,0.3706108996046476,1.5823489427566528,0.0026135579645032436
adapt_finetuned,11,0,odd_even_blocks,0,2,7,1078,152,0.5408469167280271,0.5843533251733987,0.3852380987727506,1.5783352851867676,0.0066272155343884975
adapt_zero_shot,11,0,odd_even_blocks,0,3,3,891,111,0.5496815890240924,0.5378151260504203,0.33993288474021766,1.5728174448013306,0.01214505591982551
adapt_finetuned,11,0,odd_even_blocks,0,3,3,891,111,0.5487182956137284,0.5343326519797108,0.3728259591034353,1.5786800384521484,0.006282462269007638
adapt_zero_shot,11,0,odd_even_blocks,0,8,3,879,110,0.5323759513324933,0.49197111299915036,0.3592182661810242,1.5956392288208008,-0.010676728099644706
adapt_finetuned,11,0,odd_even_blocks,0,8,3,879,110,0.5328729655958853,0.4924384027187765,0.36771153383797023,1.5954362154006958,-0.010473714679539725
adapt_zero_shot,11,1,odd_even_blocks,0,5,3,938,127,0.525345851302868,0.5397919010123734,0.35479417004204944,1.5901594161987305,-0.005196915477574393
adapt_finetuned,11,1,odd_even_blocks,0,5,3,938,127,0.5245386169219923,0.5382452193475815,0.362191314068574,1.5891484022140503,-0.004185901492894217
adapt_zero_shot,11,1,odd_even_blocks,0,10,4,998,133,0.5624399088243996,0.5508641005498822,0.40019884531755306,1.5674324035644531,0.01753009715670295
adapt_finetuned,11,1,odd_even_blocks,0,10,4,998,133,0.5688539537617657,0.5618897991246774,0.4053494395072558,1.5633465051651,0.021615995556055978
adapt_zero_shot,11,1,odd_even_blocks,0,12,6,1348,154,0.557807448643918,0.5861344537815126,0.35753169165393434,1.5734866857528687,0.011475814968287423
adapt_finetuned,11,1,odd_even_blocks,0,12,6,1348,154,0.578383641422778,0.6131588999236058,0.41526337097338933,1.5590996742248535,0.02586282649630256
adapt_zero_shot,11,2,odd_even_blocks,0,7,3,895,97,0.6019727061421424,0.6490991424992775,0.4399553125636309,1.5319792032241821,0.05298329749697395
adapt_finetuned,11,2,odd_even_blocks,0,7,3,895,97,0.6042378487125902,0.656951536756913,0.43770588195104526,1.529923439025879,0.05503906169527717
