model,seed,fold,child,n_records,n,n_class1,auc,auc_pitch_direction,bacc,ce_bal_bits,j_bits
shared,11,0,2,8,3408,417,0.5471160669842611,0.5775467217466902,0.391724780080875,1.5780014991760254,0.006961001545130685
shared,11,0,3,3,2736,335,0.5582365308251722,0.5339118361679973,0.3513022121307179,1.571444034576416,0.01351846614474006
shared,11,0,8,3,2707,345,0.5608379982521816,0.5687144628275833,0.3882034386606947,1.573814868927002,0.011147631794154123
shared,11,1,5,3,2919,366,0.5478824265503869,0.5495890286544661,0.3745789220847327,1.5777581930160522,0.0072043077051038296
shared,11,1,10,4,3010,384,0.5701705372321743,0.5870861965532286,0.3818307273924959,1.5653518438339233,0.019610656887232736
shared,11,1,12,6,4109,511,0.565085883903563,0.6004312531709791,0.36676179624013133,1.5699477195739746,0.015014781147181466
shared,11,2,6,2,837,112,0.5905422660678418,0.5600572776280324,0.41450231295005274,1.5544953346252441,0.030467166095911935
shared,11,2,7,3,2715,337,0.5920079613662922,0.6257484241392024,0.4250908098857802,1.5352751016616821,0.04968739905947395
shared,11,2,11,4,3875,490,0.5194504866984236,0.5156154007994951,0.358336344135948,1.6098216772079468,-0.0248591764867907
shared,11,3,0,2,1121,142,0.5343752779661227,0.524316186976934,0.3610134385615999,1.5943427085876465,-0.009380207866490409
shared,11,3,4,2,1862,235,0.5364649606298629,0.5512464615103643,0.3756739828969889,1.583837866783142,0.0011246339380139858
shared,11,3,9,3,2912,364,0.5542085993013448,0.5679098298961314,0.3858427502379209,1.5715141296386719,0.0134483710824842
shared,11,4,1,2,1117,136,0.5106516099080144,0.5332968293700459,0.34243300156942214,1.5864769220352173,-0.0015144213140612095
shared,11,4,13,5,4947,620,0.5126819130327368,0.49759101752930196,0.3518999583938796,1.6179836988449097,-0.03302119812375359
shared,11,4,14,5,4963,621,0.5570788648700792,0.5688340865409589,0.38834058442272273,1.5700889825820923,0.01487351813906379
shared,22,0,1,2,1117,136,0.5100047390700161,0.529203170629954,0.33185430200448973,1.5844931602478027,0.0004693404733533413
shared,22,0,3,3,2736,335,0.5489431604029199,0.5338467545990975,0.3917971715064321,1.576064109802246,0.008898390918909982
shared,22,0,10,4,3010,384,0.5555995137185602,0.5857193499127399,0.3873075194896299,1.5718073844909668,0.013155116230189279
shared,22,1,7,3,2715,337,0.5391476892155268,0.5294541112847435,0.3586794850564203,1.5784320831298828,0.006530417591273263
shared,22,1,9,3,2912,364,0.5286839800990589,0.5093105524612374,0.344333933792954,1.5832648277282715,0.0016976729928845913
shared,22,1,12,6,4109,511,0.532541713364883,0.5258824382112054,0.3547309141162825,1.5843348503112793,0.0006276504098767788
shared,22,2,0,2,1121,142,0.5371028052914851,0.5460298020004082,0.34892230912227234,1.6061344146728516,-0.021171913951695487
shared,22,2,5,3,2919,366,0.5777731829956431,0.602273587333303,0.40089854186225615,1.5641292333602905,0.02083326736086555
shared,22,2,14,5,4963,621,0.5703512056430328,0.5975871383304764,0.3952653764177752,1.5710138082504272,0.01394869247072883
shared,22,3,2,8,3408,417,0.5370097095108292,0.5471447659390736,0.35095666125391994,1.5805212259292603,0.004441274791895822
shared,22,3,4,2,1862,235,0.5420426939108355,0.5592731257419414,0.3795119042737265,1.5763853788375854,0.008577121883570626
shared,22,3,6,2,837,112,0.5903808200009567,0.5984248652291105,0.41927544861941485,1.5564604997634888,0.028502000957667306
shared,22,4,8,3,2707,345,0.5484379316260085,0.5648967551622419,0.3871929440057187,1.5796175003051758,0.005345000415980294
shared,22,4,11,4,3875,490,0.5319760654811742,0.5109888491479067,0.3511048315522441,1.6050729751586914,-0.02011047443753533
shared,22,4,13,5,4947,620,0.500731523658825,0.47722357639249047,0.323449637767327,1.6448503732681274,-0.059887872546971366
shared,33,0,3,3,2736,335,0.5525616260063589,0.5420123221103783,0.3948705360153591,1.5726724863052368,0.01229001441591926
shared,33,0,8,3,2707,345,0.5451443516906277,0.5498610576717542,0.3723588927834372,1.5780185461044312,0.006943954616724923
shared,33,0,9,3,2912,364,0.5707836363931931,0.5994392593707663,0.41341109081996014,1.5642156600952148,0.020746840625941232
shared,33,1,5,3,2919,366,0.563812861399673,0.5821602107079606,0.39522196251657293,1.5636725425720215,0.02128995814913459
shared,33,1,10,4,3010,384,0.5567931045273579,0.5717850130890052,0.3774340407073507,1.572239875793457,0.012722624927699044
shared,33,1,12,6,4109,511,0.5656951851900057,0.5982242516489091,0.38803713122723665,1.570051670074463,0.014910830646693185
shared,33,2,0,2,1121,142,0.5421162322765979,0.5455194937742397,0.37014672200891624,1.5899028778076172,-0.004940377086461112
shared,33,2,11,4,3875,490,0.5207554970779814,0.5233578792341679,0.35125433180737636,1.60847008228302,-0.023507581561863944
shared,33,2,14,5,4963,621,0.5770786475447544,0.6070879434834555,0.4072300265393956,1.5568338632583618,0.02812863746279426
shared,33,3,1,2,1117,136,0.5255827269137177,0.5332186065915728,0.33783350219520436,1.583748459815979,0.0012140409051770717
shared,33,3,2,8,3408,417,0.5489260628300953,0.5719103549277367,0.36453460216040373,1.5770974159240723,0.00786508479708381
shared,33,3,13,5,4947,620,0.5229712306823676,0.507149154652007,0.35939853656758974,1.6408662796020508,-0.055903778880894706
shared,33,4,4,2,1862,235,0.542256744746184,0.5483334855264359,0.3558711928415003,1.5815099477767944,0.003452552944361642
shared,33,4,6,2,837,112,0.5719431878169446,0.5785040431266846,0.3910186487494684,1.560445785522461,0.024516715198695138
shared,33,4,7,3,2715,337,0.5857321927037643,0.5870059522764385,0.39838121595274817,1.550795078277588,0.034167422443568185
