comparison,endpoint,metric,n_candidates,leave_one_candidate_min,leave_one_candidate_max,scope
R_SUP_minus_R_SIM,post_delta,cosine,49,0.03282767733669808,0.04918289272272222,all candidates retained in descriptive range; no exclusions
R_SUP_minus_R_SIM,post_minus_pre,cosine,49,0.04709091358252413,0.07123301360382704,all candidates retained in descriptive range; no exclusions
R_SUP_minus_R_RAND,post_delta,cosine,49,0.008098484198947072,0.02400191794774952,all candidates retained in descriptive range; no exclusions
R_SUP_minus_R_RAND,post_minus_pre,cosine,49,0.01875631411686926,0.044311536111520694,all candidates retained in descriptive range; no exclusions
