packet,mode,population,view,calibration,family,family_class,risk_metric,risk_unit,estimate,ci_lower,ci_upper,n_candidates,source_run,comparison_status,interpretation
N1,L0,P_bal,H,mixture_diagnostic,logistic,fixed_family,ce_bits,bits/trial,0.6816646689589353,0.615715531370024,0.7817816728054325,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,L0,P_bal,H,raw,logistic,fixed_family,ce_bits,bits/trial,0.6784942931111156,0.6288133523034758,0.7530002928833428,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,L0,P_bal,H,temperature,logistic,fixed_family,ce_bits,bits/trial,0.6816646689589353,0.615715531370024,0.7817816728054325,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,L0,P_bal,HB,mixture_diagnostic,logistic,fixed_family,ce_bits,bits/trial,0.6826324291503479,0.6180985772472891,0.7802615586750894,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,L0,P_bal,HB,raw,logistic,fixed_family,ce_bits,bits/trial,0.6798330843463932,0.6300708032077155,0.7543212784235854,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,L0,P_bal,HB,temperature,logistic,fixed_family,ce_bits,bits/trial,0.6826324291503479,0.6180985772472891,0.7802615586750894,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,L0,P_bal,HP,mixture_diagnostic,logistic,fixed_family,ce_bits,bits/trial,0.6818467766733127,0.6172347608684853,0.7792942871878095,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,L0,P_bal,HP,raw,logistic,fixed_family,ce_bits,bits/trial,0.6787526199425636,0.6289944844261628,0.7529755868739583,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,L0,P_bal,HP,temperature,logistic,fixed_family,ce_bits,bits/trial,0.6818467766733127,0.6172347608684853,0.7792942871878095,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,L0,P_bal,HPB,mixture_diagnostic,logistic,fixed_family,ce_bits,bits/trial,0.6828137520849988,0.6195908217070192,0.7776990236010952,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,L0,P_bal,HPB,raw,logistic,fixed_family,ce_bits,bits/trial,0.68013072715388,0.6303808292297337,0.7543635584620888,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
