packet,mode,population,view,calibration,family,family_class,risk_metric,risk_unit,estimate,ci_lower,ci_upper,n_candidates,source_run,comparison_status,interpretation
N1,L0,P_bal,H,mixture_diagnostic,logistic,fixed_family,ce_bits,bits/trial,0.6816646689589353,0.615715531370024,0.7817816728054325,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,L0,P_bal,HPB,temperature,logistic,fixed_family,ce_bits,bits/trial,0.6828137520849988,0.6195908217070192,0.7776990236010952,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,L0,P_bal,HPBnoise,mixture_diagnostic,logistic,fixed_family,ce_bits,bits/trial,0.6823815984413184,0.6184635332367358,0.778223153511472,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,L0,P_bal,HPBnoise,raw,logistic,fixed_family,ce_bits,bits/trial,0.679226793252778,0.6295289016920004,0.7532419666582499,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,L0,P_bal,HPBnoise,temperature,logistic,fixed_family,ce_bits,bits/trial,0.6823815984413184,0.6184635332367358,0.778223153511472,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,L0,P_bal,HPP,mixture_diagnostic,logistic,fixed_family,ce_bits,bits/trial,0.6818783906529151,0.6173357593894979,0.7791852916556798,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,L0,P_bal,HPP,raw,logistic,fixed_family,ce_bits,bits/trial,0.6787988282264692,0.6290443594515402,0.7530261859222709,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,L0,P_bal,HPP,temperature,logistic,fixed_family,ce_bits,bits/trial,0.6818783906529151,0.6173357593894979,0.7791852916556798,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,L0,P_nat,H,mixture_diagnostic,logistic,fixed_family,ce_bits,bits/trial,0.5168787240299256,0.4854082842310701,0.562709126199008,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,L0,P_nat,H,raw,logistic,fixed_family,ce_bits,bits/trial,0.5173377428698002,0.4896935770250972,0.5577032357817301,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,L0,P_nat,H,temperature,logistic,fixed_family,ce_bits,bits/trial,0.5168787240299256,0.4854082842310701,0.562709126199008,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,L0,P_nat,HB,mixture_diagnostic,logistic,fixed_family,ce_bits,bits/trial,0.5176488654073991,0.4864012622352835,0.5630974596246463,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,L0,P_nat,HB,raw,logistic,fixed_family,ce_bits,bits/trial,0.5180718545365347,0.4903142690799507,0.5586369089107345,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,L0,P_nat,HB,temperature,logistic,fixed_family,ce_bits,bits/trial,0.5176488654073991,0.4864012622352835,0.5630974596246463,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,L0,P_nat,HP,mixture_diagnostic,logistic,fixed_family,ce_bits,bits/trial,0.5174078787545053,0.4861857209069933,0.5630623408715435,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,L0,P_nat,HP,raw,logistic,fixed_family,ce_bits,bits/trial,0.5176684210096687,0.4898580021093286,0.5583872560325597,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,L0,P_nat,HP,temperature,logistic,fixed_family,ce_bits,bits/trial,0.5174078787545053,0.4861857209069933,0.5630623408715435,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,L0,P_nat,HPB,mixture_diagnostic,logistic,fixed_family,ce_bits,bits/trial,0.5181274930550498,0.4871033348511925,0.5633811225090242,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,L0,P_nat,HPB,raw,logistic,fixed_family,ce_bits,bits/trial,0.5183635251736755,0.4904409413917219,0.5591412193094794,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,L0,P_nat,HPB,temperature,logistic,fixed_family,ce_bits,bits/trial,0.5181274930550498,0.4871033348511925,0.5633811225090242,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,L0,P_nat,HPBnoise,mixture_diagnostic,logistic,fixed_family,ce_bits,bits/trial,0.5176662977419385,0.4867514928816455,0.562998157066107,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,L0,P_nat,HPBnoise,raw,logistic,fixed_family,ce_bits,bits/trial,0.5178796431152287,0.4901895924384723,0.5584034927896325,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,L0,P_nat,HPBnoise,temperature,logistic,fixed_family,ce_bits,bits/trial,0.5176662977419385,0.4867514928816455,0.562998157066107,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,L0,P_nat,HPP,mixture_diagnostic,logistic,fixed_family,ce_bits,bits/trial,0.5174557076517331,0.4862879444383458,0.5631087844167438,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,L0,P_nat,HPP,raw,logistic,fixed_family,ce_bits,bits/trial,0.5177118911732955,0.4898915746748538,0.558442801021723,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,L0,P_nat,HPP,temperature,logistic,fixed_family,ce_bits,bits/trial,0.5174557076517331,0.4862879444383458,0.5631087844167438,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_bal,H,mixture_diagnostic,logistic,fixed_family,ce_bits,bits/trial,0.6816646689589353,0.615715531370024,0.7817816728054325,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_bal,H,raw,logistic,fixed_family,ce_bits,bits/trial,0.6784942931111156,0.6288133523034758,0.7530002928833428,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_bal,H,temperature,logistic,fixed_family,ce_bits,bits/trial,0.6816646689589353,0.615715531370024,0.7817816728054325,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_bal,HB,mixture_diagnostic,logistic,fixed_family,ce_bits,bits/trial,0.6838943264566825,0.6188922967096954,0.782448542549118,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_bal,HB,raw,logistic,fixed_family,ce_bits,bits/trial,0.6805251649863637,0.6307227502512999,0.7554248971363585,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_bal,HB,temperature,logistic,fixed_family,ce_bits,bits/trial,0.6838943264566825,0.6188922967096954,0.782448542549118,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_bal,HP,mixture_diagnostic,logistic,fixed_family,ce_bits,bits/trial,0.681940301899874,0.6169501731939675,0.7803372185551298,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_bal,HP,raw,logistic,fixed_family,ce_bits,bits/trial,0.6784803639919306,0.6288422744235285,0.7526704408804248,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_bal,HP,temperature,logistic,fixed_family,ce_bits,bits/trial,0.681940301899874,0.6169501731939675,0.7803372185551298,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_bal,HPB,mixture_diagnostic,logistic,fixed_family,ce_bits,bits/trial,0.6839717661564899,0.6199528758770108,0.7805596856099494,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_bal,HPB,raw,logistic,fixed_family,ce_bits,bits/trial,0.6804446960964674,0.6305966656447625,0.7549458322833197,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_bal,HPB,temperature,logistic,fixed_family,ce_bits,bits/trial,0.6839717661564899,0.6199528758770108,0.7805596856099494,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_bal,HPBnoise,mixture_diagnostic,logistic,fixed_family,ce_bits,bits/trial,0.6826365450728091,0.6189001769347153,0.7791266392981626,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_bal,HPBnoise,raw,logistic,fixed_family,ce_bits,bits/trial,0.679144654743595,0.6295464304827373,0.7529860318788613,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_bal,HPBnoise,temperature,logistic,fixed_family,ce_bits,bits/trial,0.6826365450728091,0.6189001769347153,0.7791266392981626,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_bal,HPP,mixture_diagnostic,logistic,fixed_family,ce_bits,bits/trial,0.6822176460061098,0.6176565113042913,0.7800234269409457,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_bal,HPP,raw,logistic,fixed_family,ce_bits,bits/trial,0.6787760675448486,0.6290785416803903,0.7528957707210749,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_bal,HPP,temperature,logistic,fixed_family,ce_bits,bits/trial,0.6822176460061098,0.6176565113042913,0.7800234269409457,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_bal,H,mixture_diagnostic,mlp32,fixed_family,ce_bits,bits/trial,0.5974988715589957,0.5561056430841236,0.6629475536474032,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_bal,H,raw,mlp32,fixed_family,ce_bits,bits/trial,0.5960156234972178,0.5568118844595162,0.6544151750488068,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_bal,H,temperature,mlp32,fixed_family,ce_bits,bits/trial,0.5974988715589957,0.5561056430841236,0.6629475536474032,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_bal,HB,mixture_diagnostic,mlp32,fixed_family,ce_bits,bits/trial,0.6638285900472644,0.6360805024991172,0.7056853788327865,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_bal,HB,raw,mlp32,fixed_family,ce_bits,bits/trial,0.6741419349915044,0.6303069858497452,0.7386567082002662,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_bal,HB,temperature,mlp32,fixed_family,ce_bits,bits/trial,0.6638285900472644,0.6360805024991172,0.7056853788327865,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_bal,HP,mixture_diagnostic,mlp32,fixed_family,ce_bits,bits/trial,0.664780542257348,0.6387443609379745,0.7029948147154567,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_bal,HP,raw,mlp32,fixed_family,ce_bits,bits/trial,0.6793461011997349,0.6374586612749836,0.7396923862344222,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_bal,HP,temperature,mlp32,fixed_family,ce_bits,bits/trial,0.664780542257348,0.6387443609379745,0.7029948147154567,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_bal,HPB,mixture_diagnostic,mlp32,fixed_family,ce_bits,bits/trial,0.7108820030851594,0.688431820235743,0.7433882114609142,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_bal,HPB,raw,mlp32,fixed_family,ce_bits,bits/trial,0.7919634319720443,0.7351066067627976,0.8737408764911657,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_bal,HPB,temperature,mlp32,fixed_family,ce_bits,bits/trial,0.7108820030851594,0.688431820235743,0.7433882114609142,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_bal,HPBnoise,mixture_diagnostic,mlp32,fixed_family,ce_bits,bits/trial,0.7198670763246329,0.698437420740833,0.7497389193216332,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_bal,HPBnoise,raw,mlp32,fixed_family,ce_bits,bits/trial,0.8211294622393456,0.7636351764944613,0.9013385224281232,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_bal,HPBnoise,temperature,mlp32,fixed_family,ce_bits,bits/trial,0.7198670763246329,0.698437420740833,0.7497389193216332,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_bal,HPP,mixture_diagnostic,mlp32,fixed_family,ce_bits,bits/trial,0.6818471532294217,0.6565681235639379,0.7189300098702359,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_bal,HPP,raw,mlp32,fixed_family,ce_bits,bits/trial,0.7112204558376191,0.6629213745956188,0.781623044419339,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_bal,HPP,temperature,mlp32,fixed_family,ce_bits,bits/trial,0.6818471532294217,0.6565681235639379,0.7189300098702359,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_nat,H,mixture_diagnostic,logistic,fixed_family,ce_bits,bits/trial,0.5168787240299256,0.4854082842310701,0.562709126199008,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_nat,H,raw,logistic,fixed_family,ce_bits,bits/trial,0.5173377428698002,0.4896935770250972,0.5577032357817301,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_nat,H,temperature,logistic,fixed_family,ce_bits,bits/trial,0.5168787240299256,0.4854082842310701,0.562709126199008,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_nat,HB,mixture_diagnostic,logistic,fixed_family,ce_bits,bits/trial,0.5184389061795361,0.4867874514598857,0.5642595660956659,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_nat,HB,raw,logistic,fixed_family,ce_bits,bits/trial,0.5186775354987646,0.4905761759832691,0.5597821819707892,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_nat,HB,temperature,logistic,fixed_family,ce_bits,bits/trial,0.5184389061795361,0.4867874514598857,0.5642595660956659,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_nat,HP,mixture_diagnostic,logistic,fixed_family,ce_bits,bits/trial,0.5172168957393931,0.4852876893627936,0.563770614909887,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_nat,HP,raw,logistic,fixed_family,ce_bits,bits/trial,0.5175377583131758,0.4892691652766149,0.5589772633612912,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_nat,HP,temperature,logistic,fixed_family,ce_bits,bits/trial,0.5172168957393931,0.4852876893627936,0.563770614909887,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_nat,HPB,mixture_diagnostic,logistic,fixed_family,ce_bits,bits/trial,0.5185906053364068,0.4864576725943297,0.5653501199666141,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_nat,HPB,raw,logistic,fixed_family,ce_bits,bits/trial,0.5187320935374278,0.4901887825184781,0.5605321187046103,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_nat,HPB,temperature,logistic,fixed_family,ce_bits,bits/trial,0.5185906053364068,0.4864576725943297,0.5653501199666141,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_nat,HPBnoise,mixture_diagnostic,logistic,fixed_family,ce_bits,bits/trial,0.5174763719742054,0.4856750855104371,0.5636027870666132,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_nat,HPBnoise,raw,logistic,fixed_family,ce_bits,bits/trial,0.5177251733969486,0.4894283791980034,0.5587347365169758,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_nat,HPBnoise,temperature,logistic,fixed_family,ce_bits,bits/trial,0.5174763719742054,0.4856750855104371,0.5636027870666132,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_nat,HPP,mixture_diagnostic,logistic,fixed_family,ce_bits,bits/trial,0.5175120013175425,0.4856227550208974,0.5641929508055683,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_nat,HPP,raw,logistic,fixed_family,ce_bits,bits/trial,0.5178036898629143,0.4894837835160726,0.5593040138883205,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_nat,HPP,temperature,logistic,fixed_family,ce_bits,bits/trial,0.5175120013175425,0.4856227550208974,0.5641929508055683,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_nat,H,mixture_diagnostic,mlp32,fixed_family,ce_bits,bits/trial,0.464342194257184,0.4448913809749162,0.4926395961536024,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_nat,H,raw,mlp32,fixed_family,ce_bits,bits/trial,0.4645251968298909,0.4454303564105643,0.4920221144852825,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_nat,H,temperature,mlp32,fixed_family,ce_bits,bits/trial,0.464342194257184,0.4448913809749162,0.4926395961536024,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_nat,HB,mixture_diagnostic,mlp32,fixed_family,ce_bits,bits/trial,0.4981091337345744,0.4806446182843839,0.523259244929028,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_nat,HB,raw,mlp32,fixed_family,ce_bits,bits/trial,0.4932018393933314,0.4706841457705231,0.5254875290254597,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_nat,HB,temperature,mlp32,fixed_family,ce_bits,bits/trial,0.4941164259421147,0.47474592938935,0.5221583633553374,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_nat,HP,mixture_diagnostic,mlp32,fixed_family,ce_bits,bits/trial,0.4971607925603595,0.4802512512689053,0.5212819880167932,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_nat,HP,raw,mlp32,fixed_family,ce_bits,bits/trial,0.4931415338488413,0.4706120062152874,0.5253821264206842,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_nat,HP,temperature,mlp32,fixed_family,ce_bits,bits/trial,0.4933125570499458,0.4744217452802981,0.5207403106941679,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_nat,HPB,mixture_diagnostic,mlp32,fixed_family,ce_bits,bits/trial,0.520087398839531,0.5029134446031672,0.5446236485165237,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_nat,HPB,raw,mlp32,fixed_family,ce_bits,bits/trial,0.5264476720495863,0.4960301739116243,0.5703844413798939,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_nat,HPB,temperature,mlp32,fixed_family,ce_bits,bits/trial,0.5182692397088782,0.4981590567949723,0.5467690675230501,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_nat,HPB_donor_support_reference,mixture_diagnostic,mlp32,fixed_family,ce_bits,bits/trial,0.5206021156339025,0.503619959732452,0.5448212521001721,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_nat,HPB_donor_support_reference,raw,mlp32,fixed_family,ce_bits,bits/trial,0.5277049347988536,0.4962760468553628,0.5728280432695768,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_nat,HPB_donor_support_reference,temperature,mlp32,fixed_family,ce_bits,bits/trial,0.518998061772856,0.4987262209992136,0.5476550852227112,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_nat,HPB_training_child_donor,mixture_diagnostic,mlp32,fixed_family,ce_bits,bits/trial,0.5261005613945,0.5062847580033659,0.5554717039002944,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_nat,HPB_training_child_donor,raw,mlp32,fixed_family,ce_bits,bits/trial,0.5378880217935676,0.5019115444866347,0.5899379885529414,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_nat,HPB_training_child_donor,temperature,mlp32,fixed_family,ce_bits,bits/trial,0.5252065036179342,0.5017493498597769,0.5588317085158632,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_nat,HPBnoise,mixture_diagnostic,mlp32,fixed_family,ce_bits,bits/trial,0.5253496546619018,0.5113148212708666,0.5449018354455344,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_nat,HPBnoise,raw,mlp32,fixed_family,ce_bits,bits/trial,0.5349605621322999,0.509846950959969,0.570448659453732,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_nat,HPBnoise,temperature,mlp32,fixed_family,ce_bits,bits/trial,0.5231553609549712,0.5070024460860415,0.5458775340618757,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_nat,HPP,mixture_diagnostic,mlp32,fixed_family,ce_bits,bits/trial,0.5088702368551136,0.4921708739499656,0.5314622035788031,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_nat,HPP,raw,mlp32,fixed_family,ce_bits,bits/trial,0.5085714943980838,0.482793418122258,0.5453909241547645,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
N1,R_SIM,P_nat,HPP,temperature,mlp32,fixed_family,ce_bits,bits/trial,0.5062818016185635,0.4873076805111612,0.5330814275168769,59.0,N1_core_001,SOURCE_VALUE_RETAINED,source CE/risk summary; not reinterpreted as MI
