fold,mode,endpoint,metric,statistic,n_candidates
0,R_SUP,post_delta,cosine,0.09014894442577512,11
0,R_SIM,post_delta,cosine,-0.010050861890843142,11
0,R_SUP_minus_R_SIM,post_delta,cosine,0.10019980631661826,11
0,R_SUP,pre_delta,cosine,0.000989278635716366,11
0,R_SIM,pre_delta,cosine,0.03290791554454567,11
0,R_SUP_minus_R_SIM,pre_delta,cosine,-0.031918636908829304,11
1,R_SUP,post_delta,cosine,0.026374813498897823,11
1,R_SIM,post_delta,cosine,0.07332656553633665,11
1,R_SUP_minus_R_SIM,post_delta,cosine,-0.04695175203743883,11
1,R_SUP,pre_delta,cosine,-0.04231338481604202,11
1,R_SIM,pre_delta,cosine,0.008172587553914354,11
1,R_SUP_minus_R_SIM,pre_delta,cosine,-0.050485972369956375,11
2,R_SUP,post_delta,cosine,0.15463089229458218,8
2,R_SIM,post_delta,cosine,0.01412683027388432,8
2,R_SUP_minus_R_SIM,post_delta,cosine,0.14050406202069787,8
2,R_SUP,pre_delta,cosine,0.018714454955979953,8
2,R_SIM,pre_delta,cosine,0.08381279595152054,8
2,R_SUP_minus_R_SIM,pre_delta,cosine,-0.06509834099554059,8
3,R_SUP,post_delta,cosine,0.07742496680280259,9
3,R_SIM,post_delta,cosine,-0.011246491644432605,9
3,R_SUP_minus_R_SIM,post_delta,cosine,0.08867145844723519,9
3,R_SUP,pre_delta,cosine,-0.08548252337706429,9
3,R_SIM,pre_delta,cosine,-0.09219299229002653,9
3,R_SUP_minus_R_SIM,pre_delta,cosine,0.006710468912962245,9
4,R_SUP,post_delta,cosine,-0.044620776726028516,10
4,R_SIM,post_delta,cosine,0.004624672059843055,10
4,R_SUP_minus_R_SIM,post_delta,cosine,-0.04924544878587157,10
4,R_SUP,pre_delta,cosine,0.07507182744749953,10
4,R_SIM,pre_delta,cosine,0.022846290109440386,10
4,R_SUP_minus_R_SIM,pre_delta,cosine,0.052225537338059146,10
0,R_SUP,post_delta,cosine,0.09014894442577512,11
0,R_RAND,post_delta,cosine,0.0413158115972627,11
0,R_SUP_minus_R_RAND,post_delta,cosine,0.04883313282851242,11
0,R_SUP,pre_delta,cosine,0.000989278635716366,11
0,R_RAND,pre_delta,cosine,0.03591006621624561,11
0,R_SUP_minus_R_RAND,pre_delta,cosine,-0.034920787580529244,11
1,R_SUP,post_delta,cosine,0.026374813498897823,11
1,R_RAND,post_delta,cosine,0.052201719564128966,11
1,R_SUP_minus_R_RAND,post_delta,cosine,-0.025826906065231144,11
1,R_SUP,pre_delta,cosine,-0.04231338481604202,11
1,R_RAND,pre_delta,cosine,-0.015220205230816464,11
1,R_SUP_minus_R_RAND,pre_delta,cosine,-0.027093179585225557,11
2,R_SUP,post_delta,cosine,0.15463089229458218,8
2,R_RAND,post_delta,cosine,0.12223579533445723,8
2,R_SUP_minus_R_RAND,post_delta,cosine,0.03239509696012495,8
2,R_SUP,pre_delta,cosine,0.018714454955979953,8
2,R_RAND,pre_delta,cosine,0.10213547248108328,8
2,R_SUP_minus_R_RAND,pre_delta,cosine,-0.08342101752510332,8
3,R_SUP,post_delta,cosine,0.07742496680280259,9
3,R_RAND,post_delta,cosine,0.005789973806127519,9
3,R_SUP_minus_R_RAND,post_delta,cosine,0.07163499299667507,9
3,R_SUP,pre_delta,cosine,-0.08548252337706429,9
3,R_RAND,pre_delta,cosine,-0.06931385973455562,9
3,R_SUP_minus_R_RAND,pre_delta,cosine,-0.01616866364250867,9
4,R_SUP,post_delta,cosine,-0.044620776726028516,10
4,R_RAND,post_delta,cosine,0.0005806376899366444,10
4,R_SUP_minus_R_RAND,post_delta,cosine,-0.04520141441596516,10
4,R_SUP,pre_delta,cosine,0.07507182744749953,10
4,R_RAND,pre_delta,cosine,0.002859037147279484,10
4,R_SUP_minus_R_RAND,pre_delta,cosine,0.07221279030022004,10
