comparison,first_mode,second_mode,endpoint,metric,estimate,ci_lower,ci_upper,n_candidates,n_bootstrap,invalid_replicates,valid_replicates,bootstrap_seed,bootstrap_scope,status,primary_result_unchanged
R_SUP_minus_R_SIM,R_SUP,R_SIM,post_delta,cosine,0.0411295863551624,-0.007438424775248067,0.09324449473544763,49,2000,0,2000,20260918,fixed saved OOF matrices; matched candidate draws within original folds; no refit,COMPUTED,True
R_SUP_minus_R_SIM,R_SUP,R_SIM,post_minus_pre,cosine,0.05836607281299333,-0.014810101607343704,0.1304411408616815,49,2000,0,2000,20260918,fixed saved OOF matrices; matched candidate draws within original folds; no refit,COMPUTED,True
R_SUP_minus_R_RAND,R_SUP,R_RAND,post_delta,cosine,0.014386327814030975,-0.042119064964738766,0.06758149871901419,49,2000,0,2000,20260918,fixed saved OOF matrices; matched candidate draws within original folds; no refit,COMPUTED,True
R_SUP_minus_R_RAND,R_SUP,R_RAND,post_minus_pre,cosine,0.030160039014122952,-0.04199917254055424,0.0971321695124229,49,2000,0,2000,20260918,fixed saved OOF matrices; matched candidate draws within original folds; no refit,COMPUTED,True
