model,seed,fold,partition,train_block,child,n_records,n,n_class1,auc,bacc,ce_bal_bits,j_bits
adapt_zero_shot,11,0,odd_even_blocks,0,2,1,297,50,0.5403643724696356,0.5321052631578947,0.9982790946960449,0.0017209053039550781
adapt_finetuned,11,0,odd_even_blocks,0,2,1,297,50,0.5486639676113361,0.5300809716599191,0.9966554641723633,0.0033445358276367188
adapt_zero_shot,11,0,odd_even_blocks,0,3,1,297,53,0.4568512217754408,0.4853850912465203,1.0120699405670166,-0.012069940567016602
adapt_finetuned,11,0,odd_even_blocks,0,3,1,297,53,0.4472239406124343,0.46365604701515617,1.0236674547195435,-0.023667454719543457
adapt_zero_shot,11,0,odd_even_blocks,0,10,6,663,131,0.5062560982609196,0.5023316879986225,1.021365761756897,-0.021365761756896973
adapt_finetuned,11,0,odd_even_blocks,0,10,6,663,131,0.5039961545084084,0.5030993514320152,1.0177241563796997,-0.017724156379699707
adapt_zero_shot,11,0,odd_even_blocks,0,40,1,307,57,0.5277543859649122,0.5303859649122807,1.0134574174880981,-0.013457417488098145
adapt_finetuned,11,0,odd_even_blocks,0,40,1,307,57,0.5295087719298246,0.5303859649122807,1.0111968517303467,-0.01119685173034668
adapt_zero_shot,11,1,odd_even_blocks,0,12,1,302,68,0.4871166415284063,0.478192559074912,1.0116252899169922,-0.011625289916992188
adapt_finetuned,11,1,odd_even_blocks,0,12,1,302,68,0.5043991955756661,0.5094896933132227,1.0074012279510498,-0.007401227951049805
adapt_zero_shot,11,1,odd_even_blocks,0,21,2,267,44,0.581532816958826,0.5368426416632694,0.9899642467498779,0.01003575325012207
adapt_finetuned,11,1,odd_even_blocks,0,21,2,267,44,0.5820423970648186,0.5278740317977986,0.9896718263626099,0.010328173637390137
adapt_zero_shot,11,1,odd_even_blocks,0,27,2,249,54,0.5635327635327635,0.5434472934472934,0.9898020625114441,0.010197937488555908
adapt_finetuned,11,1,odd_even_blocks,0,27,2,249,54,0.5547958214624881,0.5645299145299145,0.9915134906768799,0.008486509323120117
adapt_zero_shot,11,1,odd_even_blocks,0,31,1,281,62,0.5244144940344675,0.5461776403004861,1.0002819299697876,-0.00028192996978759766
adapt_finetuned,11,1,odd_even_blocks,0,31,1,281,62,0.5158344380615703,0.5542421564295184,1.0025625228881836,-0.0025625228881835938
adapt_zero_shot,11,1,odd_even_blocks,0,32,1,299,65,0.44986850756081526,0.48846153846153845,1.0195947885513306,-0.019594788551330566
adapt_finetuned,11,1,odd_even_blocks,0,32,1,299,65,0.44086127547666015,0.4863247863247863,1.0248825550079346,-0.02488255500793457
adapt_zero_shot,11,1,odd_even_blocks,0,37,2,295,52,0.5095758151313707,0.5107233301677746,1.0079491138458252,-0.007949113845825195
adapt_finetuned,11,1,odd_even_blocks,0,37,2,295,52,0.5039965178854069,0.4770101297879076,1.0060901641845703,-0.0060901641845703125
adapt_zero_shot,11,1,odd_even_blocks,0,39,2,273,54,0.48892271266700493,0.48680872653475393,1.0046879053115845,-0.004687905311584473
adapt_finetuned,11,1,odd_even_blocks,0,39,2,273,54,0.4880771182141045,0.47983257229832577,1.0048431158065796,-0.00484311580657959
adapt_zero_shot,11,2,odd_even_blocks,0,0,1,275,42,0.4109952994073166,0.4140098099325567,1.0177116394042969,-0.017711639404296875
adapt_finetuned,11,2,odd_even_blocks,0,0,1,275,42,0.4143674637236869,0.4185060290210505,1.0181207656860352,-0.018120765686035156
adapt_zero_shot,11,2,odd_even_blocks,0,4,1,335,52,0.6029831475944549,0.5446792606686599,0.9869492053985596,0.01305079460144043
adapt_finetuned,11,2,odd_even_blocks,0,4,1,335,52,0.603254960587116,0.5560614297363414,0.9864711761474609,0.013528823852539062
adapt_zero_shot,11,2,odd_even_blocks,0,13,1,281,60,0.5169306184012066,0.5198340874811462,1.000109076499939,-0.00010907649993896484
adapt_finetuned,11,2,odd_even_blocks,0,13,1,281,60,0.5075037707390648,0.4897058823529412,1.0032628774642944,-0.0032628774642944336
adapt_zero_shot,11,2,odd_even_blocks,0,16,1,283,54,0.6231198447355653,0.6037117903930131,0.9772613048553467,0.02273869514465332
adapt_finetuned,11,2,odd_even_blocks,0,16,1,283,54,0.6231198447355651,0.6086042374251981,0.9777976274490356,0.022202372550964355
adapt_zero_shot,11,2,odd_even_blocks,0,26,1,206,43,0.3350691967470395,0.43087458981309745,1.0388352870941162,-0.03883528709411621
adapt_finetuned,11,2,odd_even_blocks,0,26,1,206,43,0.4158938507633043,0.47496076473106,1.0215263366699219,-0.021526336669921875
adapt_zero_shot,11,3,odd_even_blocks,0,11,9,704,119,0.4876894347482583,0.4996839761545644,1.0387252569198608,-0.03872525691986084
adapt_finetuned,11,3,odd_even_blocks,0,11,9,704,119,0.4725418372477196,0.49270272211448685,1.0382601022720337,-0.03826010227203369
adapt_zero_shot,11,3,odd_even_blocks,0,19,1,321,68,0.554144385026738,0.5806789118809579,1.0032650232315063,-0.0032650232315063477
adapt_finetuned,11,3,odd_even_blocks,0,19,1,321,68,0.5551325273192281,0.5667577307602883,1.0050606727600098,-0.005060672760009766
adapt_zero_shot,11,3,odd_even_blocks,0,23,3,379,71,0.49702762026705694,0.5083912566306932,1.0164861679077148,-0.016486167907714844
adapt_finetuned,11,3,odd_even_blocks,0,23,3,379,71,0.5082083409548197,0.5197777574538138,1.0112806558609009,-0.011280655860900879
adapt_zero_shot,11,3,odd_even_blocks,0,43,2,288,50,0.5419327731092437,0.5005042016806722,1.007577896118164,-0.0075778961181640625
adapt_finetuned,11,3,odd_even_blocks,0,43,2,288,50,0.5386974789915966,0.48369747899159665,1.0052127838134766,-0.0052127838134765625
adapt_zero_shot,11,4,odd_even_blocks,0,15,1,257,44,0.5393192488262911,0.5654075970977379,0.9957753419876099,0.004224658012390137
adapt_finetuned,11,4,odd_even_blocks,0,15,1,257,44,0.5269953051643192,0.5116837387964148,0.9957572221755981,0.0042427778244018555
adapt_zero_shot,11,4,odd_even_blocks,0,28,2,297,55,0.5292637114951164,0.5376033057851239,1.009153127670288,-0.009153127670288086
adapt_finetuned,11,4,odd_even_blocks,0,28,2,297,55,0.5302779864763335,0.5376033057851239,1.009085774421692,-0.009085774421691895
adapt_zero_shot,11,4,odd_even_blocks,0,30,1,282,54,0.46324723846653665,0.4432261208576998,1.0213708877563477,-0.021370887756347656
adapt_finetuned,11,4,odd_even_blocks,0,30,1,282,54,0.4629629629629629,0.4649122807017544,1.0170936584472656,-0.017093658447265625
adapt_zero_shot,11,4,odd_even_blocks,0,33,2,301,60,0.45235131396957123,0.4775933609958506,1.010833740234375,-0.010833740234375
adapt_finetuned,11,4,odd_even_blocks,0,33,2,301,60,0.4646265560165975,0.4755878284923928,1.0125635862350464,-0.012563586235046387
adapt_zero_shot,11,4,odd_even_blocks,0,34,1,245,44,0.6318973315241971,0.6160108548168249,0.9775979518890381,0.022402048110961914
