child,auc,n_rec,source,n,peak,peak_range,peak_drop,late_cluster,slope_sd_per_step,slope_shrunk,calibration_slope,balanced_brier
0,0.6080151604150933,1,HA,871.0,0.1599999999999999,0.0,0.0551187379374003,0.0,-0.0755757904729112,0.0048959001773504,1.653087977223842,0.240920651379622
1,0.5218152326192649,2,HA,986.0,0.3199999999999999,0.12,0.020347191394362835,,0.0571502688538156,0.0146979044864072,0.4600420470262945,0.2502223127192167
2,0.5311656617858168,1,HA,847.0,0.2799999999999999,0.0,0.059088429514786066,1.0,0.0301952384505766,0.0110999978326841,0.5400244555285446,0.2498263799229228
3,0.6212683086108779,1,NH,992.0,0.1599999999999999,0.0,0.09787844863411597,0.0,0.0720753857530376,0.0140899565808125,1.8604753652919497,0.2409338582427621
4,0.5655981186850034,2,HA,967.0,0.20000000000000004,0.0,0.027991452991452902,1.0,-0.034159986094414,0.0065444857447551,1.1497467126014167,0.2458635523881112
5,0.5475870020964361,1,HA,995.0,0.17333333333333326,0.04000000000000012,0.0244507337526205,0.0,0.0343060072774265,0.0113585153176874,1.0885061671980405,0.248093492611947
6,0.5579338108433105,1,HA,772.0,0.19999999999999987,0.12000000000000002,0.04596817761976953,,-0.0428444368927244,0.0075064059273497,0.7024293380429284,0.2479208789108205
7,0.4552536849683604,1,HA,558.0,0.2799999999999999,0.0,0.056966390057216466,1.0,0.0570382862460587,0.0121687584118014,-1.0826004338704944,0.256773666315833
8,0.5566153402729278,1,HA,966.0,0.2799999999999999,0.0,0.022641258438923766,1.0,-0.0243026867497878,0.0086020331396184,1.0372307531673568,0.2471993813926335
9,0.5264771460423635,1,HA,459.0,0.24,0.0799999999999999,0.021763904372599965,1.0,-0.0549486779388259,0.0076931556061869,0.2390971272920939,0.2521024532746519
10,0.633370272714535,1,HA,991.0,0.1599999999999999,0.0,0.11441867179572086,0.0,0.0139495900205044,0.0104513690116801,1.509360530331688,0.2413835872408496
11,0.5215472321106124,1,HA,892.0,0.08,0.0,0.030150131558582233,0.0,0.0575765341340755,0.0121644107115049,0.1056840842525783,0.2526452855826149
12,0.5555504613194654,1,HA,981.0,0.1599999999999999,0.0,0.0418080317181693,0.0,0.0274588219364229,0.0112393627651082,1.1419762950639294,0.2474482314473066
13,0.5922971836906263,1,HA,993.0,0.1599999999999999,0.0,0.09473518284993697,0.0,0.0251612200237738,0.0109332498015476,1.34872566672115,0.2435069379784538
14,0.523292723674403,1,HA,984.0,0.26666666666666666,0.16000000000000011,0.0206411014299054,,0.0339375656745443,0.0114201348129325,0.3031333288460752,0.2511109896478237
15,0.5063147484834232,1,NH,932.0,0.16,0.24,0.015966568978617132,,-0.1048880956051957,0.0048078037237232,0.0974768197737578,0.2519111621222839
16,0.5584192439862542,1,NH,978.0,0.1599999999999999,0.0,0.03576688407321693,0.0,0.1120605822066082,0.0167634908059733,1.2411482679040644,0.2468721899563643
17,0.4306302296252045,1,HA,740.0,0.2799999999999999,0.0,0.028262915197588463,1.0,-0.0410495575094272,0.0075949584502519,-1.1724931271757937,0.2577521200299664
18,0.5781513513513513,1,HA,935.0,0.2799999999999999,0.0,0.05052852852852857,1.0,0.1371994383808118,0.0173644431304787,1.4146978362801554,0.244537202181425
19,0.652584068936528,1,NH,993.0,0.19999999999999993,0.12000000000000002,0.06539722572509453,,0.0761905615780357,0.0132012520020668,2.628955068349281,0.2373566398417499
20,0.5404842817706671,2,HA,905.5,0.2399999999999999,0.12000000000000002,0.02375566039523297,,-0.0506551558928759,0.0051631498558799,0.6247508027809321,0.2493029014186118
21,0.5954132457580733,1,NH,874.0,0.2799999999999999,0.0,0.05931034482758616,1.0,-0.0459948661712926,0.0073061366080862,1.4849669092588411,0.2433686382376591
22,0.570274791558046,2,HA,496.5,0.1599999999999999,0.0,0.06984116580367483,0.0,-0.0412405661027169,0.0077926335474765,0.6955495358189054,0.2484707308314075
23,0.593144035532995,1,HA,988.0,0.2799999999999999,0.0,0.0996573604060913,1.0,0.0502195401201912,0.0124139349537185,0.9275992158317082,0.2439680436586445
24,0.4895295757429275,2,HA,915.5,0.2799999999999999,0.0,0.046052083527605266,1.0,0.0328855157892063,0.0126517536967601,-0.403322079310558,0.2534228904504852
25,0.6001970485872392,2,HA,888.0,0.2799999999999999,0.0,0.056484412090520596,1.0,0.0588425735095704,0.0147185629583481,1.742934304947331,0.2439074836899933
26,0.4356254856254857,1,HA,965.0,0.56,0.0,0.005255855255855167,1.0,0.0101333847248612,0.0102515905872775,-0.9375322797422516,0.2589512159116923
27,0.4791095629663469,1,HA,991.0,0.32,0.0,0.016594969798487364,1.0,-0.0865599791707394,0.0060528920673182,-0.2847326783613971,0.2550985880092757
28,0.4985100329439952,1,HA,526.0,0.35999999999999993,0.2,0.011983378256963202,,0.051564149691876,0.0115856919515853,0.0679315817356464,0.2521017768133945
29,0.578401040265447,1,HA,438.0,0.1599999999999999,0.0,0.07029638597435203,0.0,-0.0964562309812672,0.0069426140008708,1.1286950251814971,0.246082998415082
30,0.6200059467657508,1,HA,988.0,0.19999999999999993,0.12000000000000002,0.06190305060526521,,0.0497879542092181,0.0123448356292141,1.4505950250717978,0.2412194224458703
31,0.5788599639349915,2,HA,888.0,0.19999999999999987,0.12000000000000002,0.03370733431789424,,-0.0018220925313993,0.0090608285817461,1.7865157515971102,0.2459239801737975
32,0.6767197916666667,1,HA,1000.0,0.1599999999999999,0.0,0.09462604166666656,0.0,-0.0088077328045589,0.009249867568858,3.2529786451627904,0.2356907793278539
33,0.5139302885416875,1,HA,970.0,0.08,0.0,0.015049468417343967,0.0,-0.0363845607021013,0.0082952050810013,0.3227453761804587,0.2518935884406036
34,0.6475041718815185,1,NH,999.0,0.1599999999999999,0.0,0.0967501042970379,0.0,0.1144213635810044,0.015283866430199,2.1107380989547644,0.2377780482371486
35,0.5486527971024096,1,HA,969.0,0.10666666666666663,0.07999999999999989,0.0165926809337661,0.0,-0.0052918651515486,0.0094349006978853,1.0096875632556916,0.248114688659616
36,0.5127390594435552,1,HA,885.0,0.14666666666666658,0.0399999999999999,0.02284705045508183,0.0,0.0275133133434751,0.0111392196468574,0.1714403187173111,0.2525153338381633
