child,auc_first,auc_second,delta
1,0.5357960689523568,0.507834396286173,-0.027961672666183768
4,0.5460597626396236,0.5851364747303833,0.03907671209075969
20,0.5349874484489868,0.5459811150923474,0.010993666643360545
22,0.5990990990990991,0.5414504840169928,-0.05764861508210628
24,0.4784410314988503,0.5006181199870047,0.02217708848815436
25,0.6230520492441951,0.5773420479302832,-0.0457100013139119
31,0.587939893735855,0.569780034134128,-0.018159859601726946
38,0.6476703401482163,0.7056458069953645,0.05797546684714816
45,0.5970685705672426,0.5293711533194349,-0.06769741724780776
51,0.6206283624934256,0.5154222660480482,-0.10520609644537737
59,0.5589929466520358,0.5727001843387794,0.013707237686743645
