new_child,exp_child,d_auc,d_peak,d_late_cluster,d_peak_drop,d_slope_sd_per_step,d_calibration_slope,d_balanced_brier
39,2,-0.02885581542881388,-0.12000000000000002,-1.0,-0.014629194693852265,-0.1438758566895761,-0.5359075173697319,0.003070578321708012
27,40,-0.055703340259459555,0.026666666666666727,0.0,-0.01953750331979214,-0.0640098881541066,-0.7499595414299178,0.004980902444461921
48,52,0.0660916796514307,-0.01333333333333342,,0.0376211944221667,0.13893467218643119,1.5346557477472655,-0.006183875321550486
50,37,0.09967435860498797,-0.06666666666666676,,0.036339194800696625,0.0130270912315976,1.563026065243103,-0.009068149288716326
42,66,-0.08545111428179297,-0.12000000000000002,-1.0,-0.020644839090608536,0.0148581810824395,-1.1444493854878377,0.0101648916249103
11,4,-0.044050886574391046,-0.12000000000000004,-1.0,0.0021586785671293303,0.0917365202284895,-1.0440626283488383,0.006781733194503703
47,56,-0.051869889969245464,0.0,0.0,-0.03277364214690487,0.047781515679712096,-0.748592601508201,0.005033397992439209
49,17,0.12070559292436667,-0.026666666666666672,,-0.000927356914124728,0.11135319492539941,1.903143678563048,-0.00952233451048548
69,46,-0.014301356788245734,-0.2,,0.003000276380022232,0.1065632292972691,-0.5485076248052164,0.0022691667050985798
59,28,0.06733653255141248,-0.20000000000000004,,0.04994305329404166,-0.018256733639774397,1.1535005134167795,-0.005275226606668515
63,61,-0.026840421315937224,-0.10666666666666666,-1.0,0.0010019766357064058,-0.0394337236491673,-0.5721003640965737,0.0034193188426507315
31,62,-0.04920541809932932,-0.08000000000000004,,-0.032059370696006666,-0.0297730773519562,0.061370658705679704,0.005969524160120088
41,8,-0.0743208040011189,0.12,0.0,0.003988677281921,-0.07277837735661029,-1.3907327850729625,0.007923914237176616
