train_children,draw,panel_children,auc_panel_mean,n_train_trials,epochs
5,0,12,0.49727170270542964,2587,9
5,1,12,0.4929864565419031,2663,7
5,2,12,0.5003086504846884,3152,13
10,0,12,0.5064420136144446,7653,7
10,1,12,0.5072767472131182,7632,19
10,2,12,0.5037672423821429,7381,12
20,0,12,0.4997846255549198,13213,10
20,1,12,0.5144076113461417,12462,10
20,2,12,0.5260625414101799,13114,10
