model,status,ce_bits,J_bits,bacc,auc,brier
H,PASS,0.9953992462829166,0.00460075371708335,0.5482993197278913,0.5535274943310659,0.24839714764602314
HM,PASS,0.990314557762833,0.009685442237167052,0.5619897959183674,0.5699543303716045,0.24665511113337832
HMV,PASS,0.995508383260744,0.004491616739256021,0.568452380952381,0.5672228585311675,0.2483038026378977
HQ,PASS,1.0098948677305348,-0.009894867730534829,0.5363945578231293,0.5494024480540516,0.25277216884055204
HQV,PASS,1.0107388168421052,-0.010738816842105203,0.5545068027210885,0.5606945312138459,0.2526108572834279
HQQ,PASS,1.0098948677305348,-0.009894867730534829,0.5363945578231293,0.5494024480540516,0.2527721688405521
HPRE,PASS,1.0284394786861977,-0.028439478686197672,0.503656462585034,0.5121093930769588,0.2583245136641964
HPREQ,PASS,1.0346530825681697,-0.03465308256816968,0.5415816326530614,0.5366688069785737,0.260013460567405
HPREQV,PASS,1.03382336536559,-0.03382336536558994,0.535374149659864,0.5450371083807672,0.2592880015394992
FULL_MU,PASS,1.0390304850685992,-0.039030485068599186,0.5662414965986395,0.5939382028321534,0.25718069075268274
FULL_MU_VAR,PASS,1.1417581060584172,-0.1417581060584172,0.5286564625850341,0.5591566881854784,0.28175286356662754
