band,from_s,to_s,metric,mean,ci_lo,ci_hi,children_positive,children
pre,-0.2,0.0,bacc,0.5063515475253575,0.5023534971781329,0.5104909737360894,45,73
pre,-0.2,0.0,auc,0.5085384116405017,0.503339890356546,0.5140024784145908,43,73
pre,-0.2,0.0,g_prior,-2.018071794704596e-05,-0.00011852556537150103,7.78291479879835e-05,38,73
pre,-0.2,0.0,g_prior_raw,-0.00017188730638759465,-0.0004255750349297607,8.017499416667964e-05,37,73
pre,-0.2,0.0,g_hist,0.00026716784975788093,1.7185616340237113e-05,0.0006628060433176554,39,73
early,0.05,0.25,bacc,0.5101582203729592,0.5064222867394913,0.5139199858241241,54,73
early,0.05,0.25,auc,0.5116871519929135,0.5066003763775339,0.5168668934288012,51,73
early,0.05,0.25,g_prior,4.707792589357651e-05,-1.9427414063746112e-05,0.00011447736837016085,45,73
early,0.05,0.25,g_prior_raw,-0.00022360059453657515,-0.0005181232357662953,6.309708712642707e-05,33,73
early,0.05,0.25,g_hist,0.00026247596374922574,3.447746704661166e-05,0.0006586681897857435,41,73
mid,0.25,0.45,bacc,0.5109661098414988,0.5071633336441759,0.5147795099268627,57,73
mid,0.25,0.45,auc,0.5142684411573037,0.5094772845558743,0.5191134321500769,57,73
mid,0.25,0.45,g_prior,0.00022749991614861927,6.0429271216308466e-05,0.000382338076508292,48,73
mid,0.25,0.45,g_prior_raw,4.640954370782908e-05,-0.00027017781839623427,0.00032350652871204435,43,73
mid,0.25,0.45,g_hist,0.00048759814641415283,0.0001360153585366416,0.000973526829469422,48,73
late,0.45,0.6400000000000001,bacc,0.5102977435038683,0.5050276755883395,0.5153612417090152,50,73
late,0.45,0.6400000000000001,auc,0.5131123741018189,0.50611881828024,0.5200059381984483,52,73
late,0.45,0.6400000000000001,g_prior,0.0001230739994581133,-8.28997771402448e-05,0.0003359926798849723,45,73
late,0.45,0.6400000000000001,g_prior_raw,-1.892254879141051e-05,-0.000402209066710408,0.0003451159721335434,40,73
late,0.45,0.6400000000000001,g_hist,0.0002875009017383951,2.874487374230087e-05,0.0006391200752322267,44,73
