model,seed,fold,child,n,n_class1,auc,bacc,ce_bal_bits,j_bits
riemann_post,11,0,2,933,140,0.48821833903801115,0.5104440641325887,1.0283032604080353,-0.028303260408035325
riemann_post,11,0,3,950,141,0.5215001446492912,0.5005128474870473,1.0077036661790117,-0.007703666179011748
riemann_post,11,0,10,2092,417,0.5492394144385984,0.5067325244282186,0.9980514470443412,0.0019485529556587666
riemann_post,11,0,17,282,45,0.4740740740740741,0.5070323488045008,1.0258164039017341,-0.02581640390173412
riemann_post,11,0,18,421,85,0.46302521008403363,0.48032212885154063,1.0170887174364014,-0.01708871743640139
riemann_post,11,0,20,48,8,0.6,0.5875,0.9888070881893367,0.011192911810663286
riemann_post,11,0,29,319,62,0.4903351324212376,0.5054286431530062,1.0129973358053785,-0.01299733580537854
riemann_post,11,0,36,460,86,0.5006529038676781,0.5141773411267255,1.013050829590952,-0.01305082959095194
riemann_post,11,0,40,945,190,0.5175949808295573,0.5071976298361798,1.0009554931043543,-0.0009554931043542769
riemann_post,11,1,9,798,124,0.4213051593758974,0.43761366899588394,1.0209414600679925,-0.020941460067992468
riemann_post,11,1,12,921,184,0.5064229249011858,0.4948786207303404,1.003425278775816,-0.0034252787758159986
riemann_post,11,1,21,813,163,0.48661632845681924,0.4843369513921661,1.0169113224964859,-0.01691132249648586
riemann_post,11,1,27,694,137,0.5107392312833349,0.5194472473758011,1.0053957105910356,-0.005395710591035607
riemann_post,11,1,31,872,169,0.5346654658395549,0.5286052168643263,1.0004833760901033,-0.0004833760901032935
riemann_post,11,1,32,937,190,0.5099344747410696,0.5095222997252167,1.0084257178729183,-0.008425717872918348
riemann_post,11,1,37,961,185,0.520325996099192,0.5052242964614099,1.0072317857711708,-0.0072317857711707845
riemann_post,11,1,39,836,149,0.5313541025565879,0.5298936139034612,1.0054681723542216,-0.00546817235422159
riemann_post,11,1,41,120,18,0.44281045751633985,0.4901960784313726,1.023926919955732,-0.02392691995573193
riemann_post,11,2,0,937,138,0.5303459033937349,0.5232673087736482,1.005631370637868,-0.005631370637867894
riemann_post,11,2,4,991,149,0.4902596885013311,0.5224935835100193,1.0167785507384104,-0.01677855073841039
riemann_post,11,2,5,715,111,0.4881719467812182,0.5067120100232683,1.0057053835719594,-0.005705383571959377
riemann_post,11,2,8,154,22,0.46831955922865015,0.4318181818181818,1.0179492106582189,-0.01794921065821886
riemann_post,11,2,13,815,163,0.5331871730211901,0.5099693251533742,1.0013982785556612,-0.0013982785556612143
riemann_post,11,2,16,842,164,0.4848460320886394,0.5057917835815526,1.0144708019834825,-0.014470801983482495
riemann_post,11,2,22,705,136,0.45951359454150736,0.4917554016334126,1.033227314124966,-0.033227314124965934
riemann_post,11,2,25,354,66,0.5179924242424242,0.5127840909090909,1.003193080288232,-0.003193080288232064
riemann_post,11,2,26,632,118,0.5920827013124053,0.5714238607135791,0.9824838755612542,0.01751612443874584
riemann_post,11,3,6,938,139,0.49897803909563215,0.47051170077705046,1.0149442488410656,-0.0149442488410656
riemann_post,11,3,11,2227,437,0.5138041241067206,0.5130888613323448,1.0025599330164907,-0.002559933016490712
riemann_post,11,3,14,161,30,0.4888040712468193,0.5185750636132316,1.010973287666875,-0.010973287666875109
riemann_post,11,3,19,964,191,0.4979917774632052,0.48469957939082786,1.0099210994241625,-0.009921099424162527
riemann_post,11,3,23,1263,233,0.5074044751864661,0.48780782532605527,1.0096096492315096,-0.009609649231509643
riemann_post,11,3,24,608,112,0.5307639688940092,0.5110887096774194,1.0026861814579595,-0.0026861814579595134
riemann_post,11,3,35,682,137,0.5021897810218978,0.5089801111631956,1.0126590805837294,-0.012659080583729443
riemann_post,11,3,42,573,112,0.4796831422373722,0.4818813913851875,1.0059131828491774,-0.005913182849177412
riemann_post,11,3,43,903,171,0.5365177515738344,0.5238471862716901,0.9993582762814814,0.0006417237185185609
riemann_post,11,4,1,51,7,0.41883116883116883,0.47564935064935066,1.0178419572240305,-0.01784195722403048
riemann_post,11,4,7,94,14,0.40535714285714286,0.4776785714285714,1.0476790410937535,-0.04767904109375354
riemann_post,11,4,15,735,145,0.5529865575686733,0.5364114552893045,0.9932485155482688,0.006751484451731238
riemann_post,11,4,28,929,183,0.5044023498732767,0.5047722644632943,1.0108230148460846,-0.010823014846084611
riemann_post,11,4,30,863,169,0.4862813976092628,0.5046680763262452,1.0110935935710588,-0.011093593571058769
riemann_post,11,4,33,943,199,0.4754484789539093,0.4788019398065597,1.0288126545450824,-0.028812654545082417
riemann_post,11,4,34,742,161,0.5220491549160262,0.5140686971488437,1.0012710883367273,-0.0012710883367272885
