analysis_set,train_trials,test_trials,train_groups,test_groups,status,outer_fold,representation
all,15223,4267,48,12,COMPLETE_FOLD,0,R_SUP
previous_response_available,13568,4049,47,12,COMPLETE_FOLD,0,R_SUP
all,15623,3866,48,12,COMPLETE_FOLD,1,R_SUP
previous_response_available,14115,3501,47,12,COMPLETE_FOLD,1,R_SUP
all,15675,3814,48,12,COMPLETE_FOLD,2,R_SUP
previous_response_available,14286,3330,48,11,COMPLETE_FOLD,2,R_SUP
all,15584,3906,48,12,COMPLETE_FOLD,3,R_SUP
previous_response_available,14106,3511,47,12,COMPLETE_FOLD,3,R_SUP
all,15855,3635,48,12,COMPLETE_FOLD,4,R_SUP
previous_response_available,14393,3224,47,12,COMPLETE_FOLD,4,R_SUP
all,15223,4267,48,12,COMPLETE_FOLD,0,R_RAND
previous_response_available,13568,4049,47,12,COMPLETE_FOLD,0,R_RAND
all,15623,3866,48,12,COMPLETE_FOLD,1,R_RAND
previous_response_available,14115,3501,47,12,COMPLETE_FOLD,1,R_RAND
all,15675,3814,48,12,COMPLETE_FOLD,2,R_RAND
previous_response_available,14286,3330,48,11,COMPLETE_FOLD,2,R_RAND
all,15584,3906,48,12,COMPLETE_FOLD,3,R_RAND
previous_response_available,14106,3511,47,12,COMPLETE_FOLD,3,R_RAND
all,15855,3635,48,12,COMPLETE_FOLD,4,R_RAND
previous_response_available,14393,3224,47,12,COMPLETE_FOLD,4,R_RAND
