mode,outer_fold,term,matched,mismatched,gain
L0,0,delta_delta,87.7285101183914,9.80541506338214,77.92309505500926
L0,0,minus_delta_prediction,-17.84121852809353,11.50104429581052,-29.34226282390405
L0,0,minus_prediction_delta,5.767109094264339,-2.473471137564839,8.240580231829178
L0,0,prediction_prediction,17.128533690407764,0.40181204951827304,16.72672164088949
L0,0,residual,92.78293437496995,19.234800271146092,73.54813410382386
L0,1,delta_delta,-3.038420162540668,8.196652211583201,-11.235072374123868
L0,1,minus_delta_prediction,-2.449221866424854,2.067636617796376,-4.51685848422123
L0,1,minus_prediction_delta,0.792398168727014,-4.016587602445924,4.808985771172938
L0,1,prediction_prediction,3.4913917073277956,-0.4897977784261573,3.9811894857539527
L0,1,residual,-1.203852152910718,5.757903448507498,-6.961755601418216
L0,2,delta_delta,114.65397084032026,12.05374947728457,102.60022136303569
L0,2,minus_delta_prediction,-4.528511218901647,-3.8450672646421373,-0.6834439542595097
L0,2,minus_prediction_delta,-52.95434036224992,5.3612865852525475,-58.31562694750247
L0,2,prediction_prediction,46.45566831970115,4.400596803500942,42.0550715162002
L0,2,residual,103.62678757886985,17.970565601395933,85.65622197747392
L0,3,delta_delta,27.321186234361672,-14.022291110195896,41.34347734455757
L0,3,minus_delta_prediction,1.4767477015830224,-3.791858029090444,5.268605730673466
L0,3,minus_prediction_delta,-16.932797466975092,-1.7444598310339114,-15.188337635941181
L0,3,prediction_prediction,12.268127218092484,2.237344608310874,10.03078260978161
L0,3,residual,24.133263687062097,-17.32126436200937,41.45452804907147
L0,4,delta_delta,-170.5565993347082,49.36392478482689,-219.92052411953512
L0,4,minus_delta_prediction,-7.8082303376861235,7.50127791328077,-15.309508250966893
L0,4,minus_prediction_delta,-11.64853798447535,-13.14343790185052,1.4948999173751698
L0,4,prediction_prediction,0.9769787382037947,2.397775418955892,-1.4207966807520973
L0,4,residual,-189.0363889186658,46.119540215213036,-235.15592913387883
R_RAND,0,delta_delta,5.641862197325862,0.49309939287814525,5.148762804447717
R_RAND,0,minus_delta_prediction,-2.3041172533621554,1.023145300639398,-3.3272625540015532
R_RAND,0,minus_prediction_delta,1.7992816559116875,-0.4187657840185864,2.218047439930274
R_RAND,0,prediction_prediction,4.7099734410961,-0.15434187066067592,4.8643153117567755
R_RAND,0,residual,9.847000040971492,0.94313703883828,8.903863002133212
R_RAND,1,delta_delta,11.745822219867229,-0.10200201610492211,11.847824235972151
R_RAND,1,minus_delta_prediction,0.41010894170588047,-0.5508977789673233,0.9610067206732038
R_RAND,1,minus_prediction_delta,1.976107616569245,0.5041419838910506,1.4719656326781945
R_RAND,1,prediction_prediction,1.9494981786581873,0.18524652200228758,1.7642516566558997
R_RAND,1,residual,16.08153695680054,0.036488710821093014,16.045048245979448
R_RAND,2,delta_delta,16.74660111201733,-1.4684743488277086,18.21507546084504
R_RAND,2,minus_delta_prediction,-2.320602150444567,-0.18150720364459913,-2.139094946799968
R_RAND,2,minus_prediction_delta,2.6149354900925323,0.4678110788685504,2.147124411223982
R_RAND,2,prediction_prediction,2.9967801379076766,0.6851182174437161,2.3116619204639606
