model,seed,fold,child,n_records,n,n_class1,auc,bacc,ce_bal_bits,j_bits
shared,11,0,1,1,215,36,0.5202513966480448,0.5235878336436995,1.065770149230957,-0.06577014923095703
shared,11,0,4,1,998,150,0.5583962264150943,0.5403223270440252,0.995208203792572,0.0047917962074279785
shared,11,0,7,1,152,20,0.5789772727272728,0.5553030303030303,0.9927709102630615,0.0072290897369384766
shared,11,0,14,1,395,66,0.573777286543244,0.57193515704154,0.9907798767089844,0.009220123291015625
shared,11,0,19,1,998,200,0.505407268170426,0.4975187969924812,1.0034244060516357,-0.003424406051635742
shared,11,0,22,2,1000,199,0.4832621283696886,0.48455761955846655,1.0625231266021729,-0.06252312660217285
shared,11,0,32,1,999,200,0.4698717146433041,0.4790894868585732,1.0172038078308105,-0.017203807830810547
shared,11,0,33,2,1000,211,0.5281266706311306,0.5348362255900143,1.002131462097168,-0.0021314620971679688
shared,11,0,36,1,999,200,0.6907822277847309,0.6515769712140176,0.959511399269104,0.040488600730895996
shared,11,0,37,2,917,193,0.4903636962184754,0.49697635473620927,1.0282909870147705,-0.028290987014770508
shared,11,1,2,1,998,150,0.40194575471698113,0.41666666666666663,1.027616262435913,-0.027616262435913086
shared,11,1,3,1,998,149,0.5076442083461791,0.5042726934964941,1.004547357559204,-0.0045473575592041016
shared,11,1,30,1,999,199,0.5373366834170854,0.5350062814070351,1.0111298561096191,-0.01112985610961914
shared,11,1,34,1,999,199,0.5536275125628141,0.5287688442211056,1.0127143859863281,-0.012714385986328125
shared,11,1,38,2,1000,191,0.5243044544683825,0.5179816074398618,1.0021052360534668,-0.002105236053466797
shared,11,1,40,2,1000,175,0.5806926406926407,0.5654545454545454,0.9867186546325684,0.01328134536743164
shared,11,1,42,1,500,109,0.49838100377765787,0.4933715009737441,1.062912940979004,-0.0629129409790039
shared,11,1,43,1,500,69,0.4900131140926057,0.5021688691617068,1.0380148887634277,-0.038014888763427734
shared,11,1,44,1,999,200,0.522869211514393,0.5090269086357947,1.0241318941116333,-0.0241318941116333
shared,11,2,10,8,3902,711,0.491305760179055,0.5008603663344647,1.0863680839538574,-0.08636808395385742
shared,11,2,15,1,998,200,0.5177788220551379,0.5150689223057644,1.0200921297073364,-0.020092129707336426
shared,11,2,17,1,323,54,0.48692000550736614,0.5011014732204323,1.0186747312545776,-0.018674731254577637
shared,11,2,20,1,999,200,0.8685888610763455,0.7674436795994994,0.7859370112419128,0.21406298875808716
shared,11,2,21,2,1000,202,0.5817390009677659,0.5452988907913348,0.987160325050354,0.012839674949645996
