candidate_identity_groups_with_conflicting_numeric_values,candidate_identity_groups_with_literal_numeric_value,ceiling_interpretation,declared_source_max,endpoint,observed_max,observed_min,registered_candidate_rows,rows_at_declared_source_max,rows_missing_or_non_numeric,rows_with_unique_literal_numeric_value
1,44,descriptive_only_until_row_scale_version_and_unit_are assigned,40.0,IT_MAIS_or_MAIS,40.0,0.0,104,30,54,50
2,44,descriptive_only_until_row_scale_version_and_unit_are assigned,40.0,MUSS,40.0,0.0,104,9,54,50
1,43,descriptive_only_until_row_scale_version_and_unit_are assigned,9.0,CAP,7.0,0.0,104,0,56,48
1,43,descriptive_only_until_row_scale_version_and_unit_are assigned,5.0,SIR,5.0,1.0,104,11,56,48
