child,auc_std_vs_high,auc_std_vs_low,auc_high_vs_low,source,n_rec,low_minus_high
0,0.5574726599788984,0.5643902186837616,0.5445243927332108,unknown,2,0.006917558704863214
1,0.4977853641456582,0.5349797365754813,0.549541093032958,unknown,2,0.03719437242982304
2,0.5053733757180302,0.6029126350930798,0.5766014925286048,unknown,8,0.09753925937504959
3,0.5400532582590208,0.6175997162270636,0.5431534189517528,unknown,3,0.07754645796804271
4,0.4909765255349674,0.6022330527521382,0.5551913067299791,unknown,2,0.11125652721717083
5,0.534783091021499,0.634564495420264,0.591162980791063,unknown,3,0.09978140439876504
6,0.5392193630279252,0.6947145426280976,0.5818311994609165,unknown,2,0.15549517960017245
7,0.5320351137487636,0.6792377305951967,0.612351412568258,unknown,3,0.1472026168464331
8,0.542938812353586,0.603537198325452,0.5722371852421871,unknown,3,0.060598385971866064
9,0.5151413520057588,0.6244466895500098,0.5812810477194039,unknown,3,0.10930533754425098
10,0.5310886902109329,0.6220386417298951,0.5971483693280977,unknown,4,0.09094995151896224
11,0.5299232934553132,0.5406281549946677,0.5186661056175048,unknown,4,0.01070486153935446
12,0.5220057364533564,0.6305758423564178,0.6062749148365587,unknown,6,0.10857010590306149
13,0.5120380044403814,0.5323444029316428,0.4902940566331293,unknown,5,0.020306398491261368
14,0.5293761859890402,0.6522436341890416,0.5983702145343099,unknown,5,0.1228674482000014
