mode,support_status,primary,endpoint,metric,estimate,ci_lower,ci_upper,n_candidates,n_bootstrap,invalid_replicates,valid_replicates,bootstrap_scope,comparison,units,status
R_SUP,SUFFICIENT_FOR_SCREEN,False,post_minus_pre,inner_product,11.33051101526096,0.6915296803199004,22.20495838476343,49,2000,0,2000,fixed_oof_no_refit; shared identity draws within original folds,T_post_minus_T_pre; separate training-only feature axes,projected_inner_product,COMPUTED
R_SUP,SUFFICIENT_FOR_SCREEN,False,pre_delta,inner_product,-0.15748488611550282,-8.774063773320812,8.664795095265282,49,2000,0,2000,fixed_oof_no_refit; shared identity draws within original folds,matched_minus_different_identity,projected_inner_product,COMPUTED
R_SUP,SUFFICIENT_FOR_SCREEN,False,common_response,inner_product,27.925357663062155,20.538560158592116,35.09335915502751,49,2000,0,2000,fixed_oof_no_refit; shared identity draws within original folds,matched_minus_different_identity,projected_inner_product,COMPUTED
R_SIM,SUFFICIENT_FOR_SCREEN,True,post_delta,cosine,0.015389299552857966,-0.03059618656816591,0.0593237586491848,49,2000,0,2000,fixed_oof_no_refit; shared identity draws within original folds,matched_minus_different_identity,cosine_difference,COMPUTED
R_SIM,SUFFICIENT_FOR_SCREEN,False,post_minus_pre,cosine,0.004754322569605118,-0.0481146300298942,0.05616564224067735,49,2000,0,2000,fixed_oof_no_refit; shared identity draws within original folds,T_post_minus_T_pre; separate training-only feature axes,cosine_difference,COMPUTED
R_SIM,SUFFICIENT_FOR_SCREEN,False,pre_delta,cosine,0.010634976983252848,-0.024250254298857292,0.04637746799767548,49,2000,0,2000,fixed_oof_no_refit; shared identity draws within original folds,matched_minus_different_identity,cosine_difference,COMPUTED
R_SIM,SUFFICIENT_FOR_SCREEN,False,common_response,cosine,0.36972163137820035,0.30152927951806463,0.43512331745134175,49,2000,0,2000,fixed_oof_no_refit; shared identity draws within original folds,matched_minus_different_identity,cosine_difference,COMPUTED
R_SIM,SUFFICIENT_FOR_SCREEN,False,post_delta,inner_product,1.0963103382867054,-3.0039412363202587,4.989915820539414,49,2000,0,2000,fixed_oof_no_refit; shared identity draws within original folds,matched_minus_different_identity,projected_inner_product,COMPUTED
R_SIM,SUFFICIENT_FOR_SCREEN,False,post_minus_pre,inner_product,-0.4967338536674277,-5.65823683547145,4.368122173215376,49,2000,0,2000,fixed_oof_no_refit; shared identity draws within original folds,T_post_minus_T_pre; separate training-only feature axes,projected_inner_product,COMPUTED
R_SIM,SUFFICIENT_FOR_SCREEN,False,pre_delta,inner_product,1.5930441919541332,-2.511678955915446,5.7279557025379955,49,2000,0,2000,fixed_oof_no_refit; shared identity draws within original folds,matched_minus_different_identity,projected_inner_product,COMPUTED
R_SIM,SUFFICIENT_FOR_SCREEN,False,common_response,inner_product,20.806227259594582,15.614317155572612,26.340156021774384,49,2000,0,2000,fixed_oof_no_refit; shared identity draws within original folds,matched_minus_different_identity,projected_inner_product,COMPUTED
