block_length_s,cohort_label,condition,median_ratio_to_30s,median_se_uv,n
30,HA,code1,1.0,0.38449481533249585,57
60,HA,code1,1.000891317228727,0.3721076338658075,57
90,HA,code1,0.8970710459140063,0.3270955618209208,57
30,HA,code2,1.0,0.7562641402008817,57
60,HA,code2,1.030831149321201,0.7398391084503094,57
90,HA,code2,0.9240679598509768,0.6558976748605979,57
30,HA,code2_minus_code1,1.0,0.808615413019115,57
60,HA,code2_minus_code1,1.0333930341256943,0.8654735388048219,57
90,HA,code2_minus_code1,0.9340870509707486,0.7677755162616653,57
30,NH,code1,1.0,0.45197761087271365,9
60,NH,code1,1.0329873437393482,0.5185997364905232,9
90,NH,code1,0.9809971536405256,0.5423912376390688,9
30,NH,code2,1.0,1.0342730688034758,9
60,NH,code2,0.904527547496563,1.0360885450233701,9
90,NH,code2,0.8890495299304926,0.7093467353030974,9
30,NH,code2_minus_code1,1.0,1.1973257975961193,9
60,NH,code2_minus_code1,0.9612383975694153,1.2103241559789986,9
90,NH,code2_minus_code1,0.8560810765522938,1.4186392192151076,9
