bias_b_minus_a_uv,bias_b_minus_a_uv_bootstrap_valid,bias_b_minus_a_uv_ci_high,bias_b_minus_a_uv_ci_low,cohort_label,condition,difference_sd_uv,icc_a1,icc_a1_bootstrap_valid,icc_a1_ci_high,icc_a1_ci_low,loa_high_uv,loa_low_uv,n_candidates,pearson_r,pearson_r_bootstrap_valid,pearson_r_ci_high,pearson_r_ci_low,rmse_uv,sampling,split,status,support,variant
0.008501173044607005,2000,0.30438802617773536,-0.2969775917105409,HA,code1,1.1532337710740943,0.8011559755922705,2000,0.8958589097875015,0.6039566468895865,2.268839364349832,-2.251837018260618,56,0.802417963678415,2000,0.9005797888649292,0.6082376938626136,1.1429222751025518,all_accepted,alternating_30s_blocks,estimated_within_acquisition_only,variant_available,hp01_avg20
0.03162661194154132,2000,0.26529096828954307,-0.20946849299152356,HA,code1,0.950714736512805,0.767753367347264,2000,0.8929951102981302,0.5425577783124836,1.8950274955066393,-1.8317742716235565,56,0.7695797104096301,2000,0.8987325744305413,0.551939426419329,0.9427186336685107,all_accepted,alternating_30s_blocks,estimated_within_acquisition_only,variant_available,hp05_avg20_matched
0.021713654264348587,2000,0.3206626903448942,-0.28357568828683355,HA,code1,1.1829787632564588,0.8239282044529583,2000,0.9110629397700055,0.634844553486912,2.3403520302470078,-2.2969247217183106,56,0.8259260052641707,2000,0.9175641038689518,0.6384852193064633,1.1725699379319143,all_accepted,alternating_30s_blocks,estimated_within_acquisition_only,variant_available,hp01_avg18_matched
-0.10873179502001165,2000,0.14769552460225674,-0.37280436437459225,HA,code1,0.9458321948323951,0.8287280412920351,2000,0.9027710814332591,0.6582420284688575,1.7450993068514826,-1.962562896891506,49,0.8328204594546152,2000,0.9114638718286753,0.6704709362969457,0.9424245492094138,all_accepted,alternating_30s_blocks,estimated_within_acquisition_only,variant_available,hp01_frontoposterior100
-0.06683767186834075,2000,0.13442254571893283,-0.26312187961517003,HA,code1,0.7186276339323591,0.9039412530564412,2000,0.95019999276133,0.8041997752347294,1.341672490639083,-1.4753478343757644,46,0.9059786475645496,2000,0.9531102950534563,0.8096402368099624,0.7139091717411288,all_accepted,alternating_30s_blocks,estimated_within_acquisition_only,variant_available,hp01_scalp100
-0.0666948500651633,2000,0.20590284213955826,-0.3431124812031669,HA,code1,0.9619927959072528,0.8572171296407984,2000,0.9244423295978047,0.7023530029472621,1.8188110299130522,-1.952200730043379,46,0.8649208661342205,2000,0.9311313072899274,0.7304241651718087,0.9538135540526054,all_accepted,alternating_30s_blocks,estimated_within_acquisition_only,all_variants_common,hp01_avg20
-0.012554537708526294,2000,0.18945610074317298,-0.21529186440053322,HA,code1,0.7162369907720851,0.8630480432373926,2000,0.9238573686259973,0.745043400222679,1.3912699642047606,-1.4163790396218132,46,0.8664443982216726,2000,0.9310660329676174,0.7515942590810097,0.7085202670837357,all_accepted,alternating_30s_blocks,estimated_within_acquisition_only,all_variants_common,hp05_avg20_matched
-0.042055044341368336,2000,0.23487062031100864,-0.3168530089657867,HA,code1,0.9769618979220133,0.8791205048634178,2000,0.9378728543189401,0.7346744896763684,1.8727902755857777,-1.9569003642685143,46,0.8869381808812098,2000,0.9434013570945787,0.759266214062845,0.9671991339892743,all_accepted,alternating_30s_blocks,estimated_within_acquisition_only,all_variants_common,hp01_avg18_matched
-0.08064427729810346,2000,0.17068676552668754,-0.32657114959966765,HA,code1,0.8630133081157102,0.8567712370466029,2000,0.9112929444202674,0.7332608473268929,1.6108618066086884,-1.7721503612048954,46,0.8613786413415472,2000,0.924731571632322,0.7433210120927571,0.8573822599421312,all_accepted,alternating_30s_blocks,estimated_within_acquisition_only,all_variants_common,hp01_frontoposterior100
-0.06683767186834075,2000,0.13654855749259903,-0.2588329093317854,HA,code1,0.7186276339323591,0.9039412530564412,2000,0.9479228013881799,0.8008719297697001,1.341672490639083,-1.4753478343757644,46,0.9059786475645496,2000,0.9525174932083562,0.8068704717178665,0.7139091717411288,all_accepted,alternating_30s_blocks,estimated_within_acquisition_only,all_variants_common,hp01_scalp100
0.04512921789217577,2000,0.4069246360534263,-0.3076577122141464,HA,code2,1.3922230412502161,0.8552321220658448,2000,0.9194848052285287,0.7138365271119542,2.773886378742599,-2.683627942958248,56,0.8531266934435441,2000,0.9236582313909708,0.7163828787048457,1.3804743426857422,all_accepted,alternating_30s_blocks,estimated_within_acquisition_only,variant_available,hp01_avg20
0.0607302718592543,2000,0.49602186644741475,-0.3472136720626266,HA,code2,1.6481296123073113,0.6607428109501301,2000,0.8188482164982738,0.37955540102990487,3.291064311981584,-3.1696037682630758,56,0.6576070331869657,2000,0.8227990466146238,0.390502244011024,1.63447651260579,all_accepted,alternating_30s_blocks,estimated_within_acquisition_only,variant_available,hp05_avg20_matched
0.10993746675818238,2000,0.4952459190870681,-0.2613586372155055,HA,code2,1.4819007350025928,0.8552986108134966,2000,0.9132605368959413,0.7275646710244135,3.014462907363264,-2.7945879738468995,56,0.853792805740956,2000,0.9177284888879452,0.7346019041607647,1.4727189879092377,all_accepted,alternating_30s_blocks,estimated_within_acquisition_only,variant_available,hp01_avg18_matched
0.044214298705124576,2000,0.4982896355480755,-0.38115917965232565,HA,code2,1.5649863007838407,0.7699143970281179,2000,0.8613520707505543,0.6011199006075779,3.111587448241452,-3.0231588508312033,49,0.7667768311602595,2000,0.8680243538836878,0.6101099664279316,1.5495656543838843,all_accepted,alternating_30s_blocks,estimated_within_acquisition_only,variant_available,hp01_frontoposterior100
-0.02958988506449948,2000,0.4487688345765132,-0.47682333556841655,HA,code2,1.5918232407447188,0.7038005865189043,2000,0.8451394070446114,0.46003099647726436,3.0903836667951494,-3.1495634369241485,46,0.6998866669465656,2000,0.8518421683486153,0.4592050206111916,1.5747037758671356,all_accepted,alternating_30s_blocks,estimated_within_acquisition_only,variant_available,hp01_scalp100
0.014770392867011525,2000,0.434394849479021,-0.38588196738047986,HA,code2,1.4240328673970313,0.788645022808395,2000,0.88828735903864,0.5996802452007769,2.8058748129651927,-2.77633402723117,46,0.7850658420428536,2000,0.8915417248431939,0.6042409979352047,1.4085466446063721,all_accepted,alternating_30s_blocks,estimated_within_acquisition_only,all_variants_common,hp01_avg20
