run,task,model,n,prediction_rows,MAE
ha_extended_001,A,BEST_CQZ,57,285,4.153116796691493
ha_extended_001,A,BEST_CZ,57,285,3.891085502168915
ha_extended_001,A,BEST_SHUFFLED,57,285,3.6996348190044333
ha_extended_001,A,C_BEST,57,285,3.738791055562764
ha_extended_001,A,C_CONTRAST,57,285,3.8357636363625374
ha_extended_001,A,C_HJORTH,57,285,3.5975642693787355
ha_extended_001,A,C_LINEAR,57,285,5.135075269755251
ha_extended_001,A,C_POST,57,285,3.9162707106292496
ha_extended_001,A,C_PRE,57,285,3.9038490281105735
ha_extended_001,A,C_Q,57,285,3.7613767942669094
ha_extended_001,A,C_SPATIAL,57,285,3.876450619286045
ha_extended_001,A,MEAN,57,285,14.239473684210525
ha_extended_001,A,Z_ONLY,57,285,15.70971399724939
ha_extended_001,CAP,BEST_CQZ,57,285,0.4918628663411983
ha_extended_001,CAP,BEST_CZ,57,285,0.5013382218249307
ha_extended_001,CAP,BEST_SHUFFLED,57,285,0.5207294800142283
ha_extended_001,CAP,C_BEST,57,285,0.4903098260973703
ha_extended_001,CAP,C_CONTRAST,57,285,0.5079662764146661
ha_extended_001,CAP,C_HJORTH,57,285,0.5080320195466378
ha_extended_001,CAP,C_LINEAR,57,285,0.5751532038953324
ha_extended_001,CAP,C_POST,57,285,0.5085757934477247
ha_extended_001,CAP,C_PRE,57,285,0.48493476075573616
ha_extended_001,CAP,C_Q,57,285,0.46720081449105033
ha_extended_001,CAP,C_SPATIAL,57,285,0.48966988337433076
ha_extended_001,CAP,MEAN,57,285,1.546337825239427
ha_extended_001,CAP,Z_ONLY,57,285,1.6872999231977361
ha_extended_001,SIR,BEST_CQZ,57,285,0.4694766506952443
ha_extended_001,SIR,BEST_CZ,57,285,0.4360815325026402
ha_extended_001,SIR,BEST_SHUFFLED,57,285,0.41034826126348733
ha_extended_001,SIR,C_BEST,57,285,0.4112132902486395
ha_extended_001,SIR,C_CONTRAST,57,285,0.4229287726393025
ha_extended_001,SIR,C_HJORTH,57,285,0.41958853628180276
ha_extended_001,SIR,C_LINEAR,57,285,0.456379872651868
ha_extended_001,SIR,C_POST,57,285,0.426041663792812
ha_extended_001,SIR,C_PRE,57,285,0.41668553751154574
ha_extended_001,SIR,C_Q,57,285,0.4547359934369228
ha_extended_001,SIR,C_SPATIAL,57,285,0.4225409381567877
ha_extended_001,SIR,MEAN,57,285,0.8610933129926265
ha_extended_001,SIR,Z_ONLY,57,285,0.927586341198522
ha_extended_001,V,BEST_CQZ,57,285,6.742719790792966
ha_extended_001,V,BEST_CZ,57,285,7.244278998809519
ha_extended_001,V,BEST_SHUFFLED,57,285,6.965982665890742
ha_extended_001,V,C_BEST,57,285,6.689115179241698
ha_extended_001,V,C_CONTRAST,57,285,6.685584831233758
ha_extended_001,V,C_HJORTH,57,285,6.709331837752344
ha_extended_001,V,C_LINEAR,57,285,7.58191844391996
ha_extended_001,V,C_POST,57,285,6.689115179241698
ha_extended_001,V,C_PRE,57,285,7.157304121908841
ha_extended_001,V,C_Q,57,285,6.410716008740856
ha_extended_001,V,C_SPATIAL,57,285,6.686043033800172
ha_extended_001,V,MEAN,57,285,18.100330536486144
ha_extended_001,V,Z_ONLY,57,285,20.901679579486835
ha_extended_001,V_given_A,BEST_CQZ,57,285,5.8746062349468335
ha_extended_001,V_given_A,BEST_CZ,57,285,5.875869966269756
ha_extended_001,V_given_A,BEST_SHUFFLED,57,285,6.252364618232056
ha_extended_001,V_given_A,C_BEST,57,285,6.165048330286375
ha_extended_001,V_given_A,C_CONTRAST,57,285,6.066552535357887
ha_extended_001,V_given_A,C_HJORTH,57,285,6.110676414055978
ha_extended_001,V_given_A,C_LINEAR,57,285,6.9427606311420815
ha_extended_001,V_given_A,C_POST,57,285,6.054106278723411
ha_extended_001,V_given_A,C_PRE,57,285,6.146735635760914
ha_extended_001,V_given_A,C_Q,57,285,5.6844764403733095
