packet,mode,population,family,calibration,first,second,estimate,ci_lower,ci_upper,n_candidates,n_bootstrap,units,ci_scope
N1,R_SIM,P_nat,logistic,raw,HP,HPB,-0.001194335224251863,-0.0020392818789873738,-0.00044914120298523714,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_nat,logistic,raw,HB,HPB,-5.455803866311907e-05,-0.001349337577606336,0.0011656778041235314,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_nat,logistic,raw,H,HP,-0.000200015443375721,-0.0015814072678404273,0.0011088718813295176,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_nat,logistic,raw,H,HB,-0.001339792628964465,-0.0022920480647421536,-0.0005477377367102151,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_nat,logistic,raw,HPP,HPB,-0.0009284036745136045,-0.0017422117769638741,-0.00021233524378061987,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_nat,logistic,raw,HPBnoise,HPB,-0.0010069201404791911,-0.002122260163936441,-7.768825222598516e-06,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_nat,logistic,temperature,HP,HPB,-0.0013737095970137603,-0.0022183243860928385,-0.0005168640451774464,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_nat,logistic,temperature,HB,HPB,-0.00015169915687069106,-0.0016057468094387167,0.001240980314476311,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_nat,logistic,temperature,H,HP,-0.00033817170946738985,-0.001859400503298233,0.00113147292253692,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_nat,logistic,temperature,H,HB,-0.001560182149610459,-0.00247357840182771,-0.0007069643435403536,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_nat,logistic,temperature,HPP,HPB,-0.0010786040188642463,-0.0019237468192184596,-0.00024650963230042736,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_nat,logistic,temperature,HPBnoise,HPB,-0.001114233362201384,-0.002348009960349721,-1.6178569470754545e-05,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_nat,logistic,mixture_diagnostic,HP,HPB,-0.0013737095970137603,-0.0022183243860928385,-0.0005168640451774464,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_nat,logistic,mixture_diagnostic,HB,HPB,-0.00015169915687069106,-0.0016057468094387167,0.001240980314476311,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_nat,logistic,mixture_diagnostic,H,HP,-0.00033817170946738985,-0.001859400503298233,0.00113147292253692,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_nat,logistic,mixture_diagnostic,H,HB,-0.001560182149610459,-0.00247357840182771,-0.0007069643435403536,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_nat,logistic,mixture_diagnostic,HPP,HPB,-0.0010786040188642463,-0.0019237468192184596,-0.00024650963230042736,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_nat,logistic,mixture_diagnostic,HPBnoise,HPB,-0.001114233362201384,-0.002348009960349721,-1.6178569470754545e-05,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_nat,mlp32,raw,HP,HPB,-0.033306138200745024,-0.04532228052342761,-0.02436038743373282,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_nat,mlp32,raw,HB,HPB,-0.033245832656254824,-0.045312565732465795,-0.024309783375149118,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_nat,mlp32,raw,H,HP,-0.028616337018950267,-0.033544722272911484,-0.024703954641952734,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_nat,mlp32,raw,H,HB,-0.028676642563440463,-0.033683145634074665,-0.02485057210138169,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_nat,mlp32,raw,HPP,HPB,-0.01787617765150247,-0.025639223503668453,-0.011814101344466681,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_nat,mlp32,raw,HPBnoise,HPB,0.008512890082713548,-0.0006566572194782849,0.015749462743547632,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_nat,mlp32,temperature,HP,HPB,-0.024956682658932295,-0.027988789208733014,-0.022169154215812517,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_nat,mlp32,temperature,HB,HPB,-0.024152813766763443,-0.027591464758276094,-0.02094409198616302,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_nat,mlp32,temperature,H,HP,-0.02897036279276191,-0.030928808029006508,-0.026777804834470845,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_nat,mlp32,temperature,H,HB,-0.029774231684930763,-0.03127656314499152,-0.028313147358714597,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_nat,mlp32,temperature,HPP,HPB,-0.011987438090314691,-0.0145278597463982,-0.009422635426335653,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_nat,mlp32,temperature,HPBnoise,HPB,0.00488612124609301,-0.0011759657678446951,0.009908542720538146,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_nat,mlp32,mixture_diagnostic,HP,HPB,-0.02292660627917148,-0.025576246249058496,-0.020369661289117623,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_nat,mlp32,mixture_diagnostic,HB,HPB,-0.02197826510495663,-0.024950599579446963,-0.019003194085049687,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_nat,mlp32,mixture_diagnostic,H,HP,-0.03281859830317564,-0.03953815022906892,-0.024786844712238916,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_nat,mlp32,mixture_diagnostic,H,HB,-0.033766939477390484,-0.040322085980950204,-0.026018089068848005,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_nat,mlp32,mixture_diagnostic,HPP,HPB,-0.011217161984417507,-0.01372234884547003,-0.008781057518838526,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_nat,mlp32,mixture_diagnostic,HPBnoise,HPB,0.005262255822370618,5.572952633651843e-05,0.009602982070469723,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_bal,logistic,raw,HP,HPB,-0.0019643321045368914,-0.0027502957151881637,-0.001164334292007592,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_bal,logistic,raw,HB,HPB,8.046888989626893e-05,-0.001588333982472065,0.0016550272307899766,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_bal,logistic,raw,H,HP,1.3929119184906861e-05,-0.0016705755113627114,0.0015907888581925779,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_bal,logistic,raw,H,HB,-0.0020308718752482533,-0.002892283209138833,-0.0011736937736696771,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_bal,logistic,raw,HPP,HPB,-0.0016686285516187278,-0.002501368156306649,-0.0008415476936983492,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_bal,logistic,raw,HPBnoise,HPB,-0.001300041352872452,-0.0024118431528726593,-0.00012372263537370587,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_bal,logistic,temperature,HP,HPB,-0.00203146425661589,-0.003513826542778361,0.0001554611663781376,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_bal,logistic,temperature,HB,HPB,-7.743969980731121e-05,-0.0024196717940120176,0.0022333117905842495,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
