mode,population,family,complete,fit_count
R_SIM,P_nat,logistic,True,120
R_SIM,P_nat,mlp32,True,160
R_SIM,P_bal,logistic,True,120
R_SIM,P_bal,mlp32,True,120
L0,P_nat,logistic,True,120
L0,P_bal,logistic,True,120
