control,first,second,estimate,ci_lower,ci_upper,n_candidates,n_bootstrap,units,ci_scope
fixed_head_donor,same_child_B,actual_B,0.003046026598176944,0.0003866922786802038,0.0056752592411666615,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
fixed_head_donor,training_child_B,actual_B,-0.0022058717662350354,-0.006047597809917935,0.0012624272082767648,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
matched_training_donor_vs_same_support_reference,HPB_donor_support_reference,HPB_training_child_donor,-0.00620844184507817,-0.01269180634983319,-0.0012426184504645721,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
