model,seed,fold,partition,train_block,child,n_records,n,n_class1,auc,bacc,ce_bal_bits,j_bits
adapt_zero_shot,11,0,odd_even_blocks,0,1,1,292,43,0.5446436910432427,0.5581862333053142,0.9988428950309753,0.0011571049690246582
adapt_finetuned,11,0,odd_even_blocks,0,1,1,292,43,0.5542168674698795,0.5300737835061176,0.9984235763549805,0.0015764236450195312
adapt_zero_shot,11,0,odd_even_blocks,0,13,1,313,49,0.5171227581941867,0.488056586270872,1.0041168928146362,-0.0041168928146362305
adapt_finetuned,11,0,odd_even_blocks,0,13,1,313,49,0.5125231910946196,0.4906849103277675,1.0065290927886963,-0.006529092788696289
adapt_zero_shot,11,2,odd_even_blocks,0,4,1,316,44,0.6176470588235294,0.571524064171123,0.9755915403366089,0.024408459663391113
adapt_finetuned,11,2,odd_even_blocks,0,4,1,316,44,0.6173963903743316,0.571524064171123,0.9755312204360962,0.02446877956390381
adapt_zero_shot,11,2,odd_even_blocks,0,15,1,313,48,0.5939072327044026,0.5542452830188679,0.9823226928710938,0.01767730712890625
adapt_finetuned,11,2,odd_even_blocks,0,15,1,313,48,0.5982704402515724,0.5664701257861635,0.980539083480835,0.01946091651916504
adapt_zero_shot,11,3,odd_even_blocks,0,8,1,281,47,0.515139116202946,0.5158210583742499,1.0062615871429443,-0.006261587142944336
adapt_finetuned,11,3,odd_even_blocks,0,8,1,281,47,0.5143207855973813,0.517957810511002,1.006580114364624,-0.0065801143646240234
adapt_zero_shot,11,3,odd_even_blocks,0,12,2,445,68,0.46321579029489784,0.44884147292869403,1.0253286361694336,-0.025328636169433594
adapt_finetuned,11,3,odd_even_blocks,0,12,2,445,68,0.4792284287720393,0.46415197378686224,1.0156205892562866,-0.015620589256286621
adapt_zero_shot,11,4,odd_even_blocks,0,7,1,320,43,0.5185962555620854,0.4968936277390647,1.00559663772583,-0.005596637725830078
adapt_finetuned,11,4,odd_even_blocks,0,7,1,320,43,0.5219544958441777,0.5103265888674335,1.0047392845153809,-0.004739284515380859
adapt_zero_shot,11,4,odd_even_blocks,0,22,1,297,48,0.4715528781793842,0.4649849397590361,1.0133280754089355,-0.013328075408935547
adapt_finetuned,11,4,odd_even_blocks,0,22,1,297,48,0.485985609103079,0.4713855421686747,1.0162146091461182,-0.016214609146118164
adapt_zero_shot,22,0,odd_even_blocks,0,8,1,281,47,0.5023640661938533,0.5015002727768685,1.0066770315170288,-0.006677031517028809
adapt_finetuned,22,0,odd_even_blocks,0,8,1,281,47,0.5020003637024915,0.5078650663757047,1.0068895816802979,-0.0068895816802978516
adapt_zero_shot,22,0,odd_even_blocks,0,13,1,313,49,0.5395408163265306,0.5423623995052567,0.9971796274185181,0.0028203725814819336
adapt_finetuned,22,0,odd_even_blocks,0,13,1,313,49,0.5437152133580705,0.515112863327149,0.9973783493041992,0.0026216506958007812
adapt_zero_shot,22,2,odd_even_blocks,0,1,1,292,43,0.5423554683851686,0.52773886242645,0.9977651834487915,0.002234816551208496
adapt_finetuned,22,2,odd_even_blocks,0,1,1,292,43,0.5492668347809844,0.5337629588119922,0.9957089424133301,0.004291057586669922
adapt_zero_shot,22,2,odd_even_blocks,0,4,1,316,44,0.4527489973262032,0.4699197860962567,1.0135060548782349,-0.013506054878234863
adapt_finetuned,22,2,odd_even_blocks,0,4,1,316,44,0.49360795454545453,0.513201871657754,1.0066204071044922,-0.0066204071044921875
adapt_zero_shot,22,3,odd_even_blocks,0,15,1,313,48,0.5025550314465409,0.4808569182389937,1.0031805038452148,-0.0031805038452148438
adapt_finetuned,22,3,odd_even_blocks,0,15,1,313,48,0.49630503144654087,0.47995283018867924,1.0060218572616577,-0.006021857261657715
adapt_zero_shot,22,4,odd_even_blocks,0,7,1,320,43,0.5441188817059861,0.5468054739316598,0.9944194555282593,0.005580544471740723
adapt_finetuned,22,4,odd_even_blocks,0,7,1,320,43,0.5474351439845521,0.5450004197800353,0.9938276410102844,0.006172358989715576
adapt_zero_shot,22,4,odd_even_blocks,0,12,2,445,68,0.42545638945233266,0.4469105944765174,1.041372537612915,-0.04137253761291504
adapt_finetuned,22,4,odd_even_blocks,0,12,2,445,68,0.3933530972070526,0.41026291153066,1.0398763418197632,-0.039876341819763184
adapt_zero_shot,22,4,odd_even_blocks,0,22,1,297,48,0.5210425033467203,0.5223393574297188,0.9986552000045776,0.0013447999954223633
adapt_finetuned,22,4,odd_even_blocks,0,22,1,297,48,0.509454484605087,0.4994979919678715,1.0024909973144531,-0.002490997314453125
adapt_zero_shot,33,0,odd_even_blocks,0,8,1,281,47,0.5247317694126205,0.5033187852336789,0.9992034435272217,0.0007965564727783203
adapt_finetuned,33,0,odd_even_blocks,0,8,1,281,47,0.5225495544644481,0.5033187852336789,0.9994041919708252,0.0005958080291748047
adapt_zero_shot,33,1,odd_even_blocks,0,7,1,320,43,0.49055494920661574,0.5049114264125598,1.0070397853851318,-0.007039785385131836
adapt_finetuned,33,1,odd_even_blocks,0,7,1,320,43,0.492276047351188,0.4942909915204433,1.0067390203475952,-0.006739020347595215
adapt_zero_shot,33,2,odd_even_blocks,0,1,1,292,43,0.5295601008685907,0.5056505090127954,0.9987616539001465,0.0012383460998535156
adapt_finetuned,33,2,odd_even_blocks,0,1,1,292,43,0.5241897823853554,0.5192864481180536,0.9995896220207214,0.00041037797927856445
adapt_zero_shot,33,2,odd_even_blocks,0,15,1,313,48,0.5084905660377358,0.5227594339622641,1.0041568279266357,-0.004156827926635742
adapt_finetuned,33,2,odd_even_blocks,0,15,1,313,48,0.5101022012578615,0.5256289308176101,1.0036777257919312,-0.0036777257919311523
adapt_zero_shot,33,2,odd_even_blocks,0,22,1,297,48,0.5363955823293173,0.5338855421686747,0.9969235062599182,0.003076493740081787
adapt_finetuned,33,2,odd_even_blocks,0,22,1,297,48,0.5719963186077645,0.5376506024096386,0.9901583194732666,0.009841680526733398
adapt_zero_shot,33,3,odd_even_blocks,0,12,2,445,68,0.475366671867686,0.4955921360586675,1.0269676446914673,-0.026967644691467285
adapt_finetuned,33,3,odd_even_blocks,0,12,2,445,68,0.4762443438914027,0.502945077235138,1.022550344467163,-0.022550344467163086
adapt_zero_shot,33,4,odd_even_blocks,0,4,1,316,44,0.5962149064171123,0.5382687165775402,0.9808279275894165,0.019172072410583496
adapt_finetuned,33,4,odd_even_blocks,0,4,1,316,44,0.6036514037433156,0.5980949197860963,0.9786298274993896,0.02137017250061035
adapt_zero_shot,33,4,odd_even_blocks,0,13,1,313,49,0.5089285714285715,0.4908008658008658,1.0033820867538452,-0.003382086753845215
adapt_finetuned,33,4,odd_even_blocks,0,13,1,313,49,0.49775819418676565,0.47870284477427333,1.004750370979309,-0.004750370979309082
