seed,child,group,n_channels,source,auc_base,auc_drop
11,1,periocular_eog,6,non-CI,0.5722377405338299,0.034838609559279976
11,4,periocular_eog,6,non-CI,0.4953459119496855,0.003577044025157239
11,7,periocular_eog,6,non-CI,0.5106060606060606,0.00757575757575768
11,14,periocular_eog,6,non-CI,0.5011283043197937,0.014921248963802203
11,19,periocular_eog,6,non-CI,0.4643452380952381,-0.002384085213032572
11,22,periocular_eog,6,CI,0.4624840808286125,-0.012155032340227911
11,32,periocular_eog,6,non-CI,0.5088078848560701,-0.011176470588235232
11,33,periocular_eog,6,CI,0.4839619411457301,-0.002588915118423296
11,36,periocular_eog,6,non-CI,0.5446777221526908,-0.03830725907384225
11,37,periocular_eog,6,CI,0.48455615034494603,0.00176409126041277
11,1,frontal_polar,8,non-CI,0.5722377405338299,0.02079453755431404
11,4,frontal_polar,8,non-CI,0.4953459119496855,-0.01352201257861635
11,7,frontal_polar,8,non-CI,0.5106060606060606,0.01837121212121212
11,14,frontal_polar,8,non-CI,0.5011283043197937,0.0024177949709864865
11,19,frontal_polar,8,non-CI,0.4643452380952381,0.005413533834586426
11,22,frontal_polar,8,CI,0.4624840808286125,0.009736573002340099
11,32,frontal_polar,8,non-CI,0.5088078848560701,0.0040237797246558404
11,33,frontal_polar,8,CI,0.4839619411457301,-0.00355900744238008
11,36,frontal_polar,8,non-CI,0.5446777221526908,-0.0015237797246557827
11,37,frontal_polar,8,CI,0.48455615034494603,-0.0203425128102368
11,1,left_temporal,8,non-CI,0.5722377405338299,0.042054624456859147
11,4,left_temporal,8,non-CI,0.4953459119496855,0.011497641509433998
11,7,left_temporal,8,non-CI,0.5106060606060606,-0.06420454545454546
11,14,left_temporal,8,non-CI,0.5011283043197937,-0.0013815971262779447
11,19,left_temporal,8,non-CI,0.4643452380952381,-0.0004761904761905189
11,22,left_temporal,8,CI,0.4624840808286125,-0.008861410673843606
11,32,left_temporal,8,non-CI,0.5088078848560701,0.0039424280350438545
11,33,left_temporal,8,CI,0.4839619411457301,0.005901645252554377
11,36,left_temporal,8,non-CI,0.5446777221526908,-0.009214643304130243
11,37,left_temporal,8,CI,0.48455615034494603,0.0051670340365843614
11,1,right_temporal,8,non-CI,0.5722377405338299,-0.009931719428926122
11,4,right_temporal,8,non-CI,0.4953459119496855,-0.0109748427672956
11,7,right_temporal,8,non-CI,0.5106060606060606,0.025000000000000022
11,14,right_temporal,8,non-CI,0.5011283043197937,-0.011075803628995073
11,19,right_temporal,8,non-CI,0.4643452380952381,-0.003602756892230552
11,22,right_temporal,8,CI,0.4624840808286125,-0.00028231042854720556
11,32,right_temporal,8,non-CI,0.5088078848560701,0.004649561952440595
