child,auc_1,auc_2,n_records,auc_all_sd
1,0.5357960689523568,0.507834396286173,2,0.019771888355577073
4,0.5460597626396236,0.5851364747303833,2,0.02763140810585053
20,0.5349874484489868,0.5459811150923474,2,0.007773696233624591
22,0.5990990990990991,0.5414504840169928,2,0.04076372665057043
24,0.4784410314988503,0.5006181199870047,2,0.015681569656948068
25,0.6230520492441951,0.5773420479302832,2,0.0323218518971131
31,0.587939893735855,0.569780034134128,2,0.01284095986977676
38,0.6476703401482163,0.7056458069953645,2,0.04099484575007434
45,0.5970685705672426,0.5293711533194349,2,0.047869302804740006
51,0.6206283624934256,0.5154222660480482,2,0.07439194421869227
59,0.5589929466520358,0.5727001843387794,2,0.009692480719632237
