child,auc_1,auc_2,n_records,auc_all_sd
10,0.4536912091310336,0.54436179658575,6,0.03471095345309869
11,0.4842171717171717,0.5335947712418301,9,0.026257730160022297
21,0.5458664990923056,0.5331965344277245,2,0.008959017931719191
22,0.5189869323327726,0.5592030119717416,2,0.028437062625453223
23,0.4796698220734501,0.5242757334594069,3,0.02455038628984089
27,0.5433618998153279,0.5382729648588521,2,0.00359842041674129
28,0.5078881644169907,0.4717667667667668,2,0.025541685224409125
33,0.5155666022277455,0.5389181883232185,2,0.016512064879570413
36,0.5091008771929825,0.460569264917091,2,0.03431703214219916
37,0.4705303309954472,0.4889697168590129,2,0.013038614785042665
38,0.5056480845887977,0.4880116959064327,2,0.01247081003294201
39,0.5123296560674886,0.5623816287878788,2,0.035392089322351994
43,0.5224399282324731,0.4861937549586309,2,0.025629914913996438
