child,auc_1,auc_2,n_records,auc_all_sd
6,0.5729624435094282,0.4938802262609573,2,0.055919572087661504
18,0.501666515165288,0.534387835234431,2,0.023137467310266464
20,0.589041095890411,0.5230663330818209,2,0.046651202169128055
24,0.4212454212454212,0.4987297599106644,2,0.05478970130594849
