category,records,value
source_label,8,CI
source_label,1,NH
source_label,62,unknown
scope,60,all_canonical_MFF
scope,11,expanded_CI_scope
protocol_task,7,bapa
protocol_task,29,puretone
protocol_task,1,tone
protocol_task,34,unknown
