index,name,stage,outer_fold,inner_fold,mode,branch,resource,status
0,outer0_all_L0,outer,0,,L0,all,cpu,PASS
1,outer0_all_R_RAND,outer,0,,R_RAND,all,cpu,PASS
2,outer0_all_R_SUP,outer,0,,R_SUP,all,gpu,PASS
3,outer0_all_R_SIM,outer,0,,R_SIM,all,gpu,PASS
4,outer0_left_L0,outer,0,,L0,left,cpu,PASS
5,outer0_left_R_RAND,outer,0,,R_RAND,left,cpu,PASS
6,outer0_left_R_SUP,outer,0,,R_SUP,left,gpu,PASS
7,outer0_left_R_SIM,outer,0,,R_SIM,left,gpu,PASS
8,outer0_right_L0,outer,0,,L0,right,cpu,PASS
9,outer0_right_R_RAND,outer,0,,R_RAND,right,cpu,PASS
10,outer0_right_R_SUP,outer,0,,R_SUP,right,gpu,PASS
11,outer0_right_R_SIM,outer,0,,R_SIM,right,gpu,PASS
12,D_outer0_inner0_R_SUP,D_inner,0,0.0,R_SUP,all,gpu,PASS
13,D_outer0_inner0_R_SIM,D_inner,0,0.0,R_SIM,all,gpu,PASS
14,D_outer0_inner1_R_SUP,D_inner,0,1.0,R_SUP,all,gpu,PASS
15,D_outer0_inner1_R_SIM,D_inner,0,1.0,R_SIM,all,gpu,PASS
16,D_outer0_inner2_R_SUP,D_inner,0,2.0,R_SUP,all,gpu,PASS
17,D_outer0_inner2_R_SIM,D_inner,0,2.0,R_SIM,all,gpu,PASS
18,outer1_all_L0,outer,1,,L0,all,cpu,PASS
19,outer1_all_R_RAND,outer,1,,R_RAND,all,cpu,PASS
20,outer1_all_R_SUP,outer,1,,R_SUP,all,gpu,PASS
21,outer1_all_R_SIM,outer,1,,R_SIM,all,gpu,PASS
22,outer1_left_L0,outer,1,,L0,left,cpu,PASS
23,outer1_left_R_RAND,outer,1,,R_RAND,left,cpu,PASS
24,outer1_left_R_SUP,outer,1,,R_SUP,left,gpu,PASS
25,outer1_left_R_SIM,outer,1,,R_SIM,left,gpu,PASS
26,outer1_right_L0,outer,1,,L0,right,cpu,PASS
27,outer1_right_R_RAND,outer,1,,R_RAND,right,cpu,PASS
28,outer1_right_R_SUP,outer,1,,R_SUP,right,gpu,PASS
29,outer1_right_R_SIM,outer,1,,R_SIM,right,gpu,PASS
30,D_outer1_inner0_R_SUP,D_inner,1,0.0,R_SUP,all,gpu,PASS
31,D_outer1_inner0_R_SIM,D_inner,1,0.0,R_SIM,all,gpu,PASS
32,D_outer1_inner1_R_SUP,D_inner,1,1.0,R_SUP,all,gpu,PASS
33,D_outer1_inner1_R_SIM,D_inner,1,1.0,R_SIM,all,gpu,PASS
34,D_outer1_inner2_R_SUP,D_inner,1,2.0,R_SUP,all,gpu,PASS
35,D_outer1_inner2_R_SIM,D_inner,1,2.0,R_SIM,all,gpu,PASS
36,outer2_all_L0,outer,2,,L0,all,cpu,PASS
37,outer2_all_R_RAND,outer,2,,R_RAND,all,cpu,PASS
38,outer2_all_R_SUP,outer,2,,R_SUP,all,gpu,PASS
39,outer2_all_R_SIM,outer,2,,R_SIM,all,gpu,PASS
40,outer2_left_L0,outer,2,,L0,left,cpu,PASS
41,outer2_left_R_RAND,outer,2,,R_RAND,left,cpu,PASS
42,outer2_left_R_SUP,outer,2,,R_SUP,left,gpu,PASS
43,outer2_left_R_SIM,outer,2,,R_SIM,left,gpu,PASS
44,outer2_right_L0,outer,2,,L0,right,cpu,PASS
45,outer2_right_R_RAND,outer,2,,R_RAND,right,cpu,PASS
46,outer2_right_R_SUP,outer,2,,R_SUP,right,gpu,PASS
47,outer2_right_R_SIM,outer,2,,R_SIM,right,gpu,PASS
48,D_outer2_inner0_R_SUP,D_inner,2,0.0,R_SUP,all,gpu,PASS
49,D_outer2_inner0_R_SIM,D_inner,2,0.0,R_SIM,all,gpu,PASS
50,D_outer2_inner1_R_SUP,D_inner,2,1.0,R_SUP,all,gpu,PASS
51,D_outer2_inner1_R_SIM,D_inner,2,1.0,R_SIM,all,gpu,PASS
52,D_outer2_inner2_R_SUP,D_inner,2,2.0,R_SUP,all,gpu,PASS
53,D_outer2_inner2_R_SIM,D_inner,2,2.0,R_SIM,all,gpu,PASS
54,outer3_all_L0,outer,3,,L0,all,cpu,PASS
55,outer3_all_R_RAND,outer,3,,R_RAND,all,cpu,PASS
56,outer3_all_R_SUP,outer,3,,R_SUP,all,gpu,PASS
57,outer3_all_R_SIM,outer,3,,R_SIM,all,gpu,PASS
58,outer3_left_L0,outer,3,,L0,left,cpu,PASS
59,outer3_left_R_RAND,outer,3,,R_RAND,left,cpu,PASS
60,outer3_left_R_SUP,outer,3,,R_SUP,left,gpu,PASS
61,outer3_left_R_SIM,outer,3,,R_SIM,left,gpu,PASS
62,outer3_right_L0,outer,3,,L0,right,cpu,PASS
63,outer3_right_R_RAND,outer,3,,R_RAND,right,cpu,PASS
64,outer3_right_R_SUP,outer,3,,R_SUP,right,gpu,PASS
65,outer3_right_R_SIM,outer,3,,R_SIM,right,gpu,PASS
66,D_outer3_inner0_R_SUP,D_inner,3,0.0,R_SUP,all,gpu,PASS
67,D_outer3_inner0_R_SIM,D_inner,3,0.0,R_SIM,all,gpu,PASS
68,D_outer3_inner1_R_SUP,D_inner,3,1.0,R_SUP,all,gpu,PASS
69,D_outer3_inner1_R_SIM,D_inner,3,1.0,R_SIM,all,gpu,PASS
70,D_outer3_inner2_R_SUP,D_inner,3,2.0,R_SUP,all,gpu,PASS
71,D_outer3_inner2_R_SIM,D_inner,3,2.0,R_SIM,all,gpu,PASS
72,outer4_all_L0,outer,4,,L0,all,cpu,PASS
73,outer4_all_R_RAND,outer,4,,R_RAND,all,cpu,PASS
74,outer4_all_R_SUP,outer,4,,R_SUP,all,gpu,PASS
75,outer4_all_R_SIM,outer,4,,R_SIM,all,gpu,PASS
76,outer4_left_L0,outer,4,,L0,left,cpu,PASS
77,outer4_left_R_RAND,outer,4,,R_RAND,left,cpu,PASS
78,outer4_left_R_SUP,outer,4,,R_SUP,left,gpu,PASS
79,outer4_left_R_SIM,outer,4,,R_SIM,left,gpu,PASS
80,outer4_right_L0,outer,4,,L0,right,cpu,PASS
81,outer4_right_R_RAND,outer,4,,R_RAND,right,cpu,PASS
82,outer4_right_R_SUP,outer,4,,R_SUP,right,gpu,PASS
83,outer4_right_R_SIM,outer,4,,R_SIM,right,gpu,PASS
84,D_outer4_inner0_R_SUP,D_inner,4,0.0,R_SUP,all,gpu,PASS
85,D_outer4_inner0_R_SIM,D_inner,4,0.0,R_SIM,all,gpu,PASS
86,D_outer4_inner1_R_SUP,D_inner,4,1.0,R_SUP,all,gpu,PASS
87,D_outer4_inner1_R_SIM,D_inner,4,1.0,R_SIM,all,gpu,PASS
88,D_outer4_inner2_R_SUP,D_inner,4,2.0,R_SUP,all,gpu,PASS
89,D_outer4_inner2_R_SIM,D_inner,4,2.0,R_SIM,all,gpu,PASS
