kind,seed,fold,centre_s,auc_base,auc_occluded,drop,group,n_channels
time,11,0,-0.16,0.5503226265746611,0.5504601753727286,-0.00013754879806748832,,
time,11,0,-0.12000000000000001,0.5503226265746611,0.5496224412661537,0.0007001853085074616,,
time,11,0,-0.08000000000000002,0.5503226265746611,0.5476520645976664,0.0026705619769947786,,
time,11,0,-0.04000000000000001,0.5503226265746611,0.5477094985701009,0.002613128004560261,,
time,11,0,0.0,0.5503226265746611,0.5474298719660148,0.002892754608646353,,
time,11,0,0.03999999999999998,0.5503226265746611,0.5440639112917133,0.006258715282947858,,
time,11,0,0.08000000000000002,0.5503226265746611,0.5480712538760398,0.002251372698621301,,
time,11,0,0.12,0.5503226265746611,0.5430279821778029,0.00729464439685823,,
time,11,0,0.15999999999999998,0.5503226265746611,0.5404116941391742,0.009910932435486908,,
time,11,0,0.2,0.5503226265746611,0.5507136259653752,-0.0003909993907140752,,
time,11,0,0.24,0.5503226265746611,0.5376030837269642,0.01271954284769694,,
time,11,0,0.27999999999999997,0.5503226265746611,0.5227726007140389,0.027550025860622274,,
time,11,0,0.32,0.5503226265746611,0.5346209664168967,0.01570166015776442,,
time,11,0,0.36000000000000004,0.5503226265746611,0.5484494336130203,0.0018731929616407905,,
time,11,0,0.39999999999999997,0.5503226265746611,0.5490398324466145,0.0012827941280466604,,
time,11,0,0.44,0.5503226265746611,0.5477689110570457,0.002553715517615407,,
time,11,0,0.48000000000000004,0.5503226265746611,0.5488293336349096,0.0014932929397515338,,
time,11,0,0.52,0.5503226265746611,0.5484181802189323,0.0019044463557288394,,
time,11,0,0.56,0.5503226265746611,0.5491620765248276,0.0011605500498335086,,
space,11,0,,0.5503226265746611,0.5449569639829908,0.005365662591670373,band_0_0-4,5.0
space,11,0,,0.5503226265746611,0.549822121906683,0.00050050466797813,band_1_5-9,5.0
space,11,0,,0.5503226265746611,0.5466848232271846,0.0036378033474765425,band_2_10-14,5.0
space,11,0,,0.5503226265746611,0.5491419207006952,0.0011807058739659038,band_3_15-19,5.0
time,11,1,-0.16,0.5631610445176364,0.5621983440526499,0.0009627004649864768,,
time,11,1,-0.12000000000000001,0.5631610445176364,0.5625774553802098,0.0005835891374266211,,
time,11,1,-0.08000000000000002,0.5631610445176364,0.5628011120634507,0.0003599324541856408,,
time,11,1,-0.04000000000000001,0.5631610445176364,0.5618026524980824,0.0013583920195540111,,
time,11,1,0.0,0.5631610445176364,0.5579796650039374,0.005181379513699014,,
time,11,1,0.03999999999999998,0.5631610445176364,0.5544564787154227,0.008704565802213682,,
time,11,1,0.08000000000000002,0.5631610445176364,0.5601651228139798,0.00299592170365659,,
time,11,1,0.12,0.5631610445176364,0.5480889768255053,0.015072067692131097,,
time,11,1,0.15999999999999998,0.5631610445176364,0.5335462011860235,0.029614843331612906,,
time,11,1,0.2,0.5631610445176364,0.5510079469028253,0.012153097614811093,,
time,11,1,0.24,0.5631610445176364,0.5550922338632783,0.00806881065435805,,
time,11,1,0.27999999999999997,0.5631610445176364,0.5415458242444304,0.02161522027320595,,
time,11,1,0.32,0.5631610445176364,0.550697500606279,0.0124635439113574,,
time,11,1,0.36000000000000004,0.5631610445176364,0.5636634460994291,-0.0005024015817927108,,
