mode,outer_fold,quantity,metric,matched,mismatched,gain,estimate,ci_lower,ci_upper,status,n_candidates,n_bootstrap,invalid_replicates,bootstrap_scope,quality_status,background_components
L0,0,Delta,inner_product,87.72851011839138,9.805415063382148,77.92309505500924,77.92309505500924,12.977304329060681,152.90460771460923,COMPUTED,11,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
L0,0,Delta,cosine,0.10564308427428616,0.01713862171944456,0.0885044625548416,0.0885044625548416,0.01148122167406635,0.16253287813595976,COMPUTED,11,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
L0,0,P,inner_product,17.12853369040776,0.4018120495182734,16.726721640889487,16.726721640889487,6.135184971731858,27.9451286779028,COMPUTED,11,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
L0,0,P,cosine,0.18403016695550703,0.005577909347538384,0.17845225760796865,0.17845225760796865,0.08297198221688798,0.267149231508201,COMPUTED,11,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
L0,0,R,inner_product,92.78293437496997,19.234800271146092,73.54813410382388,73.54813410382388,16.211798307613492,140.0562141411482,COMPUTED,11,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
L0,0,R,cosine,0.1051138243797512,0.025580256320400216,0.07953356805935098,0.07953356805935098,0.013713702846761855,0.1441859513566943,COMPUTED,11,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
L0,1,Delta,inner_product,-3.0384201625406657,8.196652211583201,-11.235072374123867,-11.235072374123867,-70.34902186668313,56.46956613794352,COMPUTED,11,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
L0,1,Delta,cosine,-0.014326610305614718,0.01503356752022787,-0.02936017782584259,-0.02936017782584259,-0.11954976107943087,0.0732697903254334,COMPUTED,11,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
L0,1,P,inner_product,3.491391707327796,-0.4897977784261569,3.981189485753953,3.981189485753953,-15.561129004040845,18.158592560007577,COMPUTED,11,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
L0,1,P,cosine,0.1099414430859461,-0.00450753327387859,0.11444897635982469,0.11444897635982469,-0.037741206294176606,0.24994316904498576,COMPUTED,11,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
L0,1,R,inner_product,-1.2038521529107102,5.757903448507497,-6.961755601418207,-6.961755601418207,-59.2701481685728,56.12606623762198,COMPUTED,11,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
L0,1,R,cosine,0.012598986565862154,0.011831268925027361,0.0007677176408347926,0.0007677176408347926,-0.08363193782470159,0.09805549662670088,COMPUTED,11,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
L0,2,Delta,inner_product,114.65397084032027,12.05374947728457,102.6002213630357,102.6002213630357,12.98950229813346,207.06392739722884,COMPUTED,8,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
L0,2,Delta,cosine,0.147853341547181,0.019042406133167194,0.1288109354140138,0.1288109354140138,0.023330132602565574,0.24891840065630266,COMPUTED,8,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
