child,n_dev,slope_sd_per_step,slope_se,slope_shrunk,shrinkage_factor
0,137,0.09501863645510274,0.04180770858281171,0.010248959131793384,0.0005717930496534516
2,139,0.0215039367148518,0.04588754156123186,0.01020582626296843,0.00047468358849733945
3,140,-0.0460719584404651,0.04690700312392137,0.010174897037740046,0.0004542838403145857
4,148,-0.056600591267807886,0.0424221982776468,0.010163362243340688,0.0005553571984065666
5,110,-0.01569187655075085,0.05034968335762198,0.010190251141044085,0.0003943076774921942
6,138,0.03153714404918798,0.04530333957937987,0.010210851630497978,0.0004869989358972327
9,123,0.03234883264152172,0.037540050844078916,0.010216165908665963,0.0007090914083213624
10,411,0.027189603316603306,0.024054615038167675,0.010229771289479947,0.0017252548710491112
11,428,0.05360941860263114,0.025984213790703998,0.01026465808938587,0.0014788975378542625
12,183,-0.01370268443791399,0.0386494238803839,0.01018446958760983,0.0006689956786591688
13,162,-0.004730557697109314,0.038430445576195266,0.010190357821499015,0.0006766361574162853
15,144,0.009376707429968607,0.03800622259201746,0.01019989080347276,0.0006918150879592616
16,163,-0.012572426172471838,0.03947953856997538,0.010185859257966424,0.0006411760848978097
17,44,-0.013458012422187662,0.0673706018914342,0.010195249339108951,0.00022027411796143997
18,84,-0.01265083840917685,0.05928696341703891,0.010193961353122002,0.0002844186344044026
19,190,0.04243035320941937,0.040403100097549785,0.010220192343473726,0.000612215974817753
21,161,0.011850592496526225,0.035100735685697514,0.010201798927912141,0.0008109894614804913
22,134,-0.008309079088000087,0.042118817192370636,0.010190032747897955,0.0005633819443225147
23,230,0.05773545312546615,0.031060941971436114,0.010249679856623903,0.0010354302313894373
24,111,0.04094727343115002,0.055480034521567814,0.01021044655099795,0.000324777162296422
25,65,-0.06506841747669144,0.06036813065414844,0.010179812553291085,0.00027432500148769567
26,117,-0.0035287368330452857,0.0408714946412726,0.010192246886789354,0.0005982725212828005
27,135,0.00715501919352423,0.04341992661016577,0.01019884617449132,0.0005301411690541518
28,181,0.026584150562986745,0.03849441154017684,0.010211509698380104,0.000674390815438006
29,61,0.052121616925847936,0.05860729193841085,0.010212661915853608,0.0002910517872836945
30,168,-0.008809024142093532,0.04127176420187306,0.010189307234127337,0.0005867310123244719
31,168,0.03597165850420779,0.03991963037349214,0.010216622466486807,0.0006271256073008471
32,189,-0.03664099558051587,0.036908709907870985,0.010166100624032741,0.0007335396272843583
33,197,-0.007056671117925239,0.035413638558357025,0.010186711363945854,0.0007967328878373632
34,160,-0.04080144636076528,0.038896438774291386,0.010166772335779515,0.0006605312345224464
35,136,-0.03276329817045659,0.041756021922460924,0.010175833489175019,0.000573208673654087
36,84,0.04559417810221642,0.05500942910476356,0.010212153216121064,0.00033035602275559794
37,183,-0.052755908232672344,0.0387271942902344,0.010158512024736248,0.0006663132640645439
38,159,-0.03695440551332802,0.04112535883846946,0.010172596242601598,0.0005909134740176432
39,147,-0.003590435118161769,0.04792165414166044,0.010194458082864122,0.0004352585666495807
40,189,0.05924214523105656,0.03603327001177401,0.010238202580692466,0.0007695880074009601
42,111,0.004550672132955439,0.0522839595061034,0.010198394659409873,0.0003656825340542388
43,169,0.03649596562226526,0.03670325488726608,0.010219965874116822,0.0007417688217123061
