packet,world,seed,dimension,rate,first,second,estimate,ci_lower,ci_upper,test_groups,test_trials,units,ci_scope,oracle_expected_gain_bits,mode,outer_profile
N3,strong_history_null,220000,64,0.15,H,HP,0.0,0.0,0.0,12,5446,bits_per_trial,fixed_predictions_identity_bootstrap,6.429558999416096e-18,R_SIM,0
N3,strong_history_null,220000,64,0.15,H,Hnoise,0.00042562129068962157,-0.002695870389305153,0.003638007914377034,12,5446,bits_per_trial,fixed_predictions_identity_bootstrap,,R_SIM,0
N3,strong_history_null,220000,64,0.15,H,Hdup,0.0015173698878646151,-0.0017946783271907743,0.00461693380062008,12,5446,bits_per_trial,fixed_predictions_identity_bootstrap,,R_SIM,0
N3,strong_history_null,220000,64,0.15,Hnoise,HP,-0.00042562129068962157,-0.0036380079143770346,0.0026958703893051523,12,5446,bits_per_trial,fixed_predictions_identity_bootstrap,,R_SIM,0
N3,strong_history_null,220000,64,0.15,Hdup,HP,-0.0015173698878646151,-0.004616933800620081,0.001794678327190773,12,5446,bits_per_trial,fixed_predictions_identity_bootstrap,,R_SIM,0
N3,strong_history_increment,220000,64,0.15,H,HP,0.02983173241565723,0.023598958622635315,0.035433831825278816,12,5446,bits_per_trial,fixed_predictions_identity_bootstrap,0.04753688219935744,R_SIM,0
N3,strong_history_increment,220000,64,0.15,H,Hnoise,0.0,0.0,0.0,12,5446,bits_per_trial,fixed_predictions_identity_bootstrap,,R_SIM,0
N3,strong_history_increment,220000,64,0.15,H,Hdup,0.0,0.0,0.0,12,5446,bits_per_trial,fixed_predictions_identity_bootstrap,,R_SIM,0
N3,strong_history_increment,220000,64,0.15,Hnoise,HP,0.02983173241565723,0.023598958622635315,0.035433831825278816,12,5446,bits_per_trial,fixed_predictions_identity_bootstrap,,R_SIM,0
N3,strong_history_increment,220000,64,0.15,Hdup,HP,0.02983173241565723,0.023598958622635315,0.035433831825278816,12,5446,bits_per_trial,fixed_predictions_identity_bootstrap,,R_SIM,0
N3,history_copy,220000,64,0.15,H,HP,0.004760104695277559,0.001541815543302575,0.007667575863732163,12,5446,bits_per_trial,fixed_predictions_identity_bootstrap,6.429558999416096e-18,R_SIM,0
N3,history_copy,220000,64,0.15,H,Hnoise,0.00042562129068962157,-0.002695870389305153,0.003638007914377034,12,5446,bits_per_trial,fixed_predictions_identity_bootstrap,,R_SIM,0
N3,history_copy,220000,64,0.15,H,Hdup,0.0015173698878646151,-0.0017946783271907743,0.00461693380062008,12,5446,bits_per_trial,fixed_predictions_identity_bootstrap,,R_SIM,0
N3,history_copy,220000,64,0.15,Hnoise,HP,0.004334483404587937,-0.0002447804760831374,0.00894828834257096,12,5446,bits_per_trial,fixed_predictions_identity_bootstrap,,R_SIM,0
N3,history_copy,220000,64,0.15,Hdup,HP,0.003242734807412944,0.00034326410134593883,0.005983022561719256,12,5446,bits_per_trial,fixed_predictions_identity_bootstrap,,R_SIM,0
N3,near_deterministic,220000,64,0.15,H,HP,0.0,0.0,0.0,12,5446,bits_per_trial,fixed_predictions_identity_bootstrap,0.0,R_SIM,0
N3,near_deterministic,220000,64,0.15,H,Hnoise,0.0,0.0,0.0,12,5446,bits_per_trial,fixed_predictions_identity_bootstrap,,R_SIM,0
N3,near_deterministic,220000,64,0.15,H,Hdup,0.0,0.0,0.0,12,5446,bits_per_trial,fixed_predictions_identity_bootstrap,,R_SIM,0
N3,near_deterministic,220000,64,0.15,Hnoise,HP,0.0,0.0,0.0,12,5446,bits_per_trial,fixed_predictions_identity_bootstrap,,R_SIM,0
N3,near_deterministic,220000,64,0.15,Hdup,HP,0.0,0.0,0.0,12,5446,bits_per_trial,fixed_predictions_identity_bootstrap,,R_SIM,0
N3,strong_history_increment_weak,220000,64,0.15,H,HP,0.0,0.0,0.0,12,5446,bits_per_trial,fixed_predictions_identity_bootstrap,0.005873188807972721,R_SIM,0
N3,strong_history_increment_weak,220000,64,0.15,H,Hnoise,0.001574716925147407,-0.0025435677509370634,0.00535868629599618,12,5446,bits_per_trial,fixed_predictions_identity_bootstrap,,R_SIM,0
N3,strong_history_increment_weak,220000,64,0.15,H,Hdup,0.0028540790938479713,-0.0017381690109253933,0.006629705003167036,12,5446,bits_per_trial,fixed_predictions_identity_bootstrap,,R_SIM,0
N3,strong_history_increment_weak,220000,64,0.15,Hnoise,HP,-0.001574716925147407,-0.00535868629599618,0.0025435677509370634,12,5446,bits_per_trial,fixed_predictions_identity_bootstrap,,R_SIM,0
N3,strong_history_increment_weak,220000,64,0.15,Hdup,HP,-0.0028540790938479713,-0.006629705003167036,0.0017381690109253927,12,5446,bits_per_trial,fixed_predictions_identity_bootstrap,,R_SIM,0
N3,strong_history_null,220001,64,0.15,H,HP,0.0,0.0,0.0,12,4834,bits_per_trial,fixed_predictions_identity_bootstrap,6.515932365172965e-18,R_SIM,1
