seed,child,n,auc_base,peak_time_s,peak_drop,pre_drop_mean
11,2,933,0.5133624572149162,0.24,0.014664024500090134,0.004841470005404451
11,3,950,0.5145745119182249,0.27999999999999997,0.007666412434578995,0.0044687864362797465
11,10,2092,0.49436629800637105,0.36000000000000004,0.006512759941300683,-0.0004886836799217106
11,17,282,0.552977027660572,0.08000000000000002,0.02676980778246607,0.007899671823722495
11,18,421,0.45120798319327726,0.32,0.02876400560224085,0.008671802054154928
11,20,48,0.396875,0.24,0.10468749999999993,-0.009375000000000031
11,29,319,0.4986506840717962,0.24,0.03564704405673408,0.0025835739090414866
11,36,460,0.4967510259917921,0.36000000000000004,0.012949260042283306,-0.006137814533847309
11,40,945,0.4979295921924015,0.36000000000000004,0.03876960613454167,-0.004024631114209383
11,9,798,0.945050014358189,0.24,0.059155738489518606,0.00890506844070077
11,12,921,0.5142211373960238,0.12,0.01019113916583092,0.0050144534245767
11,21,813,0.5237989617744219,0.24,0.020259556394525702,0.00016674532011952867
11,27,694,0.5482839507790693,0.15999999999999998,0.02899395877288402,0.0013377626929108228
11,31,872,0.542215526021194,0.08000000000000002,0.020411255229068948,0.007673509697801191
11,32,937,0.46416895652786583,0.52,0.009117170436130528,-0.0006769769135019921
11,37,961,0.4729276957369741,0.48000000000000004,0.005569100027862872,-0.0015307188631930868
11,39,836,0.520549417269912,0.24,0.031466447837597555,-0.0038848672534672057
11,41,120,0.6811002178649237,0.32,0.02913943355119819,-0.010802469135802536
11,0,937,0.4610246503781902,0.12,0.009522773031506837,-0.0009530330787880329
11,4,991,0.560115735943503,0.36000000000000004,0.048514243810677704,-0.001542348833872757
11,5,715,0.5156091521985562,0.27999999999999997,0.012156195931030345,0.008583915040868695
11,8,154,0.5499311294765841,0.24,0.08126721763085404,-0.0020374196510559717
11,13,815,0.5330130979713199,0.44,0.03601001166773299,0.003849254143299785
11,16,842,0.5625899345276638,0.36000000000000004,0.039063062090797795,-0.0034812156749886025
11,22,705,0.5299286674247907,0.2,0.046430786725938256,-0.004644586305523908
11,25,354,0.4299505471380471,0.08000000000000002,0.01033775252525243,0.015879278900112186
11,26,632,0.34134076370111455,0.2,0.1934148915122337,-0.007881026182153916
11,6,938,0.5249637586551535,0.2,0.025567030730859697,0.0040915953094846635
11,11,2227,0.5284833105352645,0.24,0.01168646050394384,-0.0016899334807750817
11,14,161,0.5997455470737914,0.32,0.05750636132315523,0.013698049194232398
11,19,964,0.5611745900584518,0.2,0.03626653481709263,0.004793657674254807
11,23,1263,0.5054106421100879,0.15999999999999998,0.016640276678194843,-0.003325833020820327
11,24,608,0.5539944556451614,0.24,0.05321140552995407,9.750624039944755e-05
11,35,682,0.7782696042322373,0.24,0.18285006361749157,-0.0007422040670550337
11,42,573,0.4972303997520916,0.12,0.003980089866749192,-0.0033344954033675176
