model,MAE,RMSE,n
M0_C,5.003564047216319,7.381972279436445,52
M1_CQ,5.637850823499358,8.406986540055001,52
M2_MEAN_RIDGE,5.637850823499358,8.406986540055001,52
M3_MEAN_THEN_MLP,8.565486655809735,11.262895260480361,52
M4_MLP_THEN_MEAN,8.570891802750015,11.282654939179475,52
M1_CQ_amplitude,5.895864303377427,8.587396747544373,52
M4_amplitude,8.710080050108047,11.321538746347205,52
M4_mismatch,8.33386349724876,10.732119743845827,52
M3s,5.523543735893871,8.369540948520724,52
M4s,5.528634726822023,8.370768014539452,52
M4s_amplitude,5.7092114072712015,8.556112568522353,52
M4s_mismatch,5.809184390481107,8.52778054398897,52
