seed,child,n,auc_base,peak_time_s,peak_drop,pre_drop_mean
11,0,827,0.4793140028288543,0.08000000000000002,0.009193776520509123,0.0011462753418198801
11,1,321,0.3390161847608656,0.32,0.03696126568466995,-0.02111747590470997
11,14,748,0.46597035040431267,0.15999999999999998,0.005973438903863482,0.0023865678346810526
11,15,940,0.5237841628276481,0.12,0.021565076913517833,-0.002965438476582686
11,23,958,0.5187386011791153,0.24,0.02583874114603224,0.0016548613761999953
11,29,860,0.4470969441517387,0.08000000000000002,0.011601685985247634,-0.008862838075166848
11,32,781,0.48441754916792734,0.08000000000000002,0.007085224407463397,0.008802950075642932
11,34,416,0.5504915730337079,0.15999999999999998,0.04786985018726597,0.008095349563046195
11,2,965,0.48216989066442384,0.15999999999999998,0.012401177460050372,-0.005352537146061163
11,6,1717,0.5221676703158185,0.15999999999999998,0.014604551641588692,0.004040416077453128
11,7,901,0.5079550380265594,0.15999999999999998,0.024308428892303946,0.009213559522402085
11,17,828,0.6097000154081378,0.15999999999999998,0.044031717059179076,-0.0021828195311975884
11,19,855,0.5018767660579477,0.08000000000000002,0.10214668297414703,0.024801252583189187
11,21,936,0.5334403853873946,0.15999999999999998,0.015388732771310143,0.005250754568297693
11,33,97,0.4480023501762632,0.32,0.04112808460634548,-0.018018018018018018
11,5,963,0.5157896491930105,0.48000000000000004,0.013913898892890408,0.0007127851140455813
11,12,740,0.5298412698412698,0.27999999999999997,0.04823953823953819,0.0033201058201057787
11,26,669,0.5487916950306331,0.39999999999999997,0.01612491490810075,-0.00012621965055594395
11,27,776,0.5025789135167227,0.15999999999999998,0.029827577676627637,-0.0002195477933901735
11,30,508,0.47670942832233154,0.36000000000000004,0.018837962386349494,-0.0016191306513887171
11,31,811,0.4419199228171731,0.12,0.013241678726483297,-0.002454172696575052
11,35,797,0.5018463810930576,0.24,0.02183653372722799,0.004215903495814836
11,8,967,0.48512870709048134,0.32,0.011694400082427558,-0.00046365462881871783
11,9,580,0.4860446302164093,0.15999999999999998,0.0179217510505853,-0.004089979550102291
11,10,785,0.5078539765991443,0.27999999999999997,0.024683006030616905,-0.013676270982595459
11,11,467,0.49757847207049744,0.44,0.020318986235525416,0.0015475930376520435
11,20,1170,0.5548681147083528,0.32,0.025460992507990943,-0.004122296196494679
11,24,491,0.4662595043649676,0.36000000000000004,0.04132638693325824,-0.022308856660095733
11,28,88,0.5794871794871794,0.27999999999999997,0.08846153846153837,0.01730769230769223
11,3,866,0.5722542452095342,0.15999999999999998,0.04169392948018902,0.0025895345415519744
11,4,786,0.6038480718085106,0.15999999999999998,0.06040439779635265,-0.004210003482776059
11,13,960,0.5540393952959812,0.24,0.03745394125142043,-0.002724783911291754
11,16,888,0.5271414270024396,0.12,0.020094861352746185,-0.0012319340635842946
11,18,1416,0.508844551434246,0.15999999999999998,0.021013035597048535,0.001464801410503619
11,22,879,0.5302421326448786,0.24,0.017397171859414473,-3.259728660187644e-05
11,25,659,0.5239808802308802,0.12,0.03731962481962481,-0.002401996151996192
22,7,901,0.5167228198762659,0.15999999999999998,0.026456042873468033,-0.00030949941548121435
22,17,828,0.5779118417465717,0.15999999999999998,0.023746310936222148,0.009244882720366054
22,20,1170,0.5289194933169474,0.27999999999999997,0.02050859974406527,0.0005350763951916989
22,21,936,0.5365716579686873,0.08000000000000002,0.01529506222400645,0.010640528123466756
22,29,860,0.4885563751317176,0.39999999999999997,0.013566912539515308,-0.004992975061468184
22,30,508,0.5114740316353219,0.2,0.030436542533316735,0.005036430439656209
22,31,811,0.4715750120598167,0.08000000000000002,0.012500000000000011,-0.0038661762341212305
22,34,416,0.5084269662921348,0.15999999999999998,0.029798689138576695,0.0016892946317103401
22,10,785,0.5348306788309882,0.39999999999999997,0.02211226225452312,0.010300156349329237
22,12,740,0.5144444444444445,0.15999999999999998,0.0566305916305917,-0.00550024050024045
22,14,748,0.5121714959568733,0.2,0.012859389038634317,0.004094601677148794
22,15,940,0.5114726741760534,0.12,0.021396426384043876,0.002288617272772936
22,24,491,0.4668051253168122,0.44,0.011898056885384367,-0.009871045714822113
22,27,776,0.5357770136552543,0.27999999999999997,0.027254848604789217,-0.006964715680453852
22,28,88,0.6166666666666667,0.48000000000000004,0.10769230769230775,0.0070512820512820635
22,1,321,0.6227950536461174,0.08000000000000002,0.09342607746863063,0.021602412559859358
22,5,963,0.5125466853408029,0.12,0.03478474723222624,-0.0030262104841936957
22,8,967,0.500734119828963,0.32,0.023702196349149163,-0.007344060355239573
22,9,580,0.5205734960336187,0.15999999999999998,0.04295602148362887,-0.007942126040285602
22,13,960,0.5816186852164331,0.27999999999999997,0.02579720376046013,0.010266365921691592
22,16,888,0.5157357100508324,0.12,0.005851079339469489,0.004491983114160806
22,33,97,0.449764982373678,0.56,0.026145710928319632,0.007197414806110469
22,4,786,0.5586827982522796,0.12,0.03856976633738596,-0.004857087449341472
22,18,1416,0.561003456064216,0.15999999999999998,0.018281630007060845,0.0034856561635898675
22,19,855,0.5183617308422251,0.08000000000000002,0.029005524861878462,0.007365603868809134
22,22,879,0.4936728666705783,0.24,0.021382190146492175,-0.005702895290996009
22,23,958,0.5605335708529499,0.24,0.017958179581795797,0.009427973590080648
22,26,669,0.4941201497617427,0.27999999999999997,0.012636147038801893,-0.01012026321760833
22,32,781,0.5218923348461927,0.36000000000000004,0.015418557740796812,0.008361699445284984
22,0,827,0.49120108439415366,0.56,0.009995285242809904,0.000509783121169255
22,2,965,0.5618166526492852,0.15999999999999998,0.023662741799831855,-0.005264928511354017
22,3,866,0.5438386041439477,0.15999999999999998,0.03508853923248689,0.005765003202298724
22,6,1717,0.5193778434519175,0.24,0.01570485829745094,0.0004045050341346575
22,11,467,0.4776054183963295,0.27999999999999997,0.03918141431796668,-0.004387881436166335
22,25,659,0.4805826118326118,0.12,0.02858044733044729,-0.0077606421356421484
22,35,797,0.5068377646479567,0.15999999999999998,0.01661127523387501,-0.0006287953389134312
33,6,1717,0.5452516008071564,0.24,0.011187113038964913,0.0018263413325142104
33,8,967,0.48445039754091324,0.39999999999999997,0.008560438239486157,0.0001259308868396536
33,10,785,0.5821929281995774,0.27999999999999997,0.07154914695118808,-0.0058738381183100485
33,17,828,0.5693188417821289,0.15999999999999998,0.043196121890222816,-0.0013600644771308106
33,20,1170,0.5162467796763046,0.32,0.02232100073848997,0.003962102122078222
33,23,958,0.5610976799423166,0.24,0.03188700852525761,0.003275084474982648
33,33,97,0.45417156286721505,0.36000000000000004,0.044653349001175124,0.008225616921269099
33,35,797,0.5960487444608566,0.15999999999999998,0.06087518463810915,-1.9489578204541964e-05
33,1,321,0.5501000181851246,0.08000000000000002,0.06246590289143478,0.009418379099230156
33,7,901,0.5201609725341845,0.2,0.022983410174567453,0.008169306852661854
33,11,467,0.47037724856164886,0.39999999999999997,0.0212111281042896,-0.014201441992571525
33,14,748,0.4971080413297394,0.2,0.015463555705301002,-0.0021865172955975454
33,15,940,0.5261674610994239,0.24,0.02122333768274176,0.0015082387263038826
33,21,936,0.5395557339756456,0.15999999999999998,0.0318702885944957,-0.0019507263184501689
33,32,781,0.5373676248108925,0.08000000000000002,0.025680786686838042,0.012302487813077726
33,0,827,0.47692715700141447,0.44,0.015700141442715754,-0.00177392739273922
33,3,866,0.5156358726696786,0.08000000000000002,0.004367243080438232,0.010545948659362009
33,4,786,0.5668633643617021,0.15999999999999998,0.05484778685410341,-0.0043742480369807395
33,19,855,0.44850491333136516,0.52,0.0237442537219012,0.014945594871578566
33,25,659,0.5092622655122655,0.15999999999999998,0.03510101010101008,0.0009710197210197336
33,29,860,0.5105268703898841,0.27999999999999997,0.01840885142255,-0.0022883737267299087
33,31,811,0.5212614568258562,0.08000000000000002,0.041594307766521954,-0.0010180495256472317
33,5,963,0.487624216353208,0.15999999999999998,0.0182698079231694,-0.0027781946111777403
33,9,580,0.5081237780624284,0.2,0.035697431402952895,-0.004359648531427683
33,12,740,0.5667316017316016,0.32,0.020108225108224964,-0.002513227513227597
33,16,888,0.5467843362135159,0.12,0.0084170011760476,0.006296551880542123
33,18,1416,0.5009269849659141,0.44,0.012884884570758426,-0.0019172829361819206
33,22,879,0.48976608187134507,0.48000000000000004,0.013304582526550535,-0.005202526941657348
33,24,491,0.5343213179386088,0.39999999999999997,0.018375105604055086,-0.008738735567445829
33,2,965,0.5245794785534063,0.24,0.0212321278385198,-0.004284412671712885
33,13,960,0.5812312751816522,0.08000000000000002,0.028057095630014794,0.009559701321211625
33,26,669,0.5510806671204901,0.32,0.04847685500340371,0.0028293056501020875
33,27,776,0.5122452008707699,0.15999999999999998,0.017483425687710274,-0.005272239263803676
33,28,88,0.6807692307692308,0.24,0.13205128205128203,-0.021794871794871756
33,30,508,0.5123614397807946,0.15999999999999998,0.05104932121061151,0.011300182671150441
33,34,416,0.47701310861423224,0.2,0.016338951310861438,0.002508583021223476
