route,stage,denominator,count,status
F1,HA clinical rows,84,84,candidate_raw_archive_values
F1,HA candidate identity groups,84,69,candidate_groups_not_confirmed_children
F1,auditory endpoint version and timing interpretable,84,0,SUPPORT_INSUFFICIENT
F2,MUSS/SIR raw numeric HA rows,84,84,candidate_raw_archive_values
F2,speech endpoint version and timing interpretable,84,0,SUPPORT_INSUFFICIENT
F3,confirmed same-candidate two-task clinical pairs,93,0,SUPPORT_INSUFFICIENT
F4,candidate repeated vendor acquisition pairs,15,15,candidate_order_only
F4,ordered baseline/followup clinical assessments,15,0,SUPPORT_INSUFFICIENT
