child,n_dev_after_dev,n_dev_after_std3,dev_after_dev,dev_after_std3,std_after_dev,std_after_std3,repetition_effect,carryover_on_standards,pre_only_dev_after_dev,pre_only_dev_after_std3,pre_only_repetition_effect
0,18,75,-0.17640032862519364,-0.06390928221566093,-0.04163451454796711,0.011520741399822777,-0.11249104640953271,-0.05315525594778989,0.2233933229811984,0.2538495823948006,-0.030456259413602194
2,28,79,0.25435914915946767,0.2599126630008471,0.21087377264337112,-0.008811745112274292,-0.0055535138413794205,0.2196855177556454,0.05852295794670321,-0.06021403577106246,0.11873699371776567
3,25,83,-0.41452573709371776,-0.203976449694189,-0.7044720482855223,-0.49865828153896297,-0.21054928739952877,-0.20581376674655938,-0.3590477488575673,-0.07092120891184182,-0.28812653994572546
4,22,74,-0.4002324737798048,-0.0819910466789185,-0.5096866622842345,-0.5788006623355348,-0.3182414271008863,0.0691140000513003,-0.6475642255602458,-0.5071635714445728,-0.14040065411567304
5,17,93,-0.39325702918982913,0.0914611628944991,0.019957721246610705,0.020381842750922457,-0.4847181920843282,-0.0004241215043117516,-0.14545635498885576,0.04762020227596142,-0.19307655726481718
6,40,152,-0.17948017972805405,0.20023049231649392,0.0653290678671996,-0.004031672582569239,-0.379710672044548,0.06936074044976884,-0.04591208696930469,0.057908950763889556,-0.10382103773319425
7,16,89,-0.14610198180418468,-0.20234175953755412,-0.2865145666028975,-0.18177318516206706,0.05623977773336944,-0.10474138144083042,0.5708773620996862,0.4876217857771754,0.0832555763225108
8,22,85,0.13468600974779552,0.04349682753026019,0.09031398368774149,0.08822750330994272,0.09118918221753533,0.002086480377798766,0.8070405996858177,0.2100686092063642,0.5969719904794535
9,13,51,0.43412018520305307,0.18141131493826193,0.37799593369175494,0.1612233723357782,0.25270887026479116,0.21677256135597675,0.5454999846041126,0.2408867786046744,0.30461320599943825
10,18,69,0.1380729459308337,0.00865659044854825,-0.24799416287470516,-0.07006628752745965,0.12941635548228544,-0.17792787534724552,0.007194423171507612,-0.02161406690440586,0.028808490075913473
12,13,75,0.3724614458040181,0.03499870290331685,-0.22068559656246722,0.020400919582749488,0.3374627429007012,-0.2410865161452167,-0.03976542872110191,-0.23485813703032263,0.1950927083092207
13,24,93,-0.25249732187971646,0.20190096996873688,-0.14431821470023332,-0.22142196621122917,-0.4543982918484534,0.07710375151099585,0.1159409676994004,-0.22882548701130956,0.34476645471071
14,16,68,-0.3351250232123148,0.12001867312373238,-0.09137633926024127,-0.029677837131922794,-0.4551436963360472,-0.06169850212831848,-0.22995553994929446,0.04505629684682678,-0.27501183679612123
15,17,72,0.3215825612276583,0.1820623312231726,0.06169302351067034,0.08827633090448316,0.1395202300044857,-0.026583307393812816,0.037405955964393466,0.10113157488898113,-0.06372561892458767
16,14,95,0.29038420295587447,-0.10920009793200497,-0.3786729956232042,-0.1623396590658797,0.39958430088787944,-0.21633333655732453,-0.25323312569915507,-0.03836713783562172,-0.21486598786353334
17,20,69,0.20366475677182433,0.4322800969765492,-0.16037121768832796,-0.03641829300892371,-0.22861534020472485,-0.12395292467940425,0.09971678091982972,0.1875811631935295,-0.08786438227369978
18,32,128,-0.1981058899655394,0.09370177501899643,-0.0957406373833884,-0.0702548535523142,-0.2918076649845358,-0.025485783831074194,-0.4545558775085457,-0.4338820001270529,-0.02067387738149279
19,21,85,-0.27080771468087417,-0.33174911100574883,-0.1202640141169039,-0.28991275364250646,0.060941396324874664,0.16964873952560255,-0.39903505214800866,-0.5589100455118654,0.15987499336385674
20,21,107,-0.12541806114554327,-0.03917563305190527,-0.3512192880395425,-0.21375485795646393,-0.086242428093638,-0.13746443008307857,-0.5167909145867845,-0.256101714550184,-0.2606892000366005
21,22,89,-0.5571455177438527,0.06462444095643344,-0.14829227168279432,-0.18623068163552656,-0.6217699587002861,0.03793840995273223,0.6920034836509726,0.21439803781287783,0.47760544583809483
22,24,70,-0.2564436756281387,0.1813306049232795,-0.0604268449955374,0.08081474740063609,-0.4377742805514182,-0.14124159239617348,-0.6300172265262188,-0.5946608135344522,-0.03535641299176662
23,18,88,0.4116751596831728,0.3025389873703316,-0.05863156879245541,0.0549701547265789,0.10913617231284123,-0.1136017235190343,-0.227282599360584,-0.11376292264043479,-0.11351967672014922
25,18,53,-0.43788930218446803,0.0404885586770226,-0.09847674101687036,-0.09281330517163107,-0.47837786086149064,-0.00566343584523929,-0.4791103962911827,-0.12898508831407368,-0.350125307977109
26,15,63,-0.1352391527230441,0.09153801504887105,0.05271257008036936,-0.14373371174257737,-0.22677716777191514,0.19644628182294674,-0.42632625731306617,-0.3220840756573662,-0.10424218165569998
27,20,74,-1.5042366154761593,-1.2064345971789576,-1.2083718274714494,-1.379528112087867,-0.29780201829720165,0.17115628461641763,-3.1501379163370045,-3.213018615110387,0.06288069877338254
29,21,76,-0.4467023918897603,-0.09327142444319453,0.01045728957107311,-0.056256607136708665,-0.35343096744656577,0.06671389670778177,0.12368343270854167,-0.05151256594037253,0.1751959986489142
30,13,40,0.05132425736081869,-0.13288019199464482,-0.0030863661152451365,-0.11423694601833287,0.1842044493554635,0.11115057990308773,-0.3306357150220377,-0.30890980064981627,-0.021725914372221433
31,14,77,0.03481311791836906,-0.07448730543601748,-0.005625810468053746,0.07257818252852082,0.10930042335438653,-0.07820399299657456,0.33784890006290197,0.31491163358781304,0.022937266475088924
32,16,74,-0.2813379288885187,-0.03454227426577869,-0.04533660154874081,-0.028141014437389436,-0.24679565462274003,-0.01719558711135137,-0.18260168452252512,-0.12766525833105333,-0.05493642619147179
34,10,39,0.4950923528405012,-0.04942233537318244,0.07861092751168638,0.08369009959367199,0.5445146882136837,-0.005079172081985606,0.473637500600649,-0.10093871991684555,0.5745762205174946
35,10,77,-0.438741666636563,-0.03290334662799892,-0.3453009120238784,-0.3771470226773135,-0.40583832000856407,0.03184611065343507,-0.28114910690169054,-0.17388118790143434,-0.1072679190002562
