child,auc_inverted,n_other_records,other_auc_mean,other_all_below_half
7,0.45525368496836044,0,,False
17,0.4306302296252045,0,,False
26,0.4356254856254856,0,,False
27,0.4791095629663468,0,,False
41,0.48229453627180896,0,,False
67,0.49411432160804014,0,,False
71,0.4865677663277774,0,,False
