child,auc_inverted,n_other_records,other_auc_mean,other_all_below_half
10,0.45369120913103367,5,0.49497100946996236,False
10,0.4551396316102198,5,0.49468132497412515,False
11,0.4805194805194804,8,0.5216525076378822,False
18,0.44526727357609713,0,,False
25,0.4607182940516274,0,,False
36,0.46056926491709094,1,0.5091008771929825,False
