child,auc_inverted,n_other_records,other_auc_mean,other_all_below_half
0,0.48253378909319505,0,,False
11,0.4818172990556648,0,,False
24,0.42124542124542125,1,0.4987297599106644,True
33,0.4509400705052879,0,,False
