analysis_set,probability_mode,comparison,baseline,augmented,estimate,ci_lower,ci_upper,n_candidates,n_bootstrap,seed,effect,gain_definition,valid,positive_candidate_fraction,unit,ci_scope,representation
all,calibrated,main_gain,B0_context_spline,B2_post,-0.0021689657391713636,-0.003089027254119896,-0.0012223933185237235,60,2000,20260917,baseline_minus_augmented,baseline - augmented,True,0.26666666666666666,bits/trial of held-out predictive gain,fixed OOF candidate-group cluster bootstrap; no workflow refitting,R_SIM
all,calibrated,post_increment_over_pre,B1_pre,B3_pre_post,0.0002916464714524059,-0.00035465981509245784,0.0010092110985011344,60,2000,20260917,baseline_minus_augmented,baseline - augmented,True,0.5666666666666667,bits/trial of held-out predictive gain,fixed OOF candidate-group cluster bootstrap; no workflow refitting,R_SIM
all,raw,main_gain,B0_context_spline,B2_post,-0.002711296793495149,-0.0038429280976270165,-0.0015074082191335817,60,2000,20260917,baseline_minus_augmented,baseline - augmented,True,0.31666666666666665,bits/trial of held-out predictive gain,fixed OOF candidate-group cluster bootstrap; no workflow refitting,R_SIM
all,raw,post_increment_over_pre,B1_pre,B3_pre_post,0.00025249074110106167,-0.0006734335003227697,0.0012505873974664931,60,2000,20260917,baseline_minus_augmented,baseline - augmented,True,0.55,bits/trial of held-out predictive gain,fixed OOF candidate-group cluster bootstrap; no workflow refitting,R_SIM
previous_response_available,calibrated,main_gain,B0_context_spline,B2_post,-0.0019530297122046791,-0.002884183764381407,-0.0009672717304877204,59,2000,20260917,baseline_minus_augmented,baseline - augmented,True,0.2711864406779661,bits/trial of held-out predictive gain,fixed OOF candidate-group cluster bootstrap; no workflow refitting,R_SIM
previous_response_available,calibrated,post_increment_over_pre,B1_pre,B3_pre_post,-0.00019465413478725888,-0.000925163173792954,0.0005023010707986235,59,2000,20260917,baseline_minus_augmented,baseline - augmented,True,0.3728813559322034,bits/trial of held-out predictive gain,fixed OOF candidate-group cluster bootstrap; no workflow refitting,R_SIM
previous_response_available,calibrated,post_increment_over_previous,B4_previous,B5_previous_post,-0.00035096187511012174,-0.0014274072026747935,0.0008709018015448002,59,2000,20260917,baseline_minus_augmented,baseline - augmented,True,0.4915254237288136,bits/trial of held-out predictive gain,fixed OOF candidate-group cluster bootstrap; no workflow refitting,R_SIM
previous_response_available,raw,main_gain,B0_context_spline,B2_post,-0.0029025995254735463,-0.004252562048960546,-0.0014683227959598015,59,2000,20260917,baseline_minus_augmented,baseline - augmented,True,0.3220338983050847,bits/trial of held-out predictive gain,fixed OOF candidate-group cluster bootstrap; no workflow refitting,R_SIM
previous_response_available,raw,post_increment_over_pre,B1_pre,B3_pre_post,-0.00032650542403594524,-0.0013361930200716647,0.0006704168458298744,59,2000,20260917,baseline_minus_augmented,baseline - augmented,True,0.4067796610169492,bits/trial of held-out predictive gain,fixed OOF candidate-group cluster bootstrap; no workflow refitting,R_SIM
previous_response_available,raw,post_increment_over_previous,B4_previous,B5_previous_post,-0.0005477106912335824,-0.0020227095081743075,0.0010530260681285018,59,2000,20260917,baseline_minus_augmented,baseline - augmented,True,0.4915254237288136,bits/trial of held-out predictive gain,fixed OOF candidate-group cluster bootstrap; no workflow refitting,R_SIM
