world,repetition,seed,outer_fold,execution,gain_bits,ci_low,ci_high
VAR_EXTRA,0,53001,0,COMPLETE,0.27164311674477565,0.13831789787618967,0.4128960409261501
VAR_EXTRA,1,53002,1,COMPLETE,0.17349331424189748,0.10682610048316712,0.2518562632134732
VAR_EXTRA,2,53003,2,COMPLETE,0.18818665610855356,0.04109742418034807,0.3798216306594346
VAR_EXTRA,3,53004,3,COMPLETE,0.11840424123030853,0.05848354497332184,0.20048527922299023
VAR_EXTRA,4,53005,4,COMPLETE,0.09990517011452726,0.06333772942220045,0.1430907344880297
VAR_EXTRA,5,53006,0,COMPLETE,0.07341786039442628,0.05341210325798424,0.09506937203200909
VAR_EXTRA,6,53007,1,COMPLETE,0.057327515325430345,0.0259419622937171,0.10034197778605736
VAR_EXTRA,7,53008,2,COMPLETE,0.11179905079192509,0.04337492105735813,0.19293084665532034
VAR_EXTRA,8,53009,3,COMPLETE,0.25365991576139335,0.11511225529826975,0.4074120348512925
VAR_EXTRA,9,53010,4,COMPLETE,0.09554474549087529,0.053153314590125976,0.14360358738542114
VAR_EXTRA,10,53011,0,COMPLETE,0.23009241747335463,0.11213254960619881,0.37779880411908795
VAR_EXTRA,11,53012,1,COMPLETE,0.09210870308037546,0.04955859605539421,0.14143083942775458
VAR_EXTRA,12,53013,2,COMPLETE,0.14042595981137504,0.06936387351577664,0.2266056190217557
VAR_EXTRA,13,53014,3,COMPLETE,0.12167753592636718,0.06551963678879566,0.18173117925577081
VAR_EXTRA,14,53015,4,COMPLETE,0.062012024135998677,0.03696027969052579,0.08742634916899542
VAR_EXTRA,15,53016,0,COMPLETE,0.16194998531677995,0.07129772046438924,0.2692793958246909
VAR_EXTRA,16,53017,1,COMPLETE,0.08453865760148117,0.045879315513426944,0.13004221129930155
VAR_EXTRA,17,53018,2,COMPLETE,0.1214625686361297,0.058484917451948344,0.19019874284755653
VAR_EXTRA,18,53019,3,COMPLETE,0.17139229362453515,0.07737244201056255,0.3048783987500142
VAR_EXTRA,19,53020,4,COMPLETE,0.1817026758272015,0.05898401256968686,0.36175519624386115
MEAN_SUFFICIENT,0,53021,0,COMPLETE,0.0003065990011151551,-0.000646537089324168,0.0011952225765306738
MEAN_SUFFICIENT,1,53022,1,COMPLETE,-0.00015826139081948277,-0.0006885993773585435,0.00048785780730848364
MEAN_SUFFICIENT,2,53023,2,COMPLETE,4.8607012533040676e-05,-0.00014573212194440732,0.00026853673349794337
MEAN_SUFFICIENT,3,53024,3,COMPLETE,-0.0005270293748199319,-0.001813831219180613,0.0008299075183608486
MEAN_SUFFICIENT,4,53025,4,COMPLETE,-0.0003208876730150893,-0.0007384224023833952,0.00013562529021586575
MEAN_SUFFICIENT,5,53026,0,COMPLETE,-0.0008508278428218152,-0.0015745217608879398,-0.00017542343574069373
MEAN_SUFFICIENT,6,53027,1,COMPLETE,-0.0003460633523496233,-0.0009060315788083204,0.0001525538635589207
MEAN_SUFFICIENT,7,53028,2,COMPLETE,0.0003244224600740392,-0.00042760922404522434,0.0014108974262284516
MEAN_SUFFICIENT,8,53029,3,COMPLETE,-0.0011217351031192289,-0.0022401398961642417,-8.556429474729925e-05
MEAN_SUFFICIENT,9,53030,4,COMPLETE,-0.0005258452386226889,-0.0013310151977329752,0.00017720312494299117
MEAN_SUFFICIENT,10,53031,0,COMPLETE,0.00026333555884366396,-0.0007884046131261644,0.0016102529282407962
MEAN_SUFFICIENT,11,53032,1,COMPLETE,0.0003214303805940611,-0.0009611957050572839,0.0016028914753437864
MEAN_SUFFICIENT,12,53033,2,COMPLETE,0.00023507478384643767,-0.0002953450221331497,0.0006441643593797791
MEAN_SUFFICIENT,13,53034,3,COMPLETE,-0.0011616561744590003,-0.0024287801408889123,-0.0001537753916295724
MEAN_SUFFICIENT,14,53035,4,COMPLETE,-0.00043710083931472953,-0.001480394192938728,0.0005854027475143041
MEAN_SUFFICIENT,15,53036,0,COMPLETE,0.0004162345691601861,-0.00024141950746785326,0.00122199876210259
MEAN_SUFFICIENT,16,53037,1,COMPLETE,0.00023459295139442127,-0.000472149504793212,0.0009495300848232209
MEAN_SUFFICIENT,17,53038,2,COMPLETE,-0.00039673139923139815,-0.001432593008569937,0.0004918692764904274
MEAN_SUFFICIENT,18,53039,3,COMPLETE,-0.00024403744024286902,-0.0007671860488492647,0.0003458193616239922
MEAN_SUFFICIENT,19,53040,4,COMPLETE,-0.00025748745490679467,-0.0006118360116700192,7.122518977028805e-05
HISTORY_ONLY,0,53041,0,COMPLETE,-3.172457061795529e-05,-0.00014412596928437506,8.001329061748396e-05
HISTORY_ONLY,1,53042,1,COMPLETE,-0.00016721748222217687,-0.0003008450709861966,-2.984170960685525e-05
HISTORY_ONLY,2,53043,2,COMPLETE,-4.1520148483332965e-05,-0.00021982446171305746,8.915691546409507e-05
HISTORY_ONLY,3,53044,3,COMPLETE,-4.072289440850089e-05,-0.0001668639295411444,8.347629273931659e-05
HISTORY_ONLY,4,53045,4,COMPLETE,-9.988472703700968e-05,-0.00016369030223685612,-4.124554648586424e-05
HISTORY_ONLY,5,53046,0,COMPLETE,-0.00012143937676987329,-0.0002618231276317677,1.804140642310844e-05
HISTORY_ONLY,6,53047,1,COMPLETE,-7.140767637591654e-05,-0.0001916851020969251,4.9239955224825556e-05
HISTORY_ONLY,7,53048,2,COMPLETE,-1.453852800652281e-05,-0.00018613568573409741,0.00012331036247170604
HISTORY_ONLY,8,53049,3,COMPLETE,8.18495920543289e-06,-6.743999823482546e-05,8.347843637254783e-05
HISTORY_ONLY,9,53050,4,COMPLETE,-3.596543548968598e-05,-0.00012718383049928157,5.3928636811529144e-05
HISTORY_ONLY,10,53051,0,COMPLETE,-8.436496372260516e-05,-0.00021270090818625303,3.885293119285801e-05
HISTORY_ONLY,11,53052,1,COMPLETE,-0.00011809284919924432,-0.00028276083932242006,4.618725940713777e-05
HISTORY_ONLY,12,53053,2,COMPLETE,-0.0001654409838877368,-0.00031441362113103803,-1.8803414103785264e-06
HISTORY_ONLY,13,53054,3,COMPLETE,-0.00020153997363083626,-0.00037044374420409584,-4.7798020650158496e-05
HISTORY_ONLY,14,53055,4,COMPLETE,-6.380860357724761e-05,-0.00012745977836900736,2.6191604917441707e-06
HISTORY_ONLY,15,53056,0,COMPLETE,-0.00026411494060539227,-0.0005373198517729473,-6.10291952809623e-07
HISTORY_ONLY,16,53057,1,COMPLETE,-0.00011110435109694499,-0.00022609881168482159,2.160163322928748e-05
HISTORY_ONLY,17,53058,2,COMPLETE,-7.459710364586048e-05,-0.00015967287124608816,-1.4741623349857666e-05
HISTORY_ONLY,18,53059,3,COMPLETE,-1.7566655349682227e-05,-0.00010552231858379666,5.879712600311613e-05
HISTORY_ONLY,19,53060,4,COMPLETE,2.6654446936311703e-05,-3.167775681012855e-05,9.183329359489244e-05
