outer_fold,stage,exposure_file_sha256,exposure_hash,epochs,steps_per_epoch,original_trial_exposures,exact_fallback_quartets
0,selection,da68229f181d9c08bb7f5697b12f1b4e226195289ea98bf50adcdaceebd0e00c,e2fd61e72b6ac997a950911a5a8b4bd4ed044f3ebb221ad0fead794a8a1a9984,60,53,203520,0
0,final,e15e00f84d1968754c857c1b86a83be2d1b6ab549bb227d0bb45c3207e6ba81c,2f42db2c4df9a43f2456f9f6474ffcf58298f0821d27f2632a91e2daac8ef193,60,67,257280,0
1,selection,2a5d06402fc5330852fc03b5929fbdc93d9167ec3cc44e7ef9a2f89f20ed140e,50b209a5bc16694557e06d524fcf1d1093d49ee313b6135c9a57f7d29aa84343,60,56,215040,0
1,final,418cc70028a4d1099c0f6a3c9708994cda9ac1acf681a46070fbe19aaf0b83db,a9f3f8cb6f04f0766976e933fbfe835a75988c6a8240a8a894804e4eb72d0999,60,70,268800,0
2,selection,a7a00abe9162ccb30ac05ca663c68e669f6ec471df9efd65abf8bae51b49913f,a3eaf6b2e8dee038e1430f2d175ee81a54d5b508d01ab2faa0e69c1fa0a7e2e5,60,57,218880,0
2,final,10ea9dc2c984522cc12a9a4663a2a552db386962aebfb05f8f31b72865518696,e81e08a63c9790d9deb3bb842abacef414c2cd5ee6daef3b7f6128a21416eca0,60,73,280320,0
3,selection,3c5b1f315e70953c35d62aaef5da99c2025a7c4cbeec85a991ebf3e0c389983e,ed87b31ae182a80aaaa075ecb230952ff736c73aef120cb0efbf368790e6a619,60,56,215040,0
3,final,39f17d3dad32a9054185861d8f199857a522cdec8753789559b8f95d535444f4,259f9e42f4d7db31f3d2353967b7662973202c148782197d74d76056dc44ad92,60,70,268800,0
4,selection,c7e453be80a3904357d18df7ec0d1e6841b6bfc96d07caf404508e90c080b6f2,9941a351fcb6a6f4ec19b23303cef919ddea9429eece5c8914c1b6b268663604,60,57,218880,0
4,final,9e14d75981e3eff07212456c53484b14c8993464a368615b7b0199bc18ed02f8,ba44b2453a9608b3d486540a7543c2fdba831ff6c701f000e7fc172ac348b877,60,71,272640,0
