child,kind,n,slope_per_position,slope_per_second,position_coef_given_time,bin0,bin1,bin2,bin3,bin4
0,standard,832,0.006974799487498022,0.0013774019871820899,0.012356743617845339,0.08211404170716208,0.10889343645587657,0.15133708682867997,0.04379042758736557,0.12769763951639893
0,deviant,278,-0.006812449089348589,0.0032055375992023306,-0.03140059769069311,0.19383734044894366,0.2346490224202474,0.15406703089808554,0.21442246711117102,0.1740289503528226
1,standard,837,-0.003034817303456602,-0.0015932099256241116,0.0023833218847800217,0.06097277345141114,0.09637081778471251,0.05670400460561117,0.059904368901161395,0.05954123075689045
1,deviant,275,0.004753100288019586,-0.00036756477986441905,0.011844550475869927,0.04730579464934594,0.07690900637779707,0.06626343571282681,0.05445129890752032,0.07999591679536096
2,standard,2554,0.00020430732752478708,2.6692834499962182e-05,0.00021828084298306953,0.08617166216940744,0.0896634038804192,0.07939059787326389,0.08706683877073688,0.08796842023414307
2,deviant,821,-0.001490082108499394,-6.225257422014959e-05,-0.0021124249897705744,0.10731369509107976,0.10680195822644589,0.09331480394892332,0.0919752398740898,0.10323348923109063
3,standard,2051,0.002532982831618565,0.0019454608748181875,-0.001677552840035066,0.04027484926274968,0.08860326550670505,0.07050018128243542,0.08257585230881606,0.06030700835422498
3,deviant,676,-0.006976751892976508,-0.0004095312992723669,-0.008355198418337139,0.1309855143229167,0.14779103597005208,0.10011912121320718,0.0911829913104022,0.11349517077934451
4,standard,1392,-0.00036185846003999173,0.0008850510747599879,-0.005251342037581374,0.10126096535968693,0.1003302745330028,0.10236632305642833,0.07408693101671009,0.10355580760563908
4,deviant,466,-0.010026403930714217,-0.0028962206576868643,-0.011918733452411585,0.16329044765896267,0.1366511494124017,0.13677356117650083,0.13622084907863452,0.11660475431433044
5,standard,2185,-0.004527766023056826,-0.0006643312260135692,-0.010357044001200829,0.16466368894427835,0.11103320900910821,0.14546757118374692,0.15138087246587364,0.13076649212849029
5,deviant,724,-0.007488297210246057,-0.0028758594590379944,-0.00690599778572046,0.2423999106237131,0.2595391635237069,0.2436302864905631,0.22867264286164318,0.21996357401863473
6,standard,611,0.00015732828151298033,0.0010502296268187644,-0.0037240480843835897,0.00463833386384988,-0.005921747492647725,-0.0059315881063771786,-0.04075660515780473,0.010182090427564535
6,deviant,216,-0.0004184454173708024,0.0001692724278067902,-0.0009684693200111083,0.08862615035752118,0.044619363451760916,0.10082236103627874,0.03870164302357456,0.08086482565201335
7,standard,2038,0.002019856114345164,0.00039463594334120626,0.003856034739137068,0.03415654095045599,0.023765965858683482,0.01863255994073276,0.058470038211706925,0.034885791937510166
7,deviant,672,0.008828376321231589,0.0015602088699699591,0.016784362452908784,0.10970736658850382,0.11449191214024335,0.11434149742126465,0.16438472972196688,0.13943023681640626
8,standard,2012,0.006700117146348116,0.0015643222080753217,0.005645862460325234,0.017772674560546875,0.057895407418722046,0.04916720046210535,0.054155985514322914,0.05252462992004592
8,deviant,681,0.004655249308073761,0.0009642623616488478,0.0031172260158938182,0.0702884225284352,0.06881343957149622,0.12015821668836806,0.09575919499472968,0.08481249305290903
9,standard,2176,0.0030999057267493647,0.0012601978635026104,0.0026688326775119215,0.029644993373325892,0.03327351042268092,0.03524434668386085,0.04564150066577112,0.0410721685947516
9,deviant,726,0.005129076468772895,0.003260342198795958,-0.001284298206317037,0.06617385622054811,0.06256862418361442,0.08807221720041322,0.0841404282566392,0.0836271806196733
10,standard,2242,-0.00036371607444326106,-0.0007686067834582815,0.0026623348604287757,0.10285400937824372,0.10595215102772652,0.10979269764906058,0.09757295459386253,0.10329910036836014
10,deviant,762,-0.0037283887482814386,-0.0006794313730801993,-0.004790390666733412,0.1472999495689315,0.1348851521809896,0.14629153716258514,0.17705073222577813,0.12300455603060972
11,standard,2893,0.003530080667464802,0.0011665954039819617,0.004428267962531282,0.06311201344516505,0.09872422721797225,0.09517205556233725,0.09411471985062093,0.08425916245568804
11,deviant,971,-0.00885470012626827,-0.0014939556161746549,-0.01698598385929886,0.1410177351686252,0.13884524525368233,0.11677096884845299,0.06800635481055402,0.1145097736699389
12,standard,3030,7.440949631607015e-05,0.0002593669340737829,-0.0007898792374559589,0.019133420011181852,0.012426359699242611,0.015968724300986843,0.01690984921885236,0.017653452234438666
12,deviant,1045,-0.001283850003057164,-6.051677873709135e-05,-0.0016351466621451981,0.03487401670408419,0.03722565479767628,0.032372115494368914,0.034838600158691405,0.030206960849661044
13,standard,3686,0.005576828880727852,0.0024110832017804184,0.004290204366649198,0.08194348748318113,0.09540760104427472,0.07981166704847939,0.12163747695678058,0.10304148606821142
13,deviant,1237,-0.005844118822868109,0.0011545039578531636,-0.021717830274679623,0.14507048954659746,0.15653031589852973,0.12194863596270161,0.11934523308414151,0.12906408181408988
14,standard,3710,0.005305698953413796,0.003288453436909892,-0.000821841722767433,0.06067317846558739,0.08105720237449364,0.08962779736700859,0.030950657690513583,0.09458249051805953
14,deviant,1236,0.009850196220484074,0.006913333906887075,-0.004649455943108217,0.21213410311363953,0.19262855690162822,0.19986123631143166,0.23463827104710822,0.24272575016991008
