lane,model,variable,n,spearman,p
mff_puretone,per_child,age,20,0.11127819548872178,0.6404548402871416
bdf_puretone,per_child,age,52,0.22770270701414777,0.10448717408070643
bdf_puretone,per_child,duration,52,-0.050298092827667076,0.7232549606908614
bdf_puretone,per_child,unaided,52,0.03652832746076058,0.7971077094738309
bdf_puretone,per_child,unaided|age,50,0.0033133253301320525,0.9817809208576903
bdf_puretone,per_child,aided,42,-0.06298536387720924,0.6919080517424356
bdf_puretone,per_child,aided|age,40,-0.06153846153846155,0.7060103876404883
bdf_puretone,per_child,A,54,-0.047100408024737424,0.7352087259537851
bdf_puretone,per_child,A|age,52,-0.23321238014846754,0.09613874411375697
bdf_puretone,per_child,V,54,-0.07683595269827473,0.5807890876672512
bdf_puretone,per_child,V|age,52,-0.32106038298918693,0.020301383604638068
bdf_puretone,per_child,CAP,54,-0.08244895677913033,0.5533769663842679
bdf_puretone,per_child,CAP|age,52,-0.3706375810711211,0.006834351962363203
bdf_puretone,per_child,SIR,54,0.008415772858859952,0.9518394272545944
bdf_puretone,per_child,SIR|age,52,-0.2413336757430702,0.08478820441672148
mff_unknown_event,per_child,age,15,0.1964285714285714,0.4828987562716336
