band,from_s,to_s,metric,mean,ci_lo,ci_hi,children_positive,children
pre,-0.2,0.0,bacc,0.5017360140343,0.4954353883583956,0.5081367520744999,17,33
pre,-0.2,0.0,auc,0.5031738050711742,0.4952059110571182,0.5120151162137891,16,33
pre,-0.2,0.0,g_prior,1.4177410504414029e-05,-7.581431509228328e-05,0.00010410828955143025,20,33
pre,-0.2,0.0,g_prior_raw,-0.008539597279716203,-0.015272472065905192,-0.0041685561113029655,5,33
pre,-0.2,0.0,g_hist,1.0304216372429774e-05,-8.178096467846505e-05,0.00010196085982185837,20,33
early,0.05,0.25,bacc,0.49713653868323626,0.49035705498658355,0.5042380202452605,13,33
early,0.05,0.25,auc,0.49588210383049913,0.486653125799737,0.5052155229392102,13,33
early,0.05,0.25,g_prior,-0.00011460531873357146,-0.0002763666861791545,1.7965794116809117e-05,17,33
early,0.05,0.25,g_prior_raw,-0.014644166043560974,-0.027696908512138983,-0.005667438089342567,3,33
early,0.05,0.25,g_hist,-0.00012057210267440394,-0.00027534940227006907,6.918521240063887e-06,14,33
mid,0.25,0.45,bacc,0.5046777326050709,0.4982254444795822,0.5110415248242131,18,33
mid,0.25,0.45,auc,0.5060364544053699,0.49732435146046944,0.5146028456584039,19,33
mid,0.25,0.45,g_prior,-9.598529858724495e-05,-0.00017324904355331888,-3.88220350420171e-05,7,33
mid,0.25,0.45,g_prior_raw,-0.012743237729310086,-0.023151764863884084,-0.00558487540074637,6,33
mid,0.25,0.45,g_hist,-0.00010364189864654918,-0.00018041003929613404,-4.437800971898365e-05,8,33
late,0.45,0.7,bacc,0.49779449965086436,0.4913538698358693,0.50410886523908,18,33
late,0.45,0.7,auc,0.495516274618334,0.4862548468585014,0.5048290333889457,18,33
late,0.45,0.7,g_prior,-6.958231828112236e-06,-4.252569338338121e-05,3.485569763149102e-05,9,33
late,0.45,0.7,g_prior_raw,-0.017497571383806705,-0.0344384060266144,-0.006319241827579607,3,33
late,0.45,0.7,g_hist,-1.3985047002270261e-05,-5.5059785114212476e-05,3.365237726612657e-05,10,33
