partition,window_centre_s,directions,children,auc_mean,auc_lo,auc_hi
early_late_halves,-0.16,66,33,0.5238181079150961,0.5131281134492981,0.5347691179314885
early_late_halves,-0.14,66,33,0.5233364753129233,0.5134593885336312,0.5332340891480615
early_late_halves,-0.12000000000000001,66,33,0.5182483206790987,0.5065684470994813,0.529229793054747
early_late_halves,-0.1,66,33,0.5137037066422305,0.5027376299087726,0.5245157466287089
early_late_halves,-0.08000000000000002,66,33,0.5088028644091849,0.49693935374476644,0.5206683639318794
early_late_halves,-0.06,66,33,0.5099071852629256,0.4988467564994661,0.5209722753108649
early_late_halves,-0.04000000000000001,66,33,0.5162135924649887,0.505637856925668,0.5269233329878084
early_late_halves,-0.020000000000000018,66,33,0.512631291431578,0.5026388959544558,0.5226785750840783
early_late_halves,0.0,66,33,0.5292901114176095,0.5157058656729032,0.5433731315606443
early_late_halves,0.01999999999999999,66,33,0.5401195176073649,0.5217900144163852,0.5591684780075347
early_late_halves,0.03999999999999998,66,33,0.5445470630993448,0.5223660262362099,0.5676338579542958
early_late_halves,0.06,66,33,0.5449416787518888,0.5222190516442577,0.5691199445613931
early_late_halves,0.08000000000000002,66,33,0.5388020032788103,0.5164778621591674,0.563303034642219
early_late_halves,0.09999999999999998,66,33,0.5422096547337134,0.5197509022589913,0.5667904034827006
early_late_halves,0.12,66,33,0.5567524916537234,0.5331851219444318,0.5817114077740619
early_late_halves,0.14,66,33,0.5680334521881736,0.5443022316006476,0.5929523862100756
early_late_halves,0.15999999999999998,66,33,0.5705747885775432,0.547266983581918,0.5953533616143893
early_late_halves,0.18,66,33,0.5735584105015158,0.5506318835075955,0.5980149413047912
early_late_halves,0.2,66,33,0.5669353170809334,0.5446406711538747,0.5917158204872526
early_late_halves,0.21999999999999997,66,33,0.5631560089060583,0.5403990184058,0.5852439212064039
early_late_halves,0.24,66,33,0.5492681321174152,0.5283168697914132,0.5717394344522649
early_late_halves,0.26,66,33,0.5347257088334213,0.5139050678200467,0.5572262295745425
early_late_halves,0.27999999999999997,66,33,0.5310609225781185,0.5127973980022704,0.5506636302859682
early_late_halves,0.3,66,33,0.5341592558142442,0.5193767105938994,0.5505407202038506
early_late_halves,0.32,66,33,0.5390521037685708,0.5262495543163961,0.552092930195478
early_late_halves,0.34,66,33,0.5435353987638419,0.5316646712695714,0.5553529092923374
early_late_halves,0.36000000000000004,66,33,0.5426887119804239,0.5291564361660737,0.5551929992638608
early_late_halves,0.37999999999999995,66,33,0.5361918125649172,0.5240382897939598,0.5478695229626759
early_late_halves,0.39999999999999997,66,33,0.5304881553301332,0.5182817927124063,0.5420356853606437
early_late_halves,0.42,66,33,0.5216314703545093,0.5099401222874842,0.5328241036023437
early_late_halves,0.44,66,33,0.5161161666332943,0.5052300909768623,0.5269011146865972
early_late_halves,0.46,66,33,0.5094571456970507,0.49894356630895975,0.5198300299763131
early_late_halves,0.48000000000000004,66,33,0.5044655966522561,0.4931469747451752,0.5159331419534283
early_late_halves,0.49999999999999994,66,33,0.5027181201072266,0.49098302261394167,0.5143752670603782
early_late_halves,0.52,66,33,0.5052049170593805,0.49407293490324466,0.5160400732319331
early_late_halves,0.54,66,33,0.5093964679625489,0.4970018764830247,0.521609714866223
early_late_halves,0.56,66,33,0.5124096349268331,0.5008116570703809,0.5243990105443173
early_late_halves,0.5800000000000001,66,33,0.5117532100629582,0.4999742520320635,0.5228344971864268
early_late_halves,0.6000000000000001,66,33,0.5078295922170852,0.49616463047019566,0.5194742358415128
early_late_halves,0.6199999999999999,66,33,0.5065570434592994,0.49503153504270475,0.5185163191233563
early_late_halves,0.6399999999999999,66,33,0.5021191621411192,0.4907957570985908,0.5143188422472447
early_late_halves,0.6599999999999999,66,33,0.5054993431661413,0.49498503496020463,0.5161626122615292
odd_even_blocks,-0.16,62,31,0.5188751271460019,0.5059257898604917,0.5319131312349769
odd_even_blocks,-0.14,62,31,0.5203489506378843,0.508495433448492,0.53328184033652
odd_even_blocks,-0.12000000000000001,62,31,0.5147820649082785,0.5018619653666431,0.529114977954893
odd_even_blocks,-0.1,62,31,0.5118505151992621,0.4994158381413353,0.524332782936675
odd_even_blocks,-0.08000000000000002,62,31,0.5104470506331602,0.4974207933483554,0.5239302020547068
odd_even_blocks,-0.06,62,31,0.5132467406691427,0.5002557260955351,0.5272026752043688
odd_even_blocks,-0.04000000000000001,62,31,0.5175666943699692,0.5031081613537743,0.5330795876614891
odd_even_blocks,-0.020000000000000018,62,31,0.5187941257329186,0.5049758496570682,0.5334916967805
odd_even_blocks,0.0,62,31,0.5448888171886417,0.5275628673982647,0.5643705160988634
odd_even_blocks,0.01999999999999999,62,31,0.5602391023696619,0.5391817752917031,0.5840151908547486
odd_even_blocks,0.03999999999999998,62,31,0.5625456138983642,0.5391245692592805,0.5882647732204647
odd_even_blocks,0.06,62,31,0.5575831871996246,0.5335561126618313,0.5839270474085867
odd_even_blocks,0.08000000000000002,62,31,0.5471800823094278,0.523097885540457,0.5726860188171012
odd_even_blocks,0.09999999999999998,62,31,0.554521304490568,0.5304580740457123,0.5802482306285027
odd_even_blocks,0.12,62,31,0.5624498408395207,0.5389892946472088,0.5881425605383652
odd_even_blocks,0.14,62,31,0.5689400822062858,0.5457384242891273,0.5945570408829175
odd_even_blocks,0.15999999999999998,62,31,0.574294214157102,0.5515984329115448,0.5987471609312138
odd_even_blocks,0.18,62,31,0.5741808249155691,0.551800258814688,0.5977289543648246
