,age,duration,A,V,CAP,SIR
age,1.0,0.49473970222900665,0.5257358326621816,0.6193926719327786,0.6192495744990324,0.5751152693283818
duration,0.49473970222900665,1.0,0.8774774511265365,0.910625184869041,0.9375280670150364,0.901689125880473
A,0.5257358326621816,0.8774774511265365,1.0,0.9257718654288466,0.892858745601009,0.8122938928410939
V,0.6193926719327786,0.910625184869041,0.9257718654288466,1.0,0.943444689822639,0.881469076021877
CAP,0.6192495744990324,0.9375280670150364,0.892858745601009,0.943444689822639,1.0,0.8859016018320334
SIR,0.5751152693283818,0.901689125880473,0.8122938928410939,0.881469076021877,0.8859016018320334,1.0
