target,n,minimum,median,maximum,unique_values,ceiling_count,floor_count
A,57,40.0,97.5,100.0,17,28,0
V,57,17.5,87.5,100.0,21,18,0
CAP,57,2.0,7.0,9.0,8,17,0
SIR,57,1.0,4.0,5.0,5,17,2
