bank,budget,split,n,valid_features,median_correlation,q25,q75,fraction_positive,median_spearman_brown_heuristic,status
HJORTH,32,interleaved,53,60,0.8913346427323057,0.8641651330627875,0.949939420548984,1.0,0.9425454074838544,ESTIMATED
POST,32,interleaved,53,320,0.18035179532645443,0.06343152278096897,0.3011041594870918,0.840625,0.30558831700878075,ESTIMATED
CONTRAST,32,interleaved,53,160,0.08195197321005765,-0.0264262313176995,0.1923852446812312,0.68125,0.15148887091676846,ESTIMATED
PRE,32,interleaved,53,160,0.008618960476975447,-0.13941306665958397,0.1048819314922674,0.525,0.0170885251165898,ESTIMATED
SPATIAL,32,interleaved,53,210,0.8164540185481024,0.7155914926386353,0.8666658970048137,1.0,0.8989534386080784,ESTIMATED
HJORTH,32,temporal,53,60,0.824939528503742,0.7852665705796296,0.8953166239726421,1.0,0.9040705554923569,ESTIMATED
POST,32,temporal,53,320,0.2163050647228428,0.08026971481293416,0.3561200806792806,0.85,0.35567547488426743,ESTIMATED
CONTRAST,32,temporal,53,160,0.13755512596610703,0.032867203489896114,0.22560068607203596,0.80625,0.24184344543045955,ESTIMATED
PRE,32,temporal,53,160,-0.007693823778088518,-0.10811743133197016,0.0958644224430862,0.48125,-0.015507526015944711,ESTIMATED
SPATIAL,32,temporal,53,210,0.7577796972907949,0.6791096033614894,0.8227365305432096,1.0,0.8622009896341009,ESTIMATED
HJORTH,64,interleaved,56,60,0.9398772814433529,0.9110566083917526,0.9609481983862347,1.0,0.9690069376260723,ESTIMATED
POST,64,interleaved,56,320,0.2823446415006843,0.14832473501434146,0.45792590490670415,0.91875,0.44035677081992514,ESTIMATED
CONTRAST,64,interleaved,56,160,0.08802828148914392,-0.08076733436353492,0.2641844688820493,0.6625,0.16181234174976827,ESTIMATED
PRE,64,interleaved,56,160,0.04919322442953343,-0.08942864574627235,0.18069435900960873,0.60625,0.09377292335938917,ESTIMATED
SPATIAL,64,interleaved,56,210,0.890411878677881,0.839206467238949,0.9210142309823003,1.0,0.94202936340272,ESTIMATED
HJORTH,64,temporal,55,60,0.8655734539088464,0.8049775702015202,0.9109680765133085,1.0,0.927943043202901,ESTIMATED
POST,64,temporal,55,320,0.26212694217850446,0.1337521280440644,0.4149049978777365,0.86875,0.415373065021158,ESTIMATED
CONTRAST,64,temporal,55,160,0.04659410803080137,-0.06435851613527695,0.15952115042564427,0.5875,0.08903947909475893,ESTIMATED
PRE,64,temporal,55,160,0.06723600513675972,-0.09269593149345648,0.1938914302775665,0.5875,0.1259960877317331,ESTIMATED
SPATIAL,64,temporal,55,210,0.827559406188247,0.7544551972896577,0.871802301329156,1.0,0.9056443269689276,ESTIMATED
HJORTH,128,interleaved,55,60,0.9709429749162045,0.9506517544452195,0.9833789741543016,1.0,0.9852562048712885,ESTIMATED
POST,128,interleaved,55,320,0.40989988839873975,0.23078454756214015,0.5838472405834518,0.940625,0.5814590732881232,ESTIMATED
CONTRAST,128,interleaved,55,160,-0.008713353473644533,-0.12032726420140083,0.10970755269195898,0.4875,-0.017592495256117228,ESTIMATED
PRE,128,interleaved,55,160,0.10057807433155984,0.004526059432296084,0.23651027472850483,0.7625,0.1827730181970572,ESTIMATED
SPATIAL,128,interleaved,55,210,0.9443252082212961,0.9116246713200956,0.965416416218433,1.0,0.9713654928778408,ESTIMATED
HJORTH,128,temporal,55,60,0.8837488713944224,0.8546124948303415,0.9241337830707361,1.0,0.938285017375343,ESTIMATED
POST,128,temporal,55,320,0.35209127820463404,0.20708263516291303,0.5016236503474858,0.965625,0.5208096380438516,ESTIMATED
CONTRAST,128,temporal,55,160,-0.0021869878831903603,-0.09606938533717421,0.1294721783042034,0.5,-0.004401947610710699,ESTIMATED
PRE,128,temporal,55,160,0.09245753192728848,-0.02352916252734831,0.1822459560972101,0.725,0.16926505260892688,ESTIMATED
SPATIAL,128,temporal,55,210,0.8761233035627475,0.8180707571757341,0.9173887243651959,1.0,0.9339716759385626,ESTIMATED
HJORTH,256,interleaved,51,60,0.9851591428548939,0.9778809816178299,0.9930930064477422,1.0,0.9925240895434564,ESTIMATED
POST,256,interleaved,51,320,0.5263064821098153,0.37203827362437936,0.7236051863410491,0.990625,0.6896471281548793,ESTIMATED
CONTRAST,256,interleaved,51,160,0.08116524396828145,-0.015520741036262064,0.1714168949583478,0.725,0.15009669493106398,ESTIMATED
PRE,256,interleaved,51,160,0.12967084732590506,0.016466446133553702,0.25274130217465934,0.7875,0.22957179876289868,ESTIMATED
SPATIAL,256,interleaved,51,210,0.9725642627153596,0.9567689373456778,0.9812297530153846,1.0,0.986091332758954,ESTIMATED
HJORTH,256,temporal,51,60,0.8966010762877461,0.8498888503363367,0.9369143190344753,1.0,0.9454800633082479,ESTIMATED
POST,256,temporal,51,320,0.41397887670260314,0.225483491421077,0.615290374609378,0.953125,0.5855514497037795,ESTIMATED
CONTRAST,256,temporal,51,160,0.013463367878845,-0.08610204613365893,0.14487975526914945,0.55,0.02656872204190567,ESTIMATED
PRE,256,temporal,51,160,0.10466174273797768,-0.0004595309261329287,0.2363521561636485,0.75,0.18948395575213495,ESTIMATED
SPATIAL,256,temporal,51,210,0.8959021563761669,0.8590676934720606,0.9336916218651734,1.0,0.9450932347044791,ESTIMATED
