mode,population,calibration,fraction_confidence_ge_095,scope
L0,P_bal,mixture_diagnostic,0.0,descriptive confidence only; no test-trial exclusion
L0,P_bal,raw,0.0,descriptive confidence only; no test-trial exclusion
L0,P_bal,temperature,0.0,descriptive confidence only; no test-trial exclusion
L0,P_nat,mixture_diagnostic,0.0,descriptive confidence only; no test-trial exclusion
L0,P_nat,raw,0.0,descriptive confidence only; no test-trial exclusion
L0,P_nat,temperature,0.0,descriptive confidence only; no test-trial exclusion
R_SIM,P_bal,mixture_diagnostic,0.05956795824991305,descriptive confidence only; no test-trial exclusion
R_SIM,P_bal,raw,0.00956400480244651,descriptive confidence only; no test-trial exclusion
R_SIM,P_bal,temperature,0.05956795824991305,descriptive confidence only; no test-trial exclusion
R_SIM,P_nat,mixture_diagnostic,0.00488780328363152,descriptive confidence only; no test-trial exclusion
R_SIM,P_nat,raw,0.0032774836695805623,descriptive confidence only; no test-trial exclusion
R_SIM,P_nat,temperature,0.00488780328363152,descriptive confidence only; no test-trial exclusion
