mode,population,family,complete,fit_count
R_SIM,P_nat,logistic,True,100
R_SIM,P_nat,mlp32,True,100
R_SIM,P_bal,logistic,True,100
R_SIM,P_bal,mlp32,True,100
L0,P_nat,logistic,True,100
L0,P_bal,logistic,True,100
