mode,population,calibration,first,second,estimate,ci_lower,ci_upper,n_candidates,n_bootstrap,units,ci_scope
L0,P_bal,mixture_diagnostic,H,HP,-0.0002907880390358756,-0.0038221053905010457,0.0030719945546445527,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
L0,P_bal,mixture_diagnostic,HB,HBP,-0.00014754725118901562,-0.0031931953287240213,0.0026704276297809665,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
L0,P_bal,mixture_diagnostic,H,Hnoise,-0.0009706904193525138,-0.002395356885945835,0.0004725999131226116,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
L0,P_bal,raw,H,HP,8.597947466990978e-05,-0.0033883632931926656,0.003361082565287926,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
L0,P_bal,raw,HB,HBP,-4.798482387598502e-05,-0.0034178074465170383,0.0030185646191055056,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
L0,P_bal,raw,H,Hnoise,-0.0008071723415270515,-0.002190545299741781,0.0005614887211816418,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
L0,P_bal,temperature,H,HP,-0.0002907880390358756,-0.0038221053905010457,0.0030719945546445527,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
L0,P_bal,temperature,HB,HBP,-0.00014754725118901562,-0.0031931953287240213,0.0026704276297809665,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
L0,P_bal,temperature,H,Hnoise,-0.0009706904193525138,-0.002395356885945835,0.0004725999131226116,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
L0,P_nat,mixture_diagnostic,H,HP,-7.710452777239066e-05,-0.0029740430235573024,0.002461617528416165,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
L0,P_nat,mixture_diagnostic,HB,HBP,-0.0001570778722710146,-0.002937804707879018,0.002274708467207482,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
L0,P_nat,mixture_diagnostic,H,Hnoise,-0.0006131753662245924,-0.001616349669689453,0.0003855907393235217,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
L0,P_nat,raw,H,HP,1.154157798869034e-05,-0.0028620907116463897,0.0025778027126200204,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
L0,P_nat,raw,HB,HBP,-0.0001105226560077018,-0.0029029750047989402,0.00236646626451846,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
L0,P_nat,raw,H,Hnoise,-0.0005593271357031009,-0.0015629347494018557,0.0004355937053220978,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
L0,P_nat,temperature,H,HP,-7.710452777239066e-05,-0.0029740430235573024,0.002461617528416165,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
L0,P_nat,temperature,HB,HBP,-0.0001570778722710146,-0.002937804707879018,0.002274708467207482,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
L0,P_nat,temperature,H,Hnoise,-0.0006131753662245924,-0.001616349669689453,0.0003855907393235217,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
R_SIM,P_bal,mixture_diagnostic,H,HP,-0.19506738908234086,-0.24045045337988882,-0.1312133097192512,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
R_SIM,P_bal,mixture_diagnostic,HB,HBP,-0.0005156762023284319,-0.002986693150282646,0.0020860175873169797,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
R_SIM,P_bal,mixture_diagnostic,H,Hnoise,-0.19564474154709216,-0.24120401909357966,-0.13174965165201397,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
R_SIM,P_bal,raw,H,HP,-0.18266453035463573,-0.21009816694875139,-0.14422806412479547,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
R_SIM,P_bal,raw,HB,HBP,-0.0007695696988203974,-0.003460832577656089,0.0020403455970207517,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
